CODGEO,LIBGEO,Code département,annee,type,code_de_la_commune,code_com,geo_point,loyer_pr_dit_en_euros_par_m_,nom_com,code_dep
22001,Allineuc,22,2017,carte loyer,001,22001,"48.31157405032765, -2.8670651337472943",5.494593044,Allineuc,22
22001,Allineuc,22,2017,carte loyer,001,22001,"48.31157405032765, -2.8670651337472943",7.131912273,Allineuc,22
22002,Andel,22,2017,carte loyer,002,22002,"48.49410497493759, -2.5510433254576497",6.913448743,Andel,22
22002,Andel,22,2017,carte loyer,002,22002,"48.49410497493759, -2.5510433254576497",8.549887331,Andel,22
22003,Aucaleuc,22,2017,carte loyer,003,22003,"48.451792041709744, -2.1276186283311356",6.53106859,Aucaleuc,22
22003,Aucaleuc,22,2017,carte loyer,003,22003,"48.451792041709744, -2.1276186283311356",7.991451151,Aucaleuc,22
22004,Bégard,22,2017,carte loyer,004,22004,"48.634784370412966, -3.291537395440154",6.119990684,Bégard,22
22004,Bégard,22,2017,carte loyer,004,22004,"48.634784370412966, -3.291537395440154",7.633851683,Bégard,22
22005,Belle-Isle-en-Terre,22,2017,carte loyer,005,22005,"48.53106512361239, -3.3818371582833917",5.430648822,Belle-Isle-en-Terre,22
22005,Belle-Isle-en-Terre,22,2017,carte loyer,005,22005,"48.53106512361239, -3.3818371582833917",6.140839653,Belle-Isle-en-Terre,22
22006,Berhet,22,2017,carte loyer,006,22006,"48.69750531447889, -3.308461332158849",6.190358488,Berhet,22
22006,Berhet,22,2017,carte loyer,006,22006,"48.69750531447889, -3.308461332158849",7.394885937,Berhet,22
22008,Bobital,22,2017,carte loyer,008,22008,"48.41461576165647, -2.0974341309190154",6.53106859,Bobital,22
22008,Bobital,22,2017,carte loyer,008,22008,"48.41461576165647, -2.0974341309190154",8.344447085,Bobital,22
22009,Le Bodéo,22,2017,carte loyer,009,22009,"48.32624169771798, -2.9213545296739416",5.494593044,Le Bodéo,22
22009,Le Bodéo,22,2017,carte loyer,009,22009,"48.32624169771798, -2.9213545296739416",7.595736608,Le Bodéo,22
22011,Boqueho,22,2017,carte loyer,011,22011,"48.46832061079392, -2.9849252040192678",6.37871584,Boqueho,22
22011,Boqueho,22,2017,carte loyer,011,22011,"48.46832061079392, -2.9849252040192678",8.186327117,Boqueho,22
22012,La Bouillie,22,2017,carte loyer,012,22012,"48.58358930983129, -2.4419466987465595",6.969784601,La Bouillie,22
22012,La Bouillie,22,2017,carte loyer,012,22012,"48.58358930983129, -2.4419466987465595",8.549887331,La Bouillie,22
22013,Bourbriac,22,2017,carte loyer,013,22013,"48.46614145008935, -3.1998492745005143",5.49899095,Bourbriac,22
22013,Bourbriac,22,2017,carte loyer,013,22013,"48.46614145008935, -3.1998492745005143",6.140839653,Bourbriac,22
22014,Bourseul,22,2017,carte loyer,014,22014,"48.46712529195602, -2.2649305685662817",6.687095411,Bourseul,22
22014,Bourseul,22,2017,carte loyer,014,22014,"48.46712529195602, -2.2649305685662817",7.991451151,Bourseul,22
22015,Bréhand,22,2017,carte loyer,015,22015,"48.39371348739721, -2.5887890119592436",6.390678701,Bréhand,22
22015,Bréhand,22,2017,carte loyer,015,22015,"48.39371348739721, -2.5887890119592436",7.991451151,Bréhand,22
22016,Île-de-Bréhat,22,2017,carte loyer,016,22016,"48.84999753399896, -3.0020099584464472",7.570352542,Île-de-Bréhat,22
22016,Île-de-Bréhat,22,2017,carte loyer,016,22016,"48.84999753399896, -3.0020099584464472",10.67180977,Île-de-Bréhat,22
22018,Brélidy,22,2017,carte loyer,018,22018,"48.64929062701858, -3.227795253843802",6.190358488,Brélidy,22
22018,Brélidy,22,2017,carte loyer,018,22018,"48.64929062701858, -3.227795253843802",7.394885937,Brélidy,22
22019,Bringolo,22,2017,carte loyer,019,22019,"48.57715815476378, -3.0063341580506617",6.37871584,Bringolo,22
22019,Bringolo,22,2017,carte loyer,019,22019,"48.57715815476378, -3.0063341580506617",8.186327117,Bringolo,22
22020,Broons,22,2017,carte loyer,020,22020,"48.31131192288653, -2.2409231184102447",5.868402192,Broons,22
22020,Broons,22,2017,carte loyer,020,22020,"48.31131192288653, -2.2409231184102447",7.657484343,Broons,22
22021,Brusvily,22,2017,carte loyer,021,22021,"48.39398952757658, -2.117702528013565",5.587855667,Brusvily,22
22021,Brusvily,22,2017,carte loyer,021,22021,"48.39398952757658, -2.117702528013565",8.344447085,Brusvily,22
22023,Bulat-Pestivien,22,2017,carte loyer,023,22023,"48.43429350906591, -3.332708898349024",5.103315445,Bulat-Pestivien,22
22023,Bulat-Pestivien,22,2017,carte loyer,023,22023,"48.43429350906591, -3.332708898349024",7.044022226,Bulat-Pestivien,22
22024,Calanhel,22,2017,carte loyer,024,22024,"48.44062078647692, -3.4755663949139017",5.430648822,Calanhel,22
22024,Calanhel,22,2017,carte loyer,024,22024,"48.44062078647692, -3.4755663949139017",6.140839653,Calanhel,22
22025,Callac,22,2017,carte loyer,025,22025,"48.42196827664741, -3.416491285381751",5.430648822,Callac,22
22025,Callac,22,2017,carte loyer,025,22025,"48.42196827664741, -3.416491285381751",7.044022226,Callac,22
22026,Calorguen,22,2017,carte loyer,026,22026,"48.40509142929895, -2.025985496611696",6.53106859,Calorguen,22
22026,Calorguen,22,2017,carte loyer,026,22026,"48.40509142929895, -2.025985496611696",8.344447085,Calorguen,22
22027,Le Cambout,22,2017,carte loyer,027,22027,"48.059113527873514, -2.620841543398244",5.520112257,Le Cambout,22
22027,Le Cambout,22,2017,carte loyer,027,22027,"48.059113527873514, -2.620841543398244",7.16132059,Le Cambout,22
22028,Camlez,22,2017,carte loyer,028,22028,"48.7832070650471, -3.3154023929294625",6.189313301,Camlez,22
22028,Camlez,22,2017,carte loyer,028,22028,"48.7832070650471, -3.3154023929294625",7.959488257,Camlez,22
22029,Canihuel,22,2017,carte loyer,029,22029,"48.337245775243694, -3.0959063599846113",5.103315445,Canihuel,22
22029,Canihuel,22,2017,carte loyer,029,22029,"48.337245775243694, -3.0959063599846113",7.059937795,Canihuel,22
22030,Caouënnec-Lanvézéac,22,2017,carte loyer,030,22030,"48.705892344939876, -3.3675467732029523",6.189313301,Caouënnec-Lanvézéac,22
22030,Caouënnec-Lanvézéac,22,2017,carte loyer,030,22030,"48.705892344939876, -3.3675467732029523",7.813625442,Caouënnec-Lanvézéac,22
22031,Carnoët,22,2017,carte loyer,031,22031,"48.359241336135476, -3.53211129444564",5.430648822,Carnoët,22
22031,Carnoët,22,2017,carte loyer,031,22031,"48.359241336135476, -3.53211129444564",7.044022226,Carnoët,22
22032,Caulnes,22,2017,carte loyer,032,22032,"48.30216325406062, -2.1604139620127762",6.138324287,Caulnes,22
22032,Caulnes,22,2017,carte loyer,032,22032,"48.30216325406062, -2.1604139620127762",7.564519464,Caulnes,22
22033,Caurel,22,2017,carte loyer,033,22033,"48.21724561201957, -3.039756388323664",5.494593044,Caurel,22
22033,Caurel,22,2017,carte loyer,033,22033,"48.21724561201957, -3.039756388323664",7.595736608,Caurel,22
22034,Cavan,22,2017,carte loyer,034,22034,"48.68215456074493, -3.3524096713925564",6.189313301,Cavan,22
22034,Cavan,22,2017,carte loyer,034,22034,"48.68215456074493, -3.3524096713925564",6.140839653,Cavan,22
22035,Les Champs-Géraux,22,2017,carte loyer,035,22035,"48.42601578193849, -1.9776790432863975",7.024231005,Les Champs-Géraux,22
22035,Les Champs-Géraux,22,2017,carte loyer,035,22035,"48.42601578193849, -1.9776790432863975",8.344447085,Les Champs-Géraux,22
22036,La Chapelle-Blanche,22,2017,carte loyer,036,22036,"48.26830592024628, -2.1284395259517597",5.587855667,La Chapelle-Blanche,22
22036,La Chapelle-Blanche,22,2017,carte loyer,036,22036,"48.26830592024628, -2.1284395259517597",6.787694606,La Chapelle-Blanche,22
22037,La Chapelle-Neuve,22,2017,carte loyer,037,22037,"48.46571474215161, -3.4399666603374586",5.430648822,La Chapelle-Neuve,22
22037,La Chapelle-Neuve,22,2017,carte loyer,037,22037,"48.46571474215161, -3.4399666603374586",6.140839653,La Chapelle-Neuve,22
22039,La Chèze,22,2017,carte loyer,039,22039,"48.13413992879994, -2.66248453321529",5.354931921,La Chèze,22
22039,La Chèze,22,2017,carte loyer,039,22039,"48.13413992879994, -2.66248453321529",7.16132059,La Chèze,22
22040,Coadout,22,2017,carte loyer,040,22040,"48.51493819543793, -3.1786769355603184",5.990445357,Coadout,22
22040,Coadout,22,2017,carte loyer,040,22040,"48.51493819543793, -3.1786769355603184",6.140839653,Coadout,22
22041,Coatascorn,22,2017,carte loyer,041,22041,"48.66956621990305, -3.2552637436482668",6.190358488,Coatascorn,22
22041,Coatascorn,22,2017,carte loyer,041,22041,"48.66956621990305, -3.2552637436482668",7.394885937,Coatascorn,22
22042,Coatréven,22,2017,carte loyer,042,22042,"48.76341836109597, -3.3259713891013423",6.189313301,Coatréven,22
22042,Coatréven,22,2017,carte loyer,042,22042,"48.76341836109597, -3.3259713891013423",7.959488257,Coatréven,22
22043,Coëtlogon,22,2017,carte loyer,043,22043,"48.132376366176494, -2.543197318567139",5.520112257,Coëtlogon,22
22043,Coëtlogon,22,2017,carte loyer,043,22043,"48.132376366176494, -2.543197318567139",7.16132059,Coëtlogon,22
22044,Coëtmieux,22,2017,carte loyer,044,22044,"48.486604566333924, -2.5922050460710464",6.913448743,Coëtmieux,22
22044,Coëtmieux,22,2017,carte loyer,044,22044,"48.486604566333924, -2.5922050460710464",8.549887331,Coëtmieux,22
22045,Cohiniac,22,2017,carte loyer,045,22045,"48.45147352827626, -2.9467183677877835",6.37871584,Cohiniac,22
22045,Cohiniac,22,2017,carte loyer,045,22045,"48.45147352827626, -2.9467183677877835",8.186327117,Cohiniac,22
22046,Le Mené,22,2017,carte loyer,046,22046,"48.28263378764225, -2.531182377659153",5.354931921,Le Mené,22
22046,Le Mené,22,2017,carte loyer,046,22046,"48.28263378764225, -2.531182377659153",6.787694606,Le Mené,22
22047,Corlay,22,2017,carte loyer,047,22047,"48.30991342390647, -3.037664422933633",5.103315445,Corlay,22
22047,Corlay,22,2017,carte loyer,047,22047,"48.30991342390647, -3.037664422933633",7.595736608,Corlay,22
22048,Corseul,22,2017,carte loyer,048,22048,"48.48303302788376, -2.1663087926283544",6.676882396,Corseul,22
22048,Corseul,22,2017,carte loyer,048,22048,"48.48303302788376, -2.1663087926283544",7.991451151,Corseul,22
22049,Créhen,22,2017,carte loyer,049,22049,"48.53989457783926, -2.19029968087284",6.969784601,Créhen,22
22049,Créhen,22,2017,carte loyer,049,22049,"48.53989457783926, -2.19029968087284",8.549887331,Créhen,22
22050,Dinan,22,2017,carte loyer,050,22050,"48.44612091913673, -2.0513021305898294",7.084975658,Dinan,22
22050,Dinan,22,2017,carte loyer,050,22050,"48.44612091913673, -2.0513021305898294",9.671145982,Dinan,22
22052,Duault,22,2017,carte loyer,052,22052,"48.364888158360685, -3.436003914924763",5.430648822,Duault,22
22052,Duault,22,2017,carte loyer,052,22052,"48.364888158360685, -3.436003914924763",7.044022226,Duault,22
22053,Éréac,22,2017,carte loyer,053,22053,"48.274287039210606, -2.343933387805328",5.354931921,Éréac,22
22053,Éréac,22,2017,carte loyer,053,22053,"48.274287039210606, -2.343933387805328",7.16132059,Éréac,22
22054,Erquy,22,2017,carte loyer,054,22054,"48.61941709431571, -2.4583856753027256",6.969784601,Erquy,22
22054,Erquy,22,2017,carte loyer,054,22054,"48.61941709431571, -2.4583856753027256",8.549887331,Erquy,22
22055,Binic-Étables-sur-Mer,22,2017,carte loyer,055,22055,"48.616854697979164, -2.8378636783415674",7.397627975,Binic-Étables-sur-Mer,22
22055,Binic-Étables-sur-Mer,22,2017,carte loyer,055,22055,"48.616854697979164, -2.8378636783415674",9.138344691,Binic-Étables-sur-Mer,22
22056,Évran,22,2017,carte loyer,056,22056,"48.38491069365288, -1.9800607383794606",7.024231005,Évran,22
22056,Évran,22,2017,carte loyer,056,22056,"48.38491069365288, -1.9800607383794606",8.344447085,Évran,22
22057,Le Faouët,22,2017,carte loyer,057,22057,"48.67894581661151, -3.07389448983065",6.055196611,Le Faouët,22
22057,Le Faouët,22,2017,carte loyer,057,22057,"48.67894581661151, -3.07389448983065",7.394885937,Le Faouët,22
22059,Le Fœil,22,2017,carte loyer,059,22059,"48.41742839393511, -2.9149768281574744",6.37871584,Le Fœil,22
22059,Le Fœil,22,2017,carte loyer,059,22059,"48.41742839393511, -2.9149768281574744",7.131912273,Le Fœil,22
22060,Gausson,22,2017,carte loyer,060,22060,"48.29305378448452, -2.761208784518627",6.16138334,Gausson,22
22060,Gausson,22,2017,carte loyer,060,22060,"48.29305378448452, -2.761208784518627",6.787694606,Gausson,22
22061,Glomel,22,2017,carte loyer,061,22061,"48.205711014474254, -3.3880569640213585",5.800613759,Glomel,22
22061,Glomel,22,2017,carte loyer,061,22061,"48.205711014474254, -3.3880569640213585",7.059937795,Glomel,22
22062,Gomené,22,2017,carte loyer,062,22062,"48.18009823823096, -2.4920269673041373",5.520112257,Gomené,22
22062,Gomené,22,2017,carte loyer,062,22062,"48.18009823823096, -2.4920269673041373",7.16132059,Gomené,22
22063,Gommenec'h,22,2017,carte loyer,063,22063,"48.637393629577176, -3.0478214611086005",6.055196611,Gommenec'h,22
22063,Gommenec'h,22,2017,carte loyer,063,22063,"48.637393629577176, -3.0478214611086005",7.394885937,Gommenec'h,22
22064,Gouarec,22,2017,carte loyer,064,22064,"48.23557643640287, -3.1955906946679757",5.103315445,Gouarec,22
22064,Gouarec,22,2017,carte loyer,064,22064,"48.23557643640287, -3.1955906946679757",7.059937795,Gouarec,22
22065,Goudelin,22,2017,carte loyer,065,22065,"48.60344887015755, -3.0228218900965196",6.405865689,Goudelin,22
22065,Goudelin,22,2017,carte loyer,065,22065,"48.60344887015755, -3.0228218900965196",8.186327117,Goudelin,22
22067,Grâces,22,2017,carte loyer,067,22067,"48.544781542331755, -3.1824290792102907",5.853802853,Grâces,22
22067,Grâces,22,2017,carte loyer,067,22067,"48.544781542331755, -3.1824290792102907",6.140839653,Grâces,22
22068,Grâce-Uzel,22,2017,carte loyer,068,22068,"48.25037219275086, -2.794165709487651",6.16138334,Grâce-Uzel,22
22068,Grâce-Uzel,22,2017,carte loyer,068,22068,"48.25037219275086, -2.794165709487651",6.787694606,Grâce-Uzel,22
22069,Guenroc,22,2017,carte loyer,069,22069,"48.313634238785724, -2.0806987621722692",5.587855667,Guenroc,22
22069,Guenroc,22,2017,carte loyer,069,22069,"48.313634238785724, -2.0806987621722692",6.787694606,Guenroc,22
22070,Guingamp,22,2017,carte loyer,070,22070,"48.5606296002789, -3.153483856443051",6.511011548,Guingamp,22
22070,Guingamp,22,2017,carte loyer,070,22070,"48.5606296002789, -3.153483856443051",8.688697174,Guingamp,22
22071,Guitté,22,2017,carte loyer,071,22071,"48.290858390709175, -2.102006426579971",5.587855667,Guitté,22
22071,Guitté,22,2017,carte loyer,071,22071,"48.290858390709175, -2.102006426579971",8.344447085,Guitté,22
22072,Gurunhuel,22,2017,carte loyer,072,22072,"48.5084390529387, -3.2887619158372385",5.103315445,Gurunhuel,22
22072,Gurunhuel,22,2017,carte loyer,072,22072,"48.5084390529387, -3.2887619158372385",6.140839653,Gurunhuel,22
22073,La Harmoye,22,2017,carte loyer,073,22073,"48.34601944912991, -2.9687827470942216",5.494593044,La Harmoye,22
22073,La Harmoye,22,2017,carte loyer,073,22073,"48.34601944912991, -2.9687827470942216",7.131912273,La Harmoye,22
22074,Le Haut-Corlay,22,2017,carte loyer,074,22074,"48.34049323560732, -3.0321258004545015",5.494593044,Le Haut-Corlay,22
22074,Le Haut-Corlay,22,2017,carte loyer,074,22074,"48.34049323560732, -3.0321258004545015",7.595736608,Le Haut-Corlay,22
22075,Hémonstoir,22,2017,carte loyer,075,22075,"48.157236237898246, -2.850013769833973",6.16138334,Hémonstoir,22
22075,Hémonstoir,22,2017,carte loyer,075,22075,"48.157236237898246, -2.850013769833973",7.719318416,Hémonstoir,22
22076,Hénanbihen,22,2017,carte loyer,076,22076,"48.55798404647853, -2.381554908505979",6.120010919,Hénanbihen,22
22076,Hénanbihen,22,2017,carte loyer,076,22076,"48.55798404647853, -2.381554908505979",8.549887331,Hénanbihen,22
22077,Hénansal,22,2017,carte loyer,077,22077,"48.53792668096101, -2.4478386890533526",6.120010919,Hénansal,22
22077,Hénansal,22,2017,carte loyer,077,22077,"48.53792668096101, -2.4478386890533526",8.549887331,Hénansal,22
22079,Hénon,22,2017,carte loyer,079,22079,"48.38674852310644, -2.683781581736478",5.852636752,Hénon,22
22079,Hénon,22,2017,carte loyer,079,22079,"48.38674852310644, -2.683781581736478",7.131912273,Hénon,22
22081,Hillion,22,2017,carte loyer,081,22081,"48.502995294821886, -2.6462131760070013",7.097954318,Hillion,22
22081,Hillion,22,2017,carte loyer,081,22081,"48.502995294821886, -2.6462131760070013",9.203497598,Hillion,22
22082,Le Hinglé,22,2017,carte loyer,082,22082,"48.397988313749984, -2.0828373600169927",6.53106859,Le Hinglé,22
22082,Le Hinglé,22,2017,carte loyer,082,22082,"48.397988313749984, -2.0828373600169927",8.344447085,Le Hinglé,22
22083,Illifaut,22,2017,carte loyer,083,22083,"48.14444310436233, -2.336130932655529",5.520112257,Illifaut,22
22083,Illifaut,22,2017,carte loyer,083,22083,"48.14444310436233, -2.336130932655529",7.16132059,Illifaut,22
22084,Jugon-les-Lacs,22,2017,carte loyer,084,22084,"48.40610977170293, -2.326899750070944",6.120010919,Jugon-les-Lacs,22
22084,Jugon-les-Lacs,22,2017,carte loyer,084,22084,"48.40610977170293, -2.326899750070944",7.991451151,Jugon-les-Lacs,22
22085,Kerbors,22,2017,carte loyer,085,22085,"48.823601548065966, -3.1817585984897487",6.190358488,Kerbors,22
22085,Kerbors,22,2017,carte loyer,085,22085,"48.823601548065966, -3.1817585984897487",7.959488257,Kerbors,22
22086,Kerfot,22,2017,carte loyer,086,22086,"48.73687170732632, -3.0314775082213297",5.990445357,Kerfot,22
22086,Kerfot,22,2017,carte loyer,086,22086,"48.73687170732632, -3.0314775082213297",7.959488257,Kerfot,22
22087,Kergrist-Moëlou,22,2017,carte loyer,087,22087,"48.29460489080976, -3.325603227294781",5.800613759,Kergrist-Moëlou,22
22087,Kergrist-Moëlou,22,2017,carte loyer,087,22087,"48.29460489080976, -3.325603227294781",7.059937795,Kergrist-Moëlou,22
22088,Kerien,22,2017,carte loyer,088,22088,"48.40939302468879, -3.230680461477553",5.103315445,Kerien,22
22088,Kerien,22,2017,carte loyer,088,22088,"48.40939302468879, -3.230680461477553",7.059937795,Kerien,22
22090,Kermaria-Sulard,22,2017,carte loyer,090,22090,"48.77349033102501, -3.3733885820496323",6.189313301,Kermaria-Sulard,22
22090,Kermaria-Sulard,22,2017,carte loyer,090,22090,"48.77349033102501, -3.3733885820496323",7.959488257,Kermaria-Sulard,22
22091,Kermoroc'h,22,2017,carte loyer,091,22091,"48.61487083619394, -3.2036352848070537",6.190358488,Kermoroc'h,22
22091,Kermoroc'h,22,2017,carte loyer,091,22091,"48.61487083619394, -3.2036352848070537",7.394885937,Kermoroc'h,22
