CODGEO;LIBGEO;Code département;annee;type;code_com;geo_point;typemetric;nom_com;code_dep;valeur
22001;Allineuc;22;2017;creation nouvelles associations;22001;48.31157405032765, -2.8670651337472943;Création nouvelles associations;Allineuc;22;710.0
22002;Andel;22;2017;creation nouvelles associations;22002;48.49410497493759, -2.5510433254576497;Création nouvelles associations;Andel;22;710.0
22003;Aucaleuc;22;2017;creation nouvelles associations;22003;48.451792041709744, -2.1276186283311356;Création nouvelles associations;Aucaleuc;22;710.0
22004;Bégard;22;2017;creation nouvelles associations;22004;48.634784370412966, -3.291537395440154;Création nouvelles associations;Bégard;22;710.0
22005;Belle-Isle-en-Terre;22;2017;creation nouvelles associations;22005;48.53106512361239, -3.3818371582833917;Création nouvelles associations;Belle-Isle-en-Terre;22;710.0
22006;Berhet;22;2017;creation nouvelles associations;22006;48.69750531447889, -3.308461332158849;Création nouvelles associations;Berhet;22;710.0
22008;Bobital;22;2017;creation nouvelles associations;22008;48.41461576165647, -2.0974341309190154;Création nouvelles associations;Bobital;22;710.0
22009;Le Bodéo;22;2017;creation nouvelles associations;22009;48.32624169771798, -2.9213545296739416;Création nouvelles associations;Le Bodéo;22;710.0
22011;Boqueho;22;2017;creation nouvelles associations;22011;48.46832061079392, -2.9849252040192678;Création nouvelles associations;Boqueho;22;710.0
22012;La Bouillie;22;2017;creation nouvelles associations;22012;48.58358930983129, -2.4419466987465595;Création nouvelles associations;La Bouillie;22;710.0
22013;Bourbriac;22;2017;creation nouvelles associations;22013;48.46614145008935, -3.1998492745005143;Création nouvelles associations;Bourbriac;22;710.0
22014;Bourseul;22;2017;creation nouvelles associations;22014;48.46712529195602, -2.2649305685662817;Création nouvelles associations;Bourseul;22;710.0
22015;Bréhand;22;2017;creation nouvelles associations;22015;48.39371348739721, -2.5887890119592436;Création nouvelles associations;Bréhand;22;710.0
22016;Île-de-Bréhat;22;2017;creation nouvelles associations;22016;48.84999753399896, -3.0020099584464472;Création nouvelles associations;Île-de-Bréhat;22;710.0
22018;Brélidy;22;2017;creation nouvelles associations;22018;48.64929062701858, -3.227795253843802;Création nouvelles associations;Brélidy;22;710.0
22019;Bringolo;22;2017;creation nouvelles associations;22019;48.57715815476378, -3.0063341580506617;Création nouvelles associations;Bringolo;22;710.0
22020;Broons;22;2017;creation nouvelles associations;22020;48.31131192288653, -2.2409231184102447;Création nouvelles associations;Broons;22;710.0
22021;Brusvily;22;2017;creation nouvelles associations;22021;48.39398952757658, -2.117702528013565;Création nouvelles associations;Brusvily;22;710.0
22023;Bulat-Pestivien;22;2017;creation nouvelles associations;22023;48.43429350906591, -3.332708898349024;Création nouvelles associations;Bulat-Pestivien;22;710.0
22024;Calanhel;22;2017;creation nouvelles associations;22024;48.44062078647692, -3.4755663949139017;Création nouvelles associations;Calanhel;22;710.0
22025;Callac;22;2017;creation nouvelles associations;22025;48.42196827664741, -3.416491285381751;Création nouvelles associations;Callac;22;710.0
22026;Calorguen;22;2017;creation nouvelles associations;22026;48.40509142929895, -2.025985496611696;Création nouvelles associations;Calorguen;22;710.0
22027;Le Cambout;22;2017;creation nouvelles associations;22027;48.059113527873514, -2.620841543398244;Création nouvelles associations;Le Cambout;22;710.0
22028;Camlez;22;2017;creation nouvelles associations;22028;48.7832070650471, -3.3154023929294625;Création nouvelles associations;Camlez;22;710.0
22029;Canihuel;22;2017;creation nouvelles associations;22029;48.337245775243694, -3.0959063599846113;Création nouvelles associations;Canihuel;22;710.0
22030;Caouënnec-Lanvézéac;22;2017;creation nouvelles associations;22030;48.705892344939876, -3.3675467732029523;Création nouvelles associations;Caouënnec-Lanvézéac;22;710.0
22031;Carnoët;22;2017;creation nouvelles associations;22031;48.359241336135476, -3.53211129444564;Création nouvelles associations;Carnoët;22;710.0
