CODGEO,LIBGEO,Code département,annee,type,code_de_la_commune,code_com,geo_point,energie_type,filiere,puissances_kw,production_mwh,nom_com,code_dep
22001,Allineuc,22,2017,production energetique,001,22001,"48.31157405032765, -2.8670651337472943",Chaleur,Solaire thermique,10.0,8.0,Allineuc,22
22001,Allineuc,22,2017,production energetique,001,22001,"48.31157405032765, -2.8670651337472943",Electricité,Solaire PV,75.0,76.0,Allineuc,22
22001,Allineuc,22,2017,production energetique,001,22001,"48.31157405032765, -2.8670651337472943",Chaleur,PAC (aérothermie et géothermie),311.0,245.0,Allineuc,22
22001,Allineuc,22,2017,production energetique,001,22001,"48.31157405032765, -2.8670651337472943",Electricité,Hydroélectricité,0.0,0.0,Allineuc,22
22001,Allineuc,22,2017,production energetique,001,22001,"48.31157405032765, -2.8670651337472943",Chaleur,Bois énergie domestique,1153.0,973.0,Allineuc,22
22002,Andel,22,2017,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Chaleur,Solaire thermique,20.0,12.0,Andel,22
22002,Andel,22,2017,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Electricité,Solaire PV,52.0,56.0,Andel,22
22002,Andel,22,2017,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Chaleur,PAC (aérothermie et géothermie),486.0,382.0,Andel,22
22002,Andel,22,2017,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Electricité,Méthanisation,316.0,2375.0,Andel,22
22002,Andel,22,2017,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Chaleur,Méthanisation,360.0,2706.0,Andel,22
22002,Andel,22,2017,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Electricité,Hydroélectricité,0.0,0.0,Andel,22
22002,Andel,22,2017,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Chaleur,Bois énergie domestique,2238.0,1889.0,Andel,22
22003,Aucaleuc,22,2017,production energetique,003,22003,"48.451792041709744, -2.1276186283311356",Chaleur,Solaire thermique,10.0,10.0,Aucaleuc,22
22003,Aucaleuc,22,2017,production energetique,003,22003,"48.451792041709744, -2.1276186283311356",Chaleur,PAC (aérothermie et géothermie),401.0,316.0,Aucaleuc,22
