CODGEO;LIBGEO;Code département;annee;type;code_de_la_commune;code_com;geo_point;loyer_pr_dit_en_euros_par_m_;nom_com;code_dep
22001;Allineuc;22;2022;carte loyer;001;22001;48.31157405032765, -2.8670651337472943;7.87530634885009;Allineuc;22
22001;Allineuc;22;2022;carte loyer;001;22001;48.31157405032765, -2.8670651337472943;6.96692848263116;Allineuc;22
22002;Andel;22;2022;carte loyer;002;22002;48.49410497493759, -2.5510433254576497;9.19733622774065;Andel;22
22002;Andel;22;2022;carte loyer;002;22002;48.49410497493759, -2.5510433254576497;8.12696489359043;Andel;22
22003;Aucaleuc;22;2022;carte loyer;003;22003;48.451792041709744, -2.1276186283311356;11.6767479877538;Aucaleuc;22
22003;Aucaleuc;22;2022;carte loyer;003;22003;48.451792041709744, -2.1276186283311356;7.56992954344971;Aucaleuc;22
22004;Bégard;22;2022;carte loyer;004;22004;48.634784370412966, -3.291537395440154;8.10739426543708;Bégard;22
22004;Bégard;22;2022;carte loyer;004;22004;48.634784370412966, -3.291537395440154;7.45450229736858;Bégard;22
22005;Belle-Isle-en-Terre;22;2022;carte loyer;005;22005;48.53106512361239, -3.3818371582833917;6.79435124814839;Belle-Isle-en-Terre;22
22005;Belle-Isle-en-Terre;22;2022;carte loyer;005;22005;48.53106512361239, -3.3818371582833917;6.03409169097647;Belle-Isle-en-Terre;22
22006;Berhet;22;2022;carte loyer;006;22006;48.69750531447889, -3.308461332158849;7.52858199345776;Berhet;22
22006;Berhet;22;2022;carte loyer;006;22006;48.69750531447889, -3.308461332158849;6.77873228595477;Berhet;22
22008;Bobital;22;2022;carte loyer;008;22008;48.41461576165647, -2.0974341309190154;11.6767479877538;Bobital;22
22008;Bobital;22;2022;carte loyer;008;22008;48.41461576165647, -2.0974341309190154;7.56992954344971;Bobital;22
22009;Le Bodéo;22;2022;carte loyer;009;22009;48.32624169771798, -2.9213545296739416;8.33758444246537;Le Bodéo;22
22009;Le Bodéo;22;2022;carte loyer;009;22009;48.32624169771798, -2.9213545296739416;6.85549662340702;Le Bodéo;22
22011;Boqueho;22;2022;carte loyer;011;22011;48.46832061079392, -2.9849252040192678;8.33758444246537;Boqueho;22
22011;Boqueho;22;2022;carte loyer;011;22011;48.46832061079392, -2.9849252040192678;7.04704760929323;Boqueho;22
22012;La Bouillie;22;2022;carte loyer;012;22012;48.58358930983129, -2.4419466987465595;8.6847172749027;La Bouillie;22
22012;La Bouillie;22;2022;carte loyer;012;22012;48.58358930983129, -2.4419466987465595;7.74439275149976;La Bouillie;22
22013;Bourbriac;22;2022;carte loyer;013;22013;48.46614145008935, -3.1998492745005143;6.79435124814839;Bourbriac;22
22013;Bourbriac;22;2022;carte loyer;013;22013;48.46614145008935, -3.1998492745005143;6.12378582415294;Bourbriac;22
22014;Bourseul;22;2022;carte loyer;014;22014;48.46712529195602, -2.2649305685662817;9.04598522539105;Bourseul;22
22014;Bourseul;22;2022;carte loyer;014;22014;48.46712529195602, -2.2649305685662817;6.90939299140592;Bourseul;22
22015;Bréhand;22;2022;carte loyer;015;22015;48.39371348739721, -2.5887890119592436;8.6847172749027;Bréhand;22
22015;Bréhand;22;2022;carte loyer;015;22015;48.39371348739721, -2.5887890119592436;7.38518192382227;Bréhand;22
22016;Île-de-Bréhat;22;2022;carte loyer;016;22016;48.84999753399896, -3.0020099584464472;8.85209089678718;Île-de-Bréhat;22
22016;Île-de-Bréhat;22;2022;carte loyer;016;22016;48.84999753399896, -3.0020099584464472;8.54111512959303;Île-de-Bréhat;22
22018;Brélidy;22;2022;carte loyer;018;22018;48.64929062701858, -3.227795253843802;8.47880082643223;Brélidy;22
22018;Brélidy;22;2022;carte loyer;018;22018;48.64929062701858, -3.227795253843802;6.77873228595477;Brélidy;22
22019;Bringolo;22;2022;carte loyer;019;22019;48.57715815476378, -3.0063341580506617;9.00898054401549;Bringolo;22
22019;Bringolo;22;2022;carte loyer;019;22019;48.57715815476378, -3.0063341580506617;7.53681376581016;Bringolo;22
22020;Broons;22;2022;carte loyer;020;22020;48.31131192288653, -2.2409231184102447;8.72657595411527;Broons;22
22020;Broons;22;2022;carte loyer;020;22020;48.31131192288653, -2.2409231184102447;6.85837224682534;Broons;22
22021;Brusvily;22;2022;carte loyer;021;22021;48.39398952757658, -2.117702528013565;8.33570804629945;Brusvily;22
22021;Brusvily;22;2022;carte loyer;021;22021;48.39398952757658, -2.117702528013565;6.92613126922132;Brusvily;22
22023;Bulat-Pestivien;22;2022;carte loyer;023;22023;48.43429350906591, -3.332708898349024;6.79435124814839;Bulat-Pestivien;22
22023;Bulat-Pestivien;22;2022;carte loyer;023;22023;48.43429350906591, -3.332708898349024;5.73672521454276;Bulat-Pestivien;22
22024;Calanhel;22;2022;carte loyer;024;22024;48.44062078647692, -3.4755663949139017;6.79435124814839;Calanhel;22
22024;Calanhel;22;2022;carte loyer;024;22024;48.44062078647692, -3.4755663949139017;5.73672521454276;Calanhel;22
22025;Callac;22;2022;carte loyer;025;22025;48.42196827664741, -3.416491285381751;6.79435124814839;Callac;22
22025;Callac;22;2022;carte loyer;025;22025;48.42196827664741, -3.416491285381751;5.73672521454276;Callac;22
22026;Calorguen;22;2022;carte loyer;026;22026;48.40509142929895, -2.025985496611696;10.8415512945328;Calorguen;22
22026;Calorguen;22;2022;carte loyer;026;22026;48.40509142929895, -2.025985496611696;7.69498154717293;Calorguen;22
22027;Le Cambout;22;2022;carte loyer;027;22027;48.059113527873514, -2.620841543398244;7.38437702707862;Le Cambout;22
22027;Le Cambout;22;2022;carte loyer;027;22027;48.059113527873514, -2.620841543398244;6.94460022489794;Le Cambout;22
22028;Camlez;22;2022;carte loyer;028;22028;48.7832070650471, -3.3154023929294625;10.0608180762203;Camlez;22
22028;Camlez;22;2022;carte loyer;028;22028;48.7832070650471, -3.3154023929294625;7.87061007178178;Camlez;22
22029;Canihuel;22;2022;carte loyer;029;22029;48.337245775243694, -3.0959063599846113;7.87530634885009;Canihuel;22
22029;Canihuel;22;2022;carte loyer;029;22029;48.337245775243694, -3.0959063599846113;6.67787247140704;Canihuel;22
22030;Caouënnec-Lanvézéac;22;2022;carte loyer;030;22030;48.705892344939876, -3.3675467732029523;8.78719403018025;Caouënnec-Lanvézéac;22
22030;Caouënnec-Lanvézéac;22;2022;carte loyer;030;22030;48.705892344939876, -3.3675467732029523;7.08894267312943;Caouënnec-Lanvézéac;22
22031;Carnoët;22;2022;carte loyer;031;22031;48.359241336135476, -3.53211129444564;6.79435124814839;Carnoët;22
22031;Carnoët;22;2022;carte loyer;031;22031;48.359241336135476, -3.53211129444564;6.03409169097647;Carnoët;22
22032;Caulnes;22;2022;carte loyer;032;22032;48.30216325406062, -2.1604139620127762;8.92636756382576;Caulnes;22
22032;Caulnes;22;2022;carte loyer;032;22032;48.30216325406062, -2.1604139620127762;7.36398696050699;Caulnes;22
22033;Caurel;22;2022;carte loyer;033;22033;48.21724561201957, -3.039756388323664;7.87530634885009;Caurel;22
22033;Caurel;22;2022;carte loyer;033;22033;48.21724561201957, -3.039756388323664;6.81274503316542;Caurel;22
22034;Cavan;22;2022;carte loyer;034;22034;48.68215456074493, -3.3524096713925564;8.59009344299008;Cavan;22
22034;Cavan;22;2022;carte loyer;034;22034;48.68215456074493, -3.3524096713925564;6.77873228595477;Cavan;22
22035;Les Champs-Géraux;22;2022;carte loyer;035;22035;48.42601578193849, -1.9776790432863975;10.8415512945328;Les Champs-Géraux;22
22035;Les Champs-Géraux;22;2022;carte loyer;035;22035;48.42601578193849, -1.9776790432863975;8.62117322764002;Les Champs-Géraux;22
22036;La Chapelle-Blanche;22;2022;carte loyer;036;22036;48.26830592024628, -2.1284395259517597;8.33570804629945;La Chapelle-Blanche;22
22036;La Chapelle-Blanche;22;2022;carte loyer;036;22036;48.26830592024628, -2.1284395259517597;6.92613126922132;La Chapelle-Blanche;22
22037;La Chapelle-Neuve;22;2022;carte loyer;037;22037;48.46571474215161, -3.4399666603374586;6.79435124814839;La Chapelle-Neuve;22
22037;La Chapelle-Neuve;22;2022;carte loyer;037;22037;48.46571474215161, -3.4399666603374586;5.73672521454276;La Chapelle-Neuve;22
22039;La Chèze;22;2022;carte loyer;039;22039;48.13413992879994, -2.66248453321529;7.38437702707862;La Chèze;22
22039;La Chèze;22;2022;carte loyer;039;22039;48.13413992879994, -2.66248453321529;6.51030285881402;La Chèze;22
22040;Coadout;22;2022;carte loyer;040;22040;48.51493819543793, -3.1786769355603184;9.12554376864588;Coadout;22
22040;Coadout;22;2022;carte loyer;040;22040;48.51493819543793, -3.1786769355603184;6.67787247140704;Coadout;22
22041;Coatascorn;22;2022;carte loyer;041;22041;48.66956621990305, -3.2552637436482668;8.47880082643223;Coatascorn;22
22041;Coatascorn;22;2022;carte loyer;041;22041;48.66956621990305, -3.2552637436482668;6.77873228595477;Coatascorn;22
22042;Coatréven;22;2022;carte loyer;042;22042;48.76341836109597, -3.3259713891013423;10.0608180762203;Coatréven;22
22042;Coatréven;22;2022;carte loyer;042;22042;48.76341836109597, -3.3259713891013423;7.87061007178178;Coatréven;22
22043;Coëtlogon;22;2022;carte loyer;043;22043;48.132376366176494, -2.543197318567139;7.81783673301151;Coëtlogon;22
22043;Coëtlogon;22;2022;carte loyer;043;22043;48.132376366176494, -2.543197318567139;6.27110061308945;Coëtlogon;22
22044;Coëtmieux;22;2022;carte loyer;044;22044;48.486604566333924, -2.5922050460710464;9.19733622774065;Coëtmieux;22
22044;Coëtmieux;22;2022;carte loyer;044;22044;48.486604566333924, -2.5922050460710464;8.12696489359043;Coëtmieux;22
22045;Cohiniac;22;2022;carte loyer;045;22045;48.45147352827626, -2.9467183677877835;9.00898054401549;Cohiniac;22
22045;Cohiniac;22;2022;carte loyer;045;22045;48.45147352827626, -2.9467183677877835;7.5561492712521;Cohiniac;22
22046;Le Mené;22;2022;carte loyer;046;22046;48.28263378764225, -2.531182377659153;9.02592075735993;Le Mené;22
22046;Le Mené;22;2022;carte loyer;046;22046;48.28263378764225, -2.531182377659153;6.25037508814299;Le Mené;22
22047;Corlay;22;2022;carte loyer;047;22047;48.30991342390647, -3.037664422933633;7.87530634885009;Corlay;22
22047;Corlay;22;2022;carte loyer;047;22047;48.30991342390647, -3.037664422933633;6.67787247140704;Corlay;22
22048;Corseul;22;2022;carte loyer;048;22048;48.48303302788376, -2.1663087926283544;9.04598522539105;Corseul;22
22048;Corseul;22;2022;carte loyer;048;22048;48.48303302788376, -2.1663087926283544;6.90939299140592;Corseul;22
22049;Créhen;22;2022;carte loyer;049;22049;48.53989457783926, -2.19029968087284;9.04598522539105;Créhen;22
22049;Créhen;22;2022;carte loyer;049;22049;48.53989457783926, -2.19029968087284;8.62117322764002;Créhen;22
22050;Dinan;22;2022;carte loyer;050;22050;48.44612091913673, -2.0513021305898294;12.7341315620682;Dinan;22
22050;Dinan;22;2022;carte loyer;050;22050;48.44612091913673, -2.0513021305898294;8.87201848089467;Dinan;22
22052;Duault;22;2022;carte loyer;052;22052;48.364888158360685, -3.436003914924763;6.92960667046749;Duault;22
22052;Duault;22;2022;carte loyer;052;22052;48.364888158360685, -3.436003914924763;5.73672521454276;Duault;22
22053;Éréac;22;2022;carte loyer;053;22053;48.274287039210606, -2.343933387805328;8.64678490803807;Éréac;22
22053;Éréac;22;2022;carte loyer;053;22053;48.274287039210606, -2.343933387805328;6.19755603157342;Éréac;22
22054;Erquy;22;2022;carte loyer;054;22054;48.61941709431571, -2.4583856753027256;10.3632637631793;Erquy;22
22054;Erquy;22;2022;carte loyer;054;22054;48.61941709431571, -2.4583856753027256;8.29690291165117;Erquy;22
22055;Binic-Étables-sur-Mer;22;2022;carte loyer;055;22055;48.616854697979164, -2.8378636783415674;10.4332553709558;Binic-Étables-sur-Mer;22
22055;Binic-Étables-sur-Mer;22;2022;carte loyer;055;22055;48.616854697979164, -2.8378636783415674;8.94357698255395;Binic-Étables-sur-Mer;22
22056;Évran;22;2022;carte loyer;056;22056;48.38491069365288, -1.9800607383794606;8.33570804629945;Évran;22
22056;Évran;22;2022;carte loyer;056;22056;48.38491069365288, -1.9800607383794606;7.69498154717293;Évran;22
22057;Le Faouët;22;2022;carte loyer;057;22057;48.67894581661151, -3.07389448983065;8.47880082643223;Le Faouët;22
22057;Le Faouët;22;2022;carte loyer;057;22057;48.67894581661151, -3.07389448983065;6.87569062014521;Le Faouët;22
22059;Le Fœil;22;2022;carte loyer;059;22059;48.41742839393511, -2.9149768281574744;8.33758444246537;Le Fœil;22
22059;Le Fœil;22;2022;carte loyer;059;22059;48.41742839393511, -2.9149768281574744;6.67787247140704;Le Fœil;22
22060;Gausson;22;2022;carte loyer;060;22060;48.29305378448452, -2.761208784518627;7.38437702707862;Gausson;22
22060;Gausson;22;2022;carte loyer;060;22060;48.29305378448452, -2.761208784518627;6.96692848263116;Gausson;22
22061;Glomel;22;2022;carte loyer;061;22061;48.205711014474254, -3.3880569640213585;6.92960667046749;Glomel;22
22061;Glomel;22;2022;carte loyer;061;22061;48.205711014474254, -3.3880569640213585;6.45781241712596;Glomel;22
22062;Gomené;22;2022;carte loyer;062;22062;48.18009823823096, -2.4920269673041373;8.64678490803807;Gomené;22
22062;Gomené;22;2022;carte loyer;062;22062;48.18009823823096, -2.4920269673041373;6.27110061308945;Gomené;22
22063;Gommenec'h;22;2022;carte loyer;063;22063;48.637393629577176, -3.0478214611086005;8.47880082643223;Gommenec'h;22
22063;Gommenec'h;22;2022;carte loyer;063;22063;48.637393629577176, -3.0478214611086005;6.87569062014521;Gommenec'h;22
22064;Gouarec;22;2022;carte loyer;064;22064;48.23557643640287, -3.1955906946679757;7.87530634885009;Gouarec;22
22064;Gouarec;22;2022;carte loyer;064;22064;48.23557643640287, -3.1955906946679757;6.55143113698649;Gouarec;22
22065;Goudelin;22;2022;carte loyer;065;22065;48.60344887015755, -3.0228218900965196;9.12554376864588;Goudelin;22
22065;Goudelin;22;2022;carte loyer;065;22065;48.60344887015755, -3.0228218900965196;7.53681376581016;Goudelin;22
22067;Grâces;22;2022;carte loyer;067;22067;48.544781542331755, -3.1824290792102907;9.12554376864588;Grâces;22
22067;Grâces;22;2022;carte loyer;067;22067;48.544781542331755, -3.1824290792102907;6.67787247140704;Grâces;22
