CODGEO;LIBGEO;Code département;annee;type;code_de_la_commune;code_com;geo_point;energie_type;filiere;puissances_kw;production_mwh;nom_com;code_dep
22001;Allineuc;22;2022;production energetique;001;22001;48.31157405032765, -2.8670651337472943;Chaleur;Solaire thermique;10.0;9.0;Allineuc;22
22001;Allineuc;22;2022;production energetique;001;22001;48.31157405032765, -2.8670651337472943;Electricité;Solaire PV;1912.0;2483.0;Allineuc;22
22001;Allineuc;22;2022;production energetique;001;22001;48.31157405032765, -2.8670651337472943;Chaleur;PAC (aérothermie et géothermie);651.0;466.0;Allineuc;22
22001;Allineuc;22;2022;production energetique;001;22001;48.31157405032765, -2.8670651337472943;Electricité;Hydroélectricité;0.0;0.0;Allineuc;22
22001;Allineuc;22;2022;production energetique;001;22001;48.31157405032765, -2.8670651337472943;Chaleur;Bois énergie domestique;1237.0;959.0;Allineuc;22
22002;Andel;22;2022;production energetique;002;22002;48.49410497493759, -2.5510433254576497;Chaleur;Solaire thermique;20.0;14.0;Andel;22
22002;Andel;22;2022;production energetique;002;22002;48.49410497493759, -2.5510433254576497;Electricité;Solaire PV;56.0;54.0;Andel;22
22002;Andel;22;2022;production energetique;002;22002;48.49410497493759, -2.5510433254576497;Chaleur;PAC (aérothermie et géothermie);1016.0;727.0;Andel;22
22002;Andel;22;2022;production energetique;002;22002;48.49410497493759, -2.5510433254576497;Electricité;Méthanisation;316.0;2193.0;Andel;22
22002;Andel;22;2022;production energetique;002;22002;48.49410497493759, -2.5510433254576497;Chaleur;Méthanisation;360.0;2498.0;Andel;22
22002;Andel;22;2022;production energetique;002;22002;48.49410497493759, -2.5510433254576497;Electricité;Hydroélectricité;0.0;0.0;Andel;22
22002;Andel;22;2022;production energetique;002;22002;48.49410497493759, -2.5510433254576497;Chaleur;Bois énergie domestique;2401.0;1861.0;Andel;22
22003;Aucaleuc;22;2022;production energetique;003;22003;48.451792041709744, -2.1276186283311356;Chaleur;Solaire thermique;20.0;12.0;Aucaleuc;22
22003;Aucaleuc;22;2022;production energetique;003;22003;48.451792041709744, -2.1276186283311356;Electricité;Solaire PV;31.0;25.0;Aucaleuc;22
22003;Aucaleuc;22;2022;production energetique;003;22003;48.451792041709744, -2.1276186283311356;Chaleur;PAC (aérothermie et géothermie);840.0;601.0;Aucaleuc;22
22003;Aucaleuc;22;2022;production energetique;003;22003;48.451792041709744, -2.1276186283311356;Electricité;Hydroélectricité;0.0;0.0;Aucaleuc;22
22003;Aucaleuc;22;2022;production energetique;003;22003;48.451792041709744, -2.1276186283311356;Chaleur;Bois énergie domestique;2159.0;1673.0;Aucaleuc;22
22004;Bégard;22;2022;production energetique;004;22004;48.634784370412966, -3.291537395440154;Chaleur;Solaire thermique;90.0;66.0;Bégard;22
22004;Bégard;22;2022;production energetique;004;22004;48.634784370412966, -3.291537395440154;Electricité;Solaire PV;195.0;117.0;Bégard;22
22004;Bégard;22;2022;production energetique;004;22004;48.634784370412966, -3.291537395440154;Chaleur;PAC (aérothermie et géothermie);4705.0;3368.0;Bégard;22
