CODGEO;LIBGEO;Code département;annee;type;code_com;geo_point;typemetric;nom_com;code_dep;valeur
22001;Allineuc;22;2024;taux mortalite;22001;48.31157405032765, -2.8670651337472943;Taux brut de mortalité (pour mille);Allineuc;22;13.3
22002;Andel;22;2024;taux mortalite;22002;48.49410497493759, -2.5510433254576497;Taux brut de mortalité (pour mille);Andel;22;13.3
22003;Aucaleuc;22;2024;taux mortalite;22003;48.451792041709744, -2.1276186283311356;Taux brut de mortalité (pour mille);Aucaleuc;22;13.3
22004;Bégard;22;2024;taux mortalite;22004;48.634784370412966, -3.291537395440154;Taux brut de mortalité (pour mille);Bégard;22;13.3
22005;Belle-Isle-en-Terre;22;2024;taux mortalite;22005;48.53106512361239, -3.3818371582833917;Taux brut de mortalité (pour mille);Belle-Isle-en-Terre;22;13.3
22006;Berhet;22;2024;taux mortalite;22006;48.69750531447889, -3.308461332158849;Taux brut de mortalité (pour mille);Berhet;22;13.3
22008;Bobital;22;2024;taux mortalite;22008;48.41461576165647, -2.0974341309190154;Taux brut de mortalité (pour mille);Bobital;22;13.3
22009;Le Bodéo;22;2024;taux mortalite;22009;48.32624169771798, -2.9213545296739416;Taux brut de mortalité (pour mille);Le Bodéo;22;13.3
22011;Boqueho;22;2024;taux mortalite;22011;48.46832061079392, -2.9849252040192678;Taux brut de mortalité (pour mille);Boqueho;22;13.3
22012;La Bouillie;22;2024;taux mortalite;22012;48.58358930983129, -2.4419466987465595;Taux brut de mortalité (pour mille);La Bouillie;22;13.3
22013;Bourbriac;22;2024;taux mortalite;22013;48.46614145008935, -3.1998492745005143;Taux brut de mortalité (pour mille);Bourbriac;22;13.3
22014;Bourseul;22;2024;taux mortalite;22014;48.46712529195602, -2.2649305685662817;Taux brut de mortalité (pour mille);Bourseul;22;13.3
22015;Bréhand;22;2024;taux mortalite;22015;48.39371348739721, -2.5887890119592436;Taux brut de mortalité (pour mille);Bréhand;22;13.3
22016;Île-de-Bréhat;22;2024;taux mortalite;22016;48.84999753399896, -3.0020099584464472;Taux brut de mortalité (pour mille);Île-de-Bréhat;22;13.3
22018;Brélidy;22;2024;taux mortalite;22018;48.64929062701858, -3.227795253843802;Taux brut de mortalité (pour mille);Brélidy;22;13.3
22019;Bringolo;22;2024;taux mortalite;22019;48.57715815476378, -3.0063341580506617;Taux brut de mortalité (pour mille);Bringolo;22;13.3
22020;Broons;22;2024;taux mortalite;22020;48.31131192288653, -2.2409231184102447;Taux brut de mortalité (pour mille);Broons;22;13.3
22021;Brusvily;22;2024;taux mortalite;22021;48.39398952757658, -2.117702528013565;Taux brut de mortalité (pour mille);Brusvily;22;13.3
22023;Bulat-Pestivien;22;2024;taux mortalite;22023;48.43429350906591, -3.332708898349024;Taux brut de mortalité (pour mille);Bulat-Pestivien;22;13.3
22024;Calanhel;22;2024;taux mortalite;22024;48.44062078647692, -3.4755663949139017;Taux brut de mortalité (pour mille);Calanhel;22;13.3
22025;Callac;22;2024;taux mortalite;22025;48.42196827664741, -3.416491285381751;Taux brut de mortalité (pour mille);Callac;22;13.3
22026;Calorguen;22;2024;taux mortalite;22026;48.40509142929895, -2.025985496611696;Taux brut de mortalité (pour mille);Calorguen;22;13.3
22027;Le Cambout;22;2024;taux mortalite;22027;48.059113527873514, -2.620841543398244;Taux brut de mortalité (pour mille);Le Cambout;22;13.3
22028;Camlez;22;2024;taux mortalite;22028;48.7832070650471, -3.3154023929294625;Taux brut de mortalité (pour mille);Camlez;22;13.3
22029;Canihuel;22;2024;taux mortalite;22029;48.337245775243694, -3.0959063599846113;Taux brut de mortalité (pour mille);Canihuel;22;13.3
22030;Caouënnec-Lanvézéac;22;2024;taux mortalite;22030;48.705892344939876, -3.3675467732029523;Taux brut de mortalité (pour mille);Caouënnec-Lanvézéac;22;13.3
22031;Carnoët;22;2024;taux mortalite;22031;48.359241336135476, -3.53211129444564;Taux brut de mortalité (pour mille);Carnoët;22;13.3
22032;Caulnes;22;2024;taux mortalite;22032;48.30216325406062, -2.1604139620127762;Taux brut de mortalité (pour mille);Caulnes;22;13.3
22033;Caurel;22;2024;taux mortalite;22033;48.21724561201957, -3.039756388323664;Taux brut de mortalité (pour mille);Caurel;22;13.3
22034;Cavan;22;2024;taux mortalite;22034;48.68215456074493, -3.3524096713925564;Taux brut de mortalité (pour mille);Cavan;22;13.3
22035;Les Champs-Géraux;22;2024;taux mortalite;22035;48.42601578193849, -1.9776790432863975;Taux brut de mortalité (pour mille);Les Champs-Géraux;22;13.3
22036;La Chapelle-Blanche;22;2024;taux mortalite;22036;48.26830592024628, -2.1284395259517597;Taux brut de mortalité (pour mille);La Chapelle-Blanche;22;13.3
22037;La Chapelle-Neuve;22;2024;taux mortalite;22037;48.46571474215161, -3.4399666603374586;Taux brut de mortalité (pour mille);La Chapelle-Neuve;22;13.3
22039;La Chèze;22;2024;taux mortalite;22039;48.13413992879994, -2.66248453321529;Taux brut de mortalité (pour mille);La Chèze;22;13.3
22040;Coadout;22;2024;taux mortalite;22040;48.51493819543793, -3.1786769355603184;Taux brut de mortalité (pour mille);Coadout;22;13.3
22041;Coatascorn;22;2024;taux mortalite;22041;48.66956621990305, -3.2552637436482668;Taux brut de mortalité (pour mille);Coatascorn;22;13.3
22042;Coatréven;22;2024;taux mortalite;22042;48.76341836109597, -3.3259713891013423;Taux brut de mortalité (pour mille);Coatréven;22;13.3
22043;Coëtlogon;22;2024;taux mortalite;22043;48.132376366176494, -2.543197318567139;Taux brut de mortalité (pour mille);Coëtlogon;22;13.3
22044;Coëtmieux;22;2024;taux mortalite;22044;48.486604566333924, -2.5922050460710464;Taux brut de mortalité (pour mille);Coëtmieux;22;13.3
22045;Cohiniac;22;2024;taux mortalite;22045;48.45147352827626, -2.9467183677877835;Taux brut de mortalité (pour mille);Cohiniac;22;13.3
22046;Le Mené;22;2024;taux mortalite;22046;48.28263378764225, -2.531182377659153;Taux brut de mortalité (pour mille);Le Mené;22;13.3
22047;Corlay;22;2024;taux mortalite;22047;48.30991342390647, -3.037664422933633;Taux brut de mortalité (pour mille);Corlay;22;13.3
22048;Corseul;22;2024;taux mortalite;22048;48.48303302788376, -2.1663087926283544;Taux brut de mortalité (pour mille);Corseul;22;13.3
22049;Créhen;22;2024;taux mortalite;22049;48.53989457783926, -2.19029968087284;Taux brut de mortalité (pour mille);Créhen;22;13.3
22050;Dinan;22;2024;taux mortalite;22050;48.44612091913673, -2.0513021305898294;Taux brut de mortalité (pour mille);Dinan;22;13.3
22052;Duault;22;2024;taux mortalite;22052;48.364888158360685, -3.436003914924763;Taux brut de mortalité (pour mille);Duault;22;13.3
22053;Éréac;22;2024;taux mortalite;22053;48.274287039210606, -2.343933387805328;Taux brut de mortalité (pour mille);Éréac;22;13.3
22054;Erquy;22;2024;taux mortalite;22054;48.61941709431571, -2.4583856753027256;Taux brut de mortalité (pour mille);Erquy;22;13.3
22055;Binic-Étables-sur-Mer;22;2024;taux mortalite;22055;48.616854697979164, -2.8378636783415674;Taux brut de mortalité (pour mille);Binic-Étables-sur-Mer;22;13.3
22056;Évran;22;2024;taux mortalite;22056;48.38491069365288, -1.9800607383794606;Taux brut de mortalité (pour mille);Évran;22;13.3
