Code département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Score_Gauche;Score_Droite;Score_Divers
22;Côtes-d'Armor;1.0;1ère circonscription;11.0;Boqueho;764.0;362.0;47.38;402.0;52.62;5.0;0.65;1.24;7.0;0.92;1.74;390.0;51.05;97.01;37.18;62.81;0.01
22;Côtes-d'Armor;1.0;1ère circonscription;38.0;Châtelaudren;622.0;265.0;42.6;357.0;57.4;6.0;0.96;1.68;1.0;0.16;0.28;350.0;56.27;98.04;42.29;57.72;0.0
22;Côtes-d'Armor;1.0;1ère circonscription;45.0;Cohiniac;315.0;133.0;42.22;182.0;57.78;0.0;0.0;0.0;1.0;0.32;0.55;181.0;57.46;99.45;32.05;67.95;0.0
22;Côtes-d'Armor;1.0;1ère circonscription;81.0;Hillion;3456.0;1539.0;44.53;1917.0;55.47;19.0;0.55;0.99;15.0;0.43;0.78;1883.0;54.48;98.23;35.1;64.37;0.53
22;Côtes-d'Armor;1.0;1ère circonscription;106.0;Langueux;5794.0;2435.0;42.03;3359.0;57.97;58.0;1.0;1.73;28.0;0.48;0.83;3273.0;56.49;97.44;42.62;56.77;0.61
22;Côtes-d'Armor;1.0;1ère circonscription;144.0;La Méaugon;922.0;390.0;42.3;532.0;57.7;14.0;1.52;2.63;2.0;0.22;0.38;516.0;55.97;96.99;36.44;62.41;1.15
22;Côtes-d'Armor;1.0;1ère circonscription;176.0;Plédran;4988.0;2403.0;48.18;2585.0;51.82;54.0;1.08;2.09;36.0;0.72;1.39;2495.0;50.02;96.52;34.98;64.48;0.54
22;Côtes-d'Armor;1.0;1ère circonscription;182.0;Plélo;2325.0;975.0;41.94;1350.0;58.06;17.0;0.73;1.26;7.0;0.3;0.52;1326.0;57.03;98.22;31.82;67.13;1.05
22;Côtes-d'Armor;1.0;1ère circonscription;187.0;Plérin;10443.0;4019.0;38.49;6424.0;61.51;79.0;0.76;1.23;40.0;0.38;0.62;6305.0;60.38;98.15;33.71;65.83;0.46
22;Côtes-d'Armor;1.0;1ère circonscription;188.0;Plerneuf;697.0;291.0;41.75;406.0;58.25;6.0;0.86;1.48;2.0;0.29;0.49;398.0;57.1;98.03;35.93;63.32;0.75
22;Côtes-d'Armor;1.0;1ère circonscription;215.0;Ploufragan;8201.0;3711.0;45.25;4490.0;54.75;59.0;0.72;1.31;28.0;0.34;0.62;4403.0;53.69;98.06;40.63;58.75;0.62
22;Côtes-d'Armor;1.0;1ère circonscription;234.0;Plouvara;744.0;326.0;43.82;418.0;56.18;7.0;0.94;1.67;3.0;0.4;0.72;408.0;54.84;97.61;35.29;63.96;0.75
22;Côtes-d'Armor;1.0;1ère circonscription;251.0;Pordic;5784.0;2296.0;39.7;3488.0;60.3;45.0;0.78;1.29;26.0;0.45;0.75;3417.0;59.08;97.96;32.31;67.05;0.64
22;Côtes-d'Armor;1.0;1ère circonscription;278.0;Saint-Brieuc;30210.0;14846.0;49.14;15364.0;50.86;197.0;0.65;1.28;111.0;0.37;0.72;15056.0;49.84;98.0;38.21;61.22;0.57
22;Côtes-d'Armor;1.0;1ère circonscription;287.0;Saint-Donan;1157.0;518.0;44.77;639.0;55.23;7.0;0.61;1.1;5.0;0.43;0.78;627.0;54.19;98.12;35.72;63.63;0.65
22;Côtes-d'Armor;1.0;1ère circonscription;307.0;Saint-Julien;1545.0;663.0;42.91;882.0;57.09;13.0;0.84;1.47;6.0;0.39;0.68;863.0;55.86;97.85;35.46;64.09;0.45
22;Côtes-d'Armor;1.0;1ère circonscription;356.0;Trégomeur;668.0;249.0;37.28;419.0;62.72;9.0;1.35;2.15;4.0;0.6;0.95;406.0;60.78;96.9;26.36;73.39;0.25
22;Côtes-d'Armor;1.0;1ère circonscription;360.0;Trégueux;6214.0;2655.0;42.73;3559.0;57.27;142.0;2.29;3.99;0.0;0.0;0.0;3417.0;54.99;96.01;34.71;64.47;0.82
22;Côtes-d'Armor;1.0;1ère circonscription;372.0;Trémuson;1500.0;687.0;45.8;813.0;54.2;20.0;1.33;2.46;6.0;0.4;0.74;787.0;52.47;96.8;38.63;61.13;0.24
22;Côtes-d'Armor;1.0;1ère circonscription;389.0;Yffiniac;3468.0;1498.0;43.19;1970.0;56.81;33.0;0.95;1.68;16.0;0.46;0.81;1921.0;55.39;97.51;36.23;63.26;0.51
22;Côtes-d'Armor;2.0;2ème circonscription;3.0;Aucaleuc;672.0;312.0;46.43;360.0;53.57;7.0;1.04;1.94;2.0;0.3;0.56;351.0;52.23;97.5;34.46;64.38;1.16
22;Côtes-d'Armor;2.0;2ème circonscription;8.0;Bobital;893.0;395.0;44.23;498.0;55.77;5.0;0.56;1.0;3.0;0.34;0.6;490.0;54.87;98.39;31.64;67.96;0.4
22;Côtes-d'Armor;2.0;2ème circonscription;12.0;La Bouillie;661.0;288.0;43.57;373.0;56.43;4.0;0.61;1.07;3.0;0.45;0.8;366.0;55.37;98.12;27.87;71.87;0.26
22;Côtes-d'Armor;2.0;2ème circonscription;14.0;Bourseul;804.0;323.0;40.17;481.0;59.83;4.0;0.5;0.83;1.0;0.12;0.21;476.0;59.2;98.96;26.68;73.1;0.22
22;Côtes-d'Armor;2.0;2ème circonscription;20.0;Broons;2030.0;884.0;43.55;1146.0;56.45;22.0;1.08;1.92;18.0;0.89;1.57;1106.0;54.48;96.51;26.48;73.41;0.11
22;Côtes-d'Armor;2.0;2ème circonscription;21.0;Brusvily;848.0;398.0;46.93;450.0;53.07;6.0;0.71;1.33;6.0;0.71;1.33;438.0;51.65;97.33;32.88;65.99;1.13
22;Côtes-d'Armor;2.0;2ème circonscription;26.0;Calorguen;554.0;258.0;46.57;296.0;53.43;11.0;1.99;3.72;1.0;0.18;0.34;284.0;51.26;95.95;36.62;62.31;1.07
22;Côtes-d'Armor;2.0;2ème circonscription;32.0;Caulnes;1811.0;820.0;45.28;991.0;54.72;18.0;0.99;1.82;14.0;0.77;1.41;959.0;52.95;96.77;26.39;72.47;1.14
22;Côtes-d'Armor;2.0;2ème circonscription;35.0;Les Champs-Géraux;835.0;402.0;48.14;433.0;51.86;9.0;1.08;2.08;1.0;0.12;0.23;423.0;50.66;97.69;35.46;64.31;0.23
22;Côtes-d'Armor;2.0;2ème circonscription;36.0;La Chapelle-Blanche;157.0;64.0;40.76;93.0;59.24;2.0;1.27;2.15;0.0;0.0;0.0;91.0;57.96;97.85;26.38;70.33;3.29
22;Côtes-d'Armor;2.0;2ème circonscription;48.0;Corseul;1673.0;825.0;49.31;848.0;50.69;11.0;0.66;1.3;5.0;0.3;0.59;832.0;49.73;98.11;29.45;70.06;0.49
