Code département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Score_Gauche;Score_Droite;Score_Divers
22;Côtes-d'Armor;01;1ère circonscription;91910;43151;46.95;48759.0;53.05;795.0;0.86;1.63;333.0;0.36;0.68;47631.0;51.82;97.69;39.15;59.41;1.44
22;Côtes-d'Armor;02;2ème circonscription;103405;45493;43.99;57912.0;56.01;777.0;0.75;1.34;390.0;0.38;0.67;56745.0;54.88;97.98;28.34;69.15;2.51
22;Côtes-d'Armor;03;3ème circonscription;88969;39690;44.61;49279.0;55.39;494.0;0.56;1.0;320.0;0.36;0.65;48465.0;54.47;98.35;24.46;56.89;18.65
22;Côtes-d'Armor;04;4ème circonscription;81079;36361;44.85;44718.0;55.15;766.0;0.94;1.71;390.0;0.48;0.87;43562.0;53.73;97.41;44.34;53.74;1.92
22;Côtes-d'Armor;05;5ème circonscription;107754;46694;43.33;61060.0;56.67;798.0;0.74;1.31;320.0;0.3;0.52;59942.0;55.63;98.17;41.15;57.92;0.93
29;Finistère;01;1ère circonscription;92327;42054;45.55;50273.0;54.45;806.0;0.87;1.6;345.0;0.37;0.69;49122.0;53.2;97.71;33.09;31.42;35.49
29;Finistère;02;2ème circonscription;79064;40061;50.67;39003.0;49.33;935.0;1.18;2.4;38.0;0.05;0.1;38030.0;48.1;97.51;36.28;53.77;9.95
29;Finistère;03;3ème circonscription;93142;45066;48.38;48076.0;51.62;918.0;0.99;1.91;167.0;0.18;0.35;46991.0;50.45;97.74;33.07;25.56;41.37
29;Finistère;04;4ème circonscription;84015;39130;46.58;44885.0;53.42;682.0;0.81;1.52;229.0;0.27;0.51;43974.0;52.34;97.97;34.06;63.65;2.29
29;Finistère;05;5ème circonscription;97851;47227;48.26;50624.0;51.74;653.0;0.67;1.29;216.0;0.22;0.43;49755.0;50.85;98.28;31.69;67.56;0.75
29;Finistère;06;6ème circonscription;91259;41001;44.93;50258.0;55.07;716.0;0.78;1.42;297.0;0.33;0.59;49245.0;53.96;97.98;32.17;65.41;2.42
29;Finistère;07;7ème circonscription;83306;37467;44.98;45839.0;55.02;685.0;0.82;1.49;326.0;0.39;0.71;44828.0;53.81;97.79;33.22;64.2;2.58
29;Finistère;08;8ème circonscription;91066;42878;47.08;48188.0;52.92;970.0;1.07;2.01;554.0;0.61;1.15;46664.0;51.24;96.84;35.56;29.58;34.86
35;Ille-et-Vilaine;01;1ère circonscription;93482;43440;46.47;50042.0;53.53;773.0;0.83;1.54;321.0;0.34;0.64;48948.0;52.36;97.81;45.81;52.16;2.03
35;Ille-et-Vilaine;02;2ème circonscription;98259;42410;43.16;55849.0;56.84;913.0;0.93;1.63;282.0;0.29;0.5;54654.0;55.62;97.86;41.88;55.85;2.27
35;Ille-et-Vilaine;03;3ème circonscription;91835;43669;47.55;48166.0;52.45;768.0;0.84;1.59;308.0;0.34;0.64;47090.0;51.28;97.77;39.78;60.05;0.17
35;Ille-et-Vilaine;04;4ème circonscription;95807;47381;49.45;48426.0;50.55;893.0;0.93;1.84;401.0;0.42;0.83;47132.0;49.19;97.33;36.42;61.97;1.61
35;Ille-et-Vilaine;05;5ème circonscription;109714;54316;49.51;55398.0;50.49;939.0;0.86;1.7;445.0;0.41;0.8;54014.0;49.23;97.5;30.56;68.7;0.74
35;Ille-et-Vilaine;06;6ème circonscription;90274;43256;47.92;47018.0;52.08;791.0;0.88;1.68;335.0;0.37;0.71;45892.0;50.84;97.61;27.86;70.62;1.52
35;Ille-et-Vilaine;07;7ème circonscription;105132;50143;47.7;54989.0;52.3;677.0;0.64;1.23;278.0;0.26;0.51;54034.0;51.4;98.26;23.46;74.71;1.83
35;Ille-et-Vilaine;08;8ème circonscription;90991;40660;44.69;50331.0;55.31;657.0;0.72;1.31;226.0;0.25;0.45;49448.0;54.34;98.25;51.94;47.56;0.5
44;Loire-Atlantique;01;1ère circonscription;77125;34947;45.31;42178.0;54.69;573.0;0.74;1.36;101.0;0.13;0.24;41504.0;53.81;98.4;42.74;56.22;1.04
44;Loire-Atlantique;02;2ème circonscription;91433;40126;43.89;51307.0;56.11;662.0;0.72;1.29;191.0;0.21;0.37;50454.0;55.18;98.34;48.77;48.89;2.34
44;Loire-Atlantique;03;3ème circonscription;96735;48854;50.5;47881.0;49.5;1031.0;1.07;2.15;221.0;0.23;0.46;46629.0;48.2;97.39;45.89;52.22;1.89
44;Loire-Atlantique;04;4ème circonscription;93261;45027;48.28;48234.0;51.72;585.0;0.63;1.21;257.0;0.28;0.53;47392.0;50.82;98.25;49.87;50.09;0.04
44;Loire-Atlantique;05;5ème circonscription;125896;59856;47.54;66040.0;52.46;1033.0;0.82;1.56;297.0;0.24;0.45;64710.0;51.4;97.99;37.84;60.12;2.04
44;Loire-Atlantique;06;6ème circonscription;115370;59617;51.67;55753.0;48.33;1132.0;0.98;2.03;433.0;0.38;0.78;54188.0;46.97;97.19;35.2;39.63;25.17
44;Loire-Atlantique;07;7ème circonscription;117302;57535;49.05;59767.0;50.95;1095.0;0.93;1.83;358.0;0.31;0.6;58314.0;49.71;97.57;30.04;69.93;0.03
44;Loire-Atlantique;08;8ème circonscription;90125;47488;52.69;42637.0;47.31;507.0;0.56;1.19;202.0;0.22;0.47;41928.0;46.52;98.34;47.03;52.72;0.25
