Code département;Code de la commune;LIBGEO;% Exp/Ins;CODGEO;Score_Gauche;Score_Droite;Score_Divers
22;11;Boqueho;51.1;22011;46.2;53.81;0.0
22;45;Cohiniac;51.33;22045;38.96;61.04;0.0
22;81;Hillion;57.63;22081;32.63;67.38;0.0
22;106;Langueux;52.08;22106;37.08;62.91;0.01
22;144;La Méaugon;49.24;22144;41.65;58.36;0.0
22;176;Plédran;51.93;22176;27.54;72.46;0.0
22;182;Plélo;52.43;22182;38.37;61.64;0.0
22;187;Plérin;56.85;22187;39.95;60.04;0.01
22;188;Plerneuf;56.64;22188;38.84;61.16;0.0
22;206;Châtelaudren-Plouagat;49.76;22206;44.62;55.38;0.0
22;215;Ploufragan;50.9;22215;43.08;56.91;0.01
22;234;Plouvara;50.95;22234;39.62;60.37;0.01
22;251;Pordic;55.9;22251;37.47;62.53;0.0
22;278;Saint-Brieuc;48.83;22278;46.3;53.7;0.0
22;287;Saint-Donan;51.04;22287;37.41;62.6;0.0
22;307;Saint-Julien;51.46;22307;36.76;63.26;0.0
22;356;Trégomeur;56.45;22356;36.44;63.58;0.0
22;360;Trégueux;50.44;22360;40.58;59.41;0.01
22;372;Trémuson;50.91;22372;39.26;60.73;0.01
22;389;Yffiniac;52.07;22389;36.91;63.08;0.01
22;3;Aucaleuc;53.04;22003;36.99;62.0;1.01
22;8;Bobital;54.83;22008;30.69;69.12;0.19
22;12;La Bouillie;53.74;22012;18.18;81.81;0.01
22;14;Bourseul;56.58;22014;22.24;77.56;0.2
22;20;Broons;52.54;22020;21.32;78.31;0.37
22;21;Brusvily;54.37;22021;33.83;65.98;0.19
22;26;Calorguen;50.94;22026;36.12;62.88;1.0
22;32;Caulnes;50.19;22032;24.15;74.89;0.96
22;35;Les Champs-Géraux;54.73;22035;32.82;66.09;1.09
22;36;La Chapelle-Blanche;60.49;22036;21.43;75.51;3.06
22;48;Corseul;49.06;22048;30.2;69.23;0.57
22;49;Créhen;54.41;22049;19.06;80.95;0.0
22;50;Dinan;53.7;22050;34.41;64.86;0.73
22;53;Eréac;54.47;22053;19.78;79.85;0.37
22;54;Erquy;56.58;22054;25.25;73.17;1.58
22;56;Evran;52.31;22056;37.27;62.44;0.29
22;69;Guenroc;60.99;22069;32.43;67.56;0.01
22;71;Guitté;55.79;22071;29.26;70.74;0.0
22;76;Hénanbihen;55.17;22076;21.67;77.86;0.47
22;77;Hénansal;49.32;22077;24.67;74.26;1.07
22;82;Le Hinglé;56.85;22082;35.78;63.2;1.02
22;93;Lamballe-Armor;52.01;22093;30.76;67.34;1.9
22;94;Lancieux;62.42;22094;26.92;71.91;1.17
22;96;Landébia;55.22;22096;19.91;78.61;1.48
22;97;La Landec;63.22;22097;22.22;77.12;0.66
22;103;Langrolay-sur-Rance;61.42;22103;43.14;56.07;0.79
22;104;Languédias;54.95;22104;45.04;54.95;0.01
22;105;Languenan;53.45;22105;25.42;74.18;0.4
22;114;Lanrelas;56.01;22114;17.39;82.61;0.0
22;118;Lanvallay;59.93;22118;38.37;61.03;0.6
