Code département;Libellé département;Code circonscription législative;Libellé circonscription législative;Inscrits;Votants;% Votants;Abstentions;% Abstentions;Exprimés;% Exprimés/inscrits;% Exprimés/votants;Blancs;% Blancs/inscrits;% Blancs/votants;Nuls;% Nuls/inscrits;% Nuls/votants;Score_Gauche;Score_Droite;Score_Divers
22;Côtes-d'Armor;2201.0;1ère circonscription;90639.0;67257.0;74,20%;23382.0;25,80%;65580.0;72,35%;97,51%;1142.0;1,26%;1,70%;535.0;0,59%;0,80%;34.89;65.09;0.02
22;Côtes-d'Armor;2202.0;2ème circonscription;104517.0;78197.0;74,82%;26320.0;25,18%;76563.0;73,25%;97,91%;958.0;0,92%;1,23%;676.0;0,65%;0,86%;26.54;73.46;0.0
22;Côtes-d'Armor;2203.0;3ème circonscription;89421.0;65587.0;73,35%;23834.0;26,65%;64211.0;71,81%;97,90%;795.0;0,89%;1,21%;581.0;0,65%;0,89%;23.62;75.72;0.66
22;Côtes-d'Armor;2204.0;4ème circonscription;81566.0;59638.0;73,12%;21928.0;26,88%;57440.0;70,42%;96,31%;1441.0;1,77%;2,42%;757.0;0,93%;1,27%;33.65;66.35;0.0
22;Côtes-d'Armor;2205.0;5ème circonscription;107761.0;80713.0;74,90%;27048.0;25,10%;77958.0;72,34%;96,59%;1784.0;1,66%;2,21%;971.0;0,90%;1,20%;33.11;66.89;0.0
29;Finistère;2901.0;1ère circonscription;92336.0;69589.0;75,36%;22747.0;24,64%;67938.0;73,58%;97,63%;1156.0;1,25%;1,66%;495.0;0,54%;0,71%;34.09;65.9;0.01
29;Finistère;2902.0;2ème circonscription;78166.0;54557.0;69,80%;23609.0;30,20%;53426.0;68,35%;97,93%;1075.0;1,38%;1,97%;56.0;0,07%;0,10%;38.39;61.6;0.01
29;Finistère;2903.0;3ème circonscription;93853.0;69023.0;73,54%;24830.0;26,46%;67160.0;71,56%;97,30%;1505.0;1,60%;2,18%;358.0;0,38%;0,52%;28.01;71.55;0.44
29;Finistère;2904.0;4ème circonscription;84364.0;62008.0;73,50%;22356.0;26,50%;60680.0;71,93%;97,86%;963.0;1,14%;1,55%;365.0;0,43%;0,59%;32.47;67.53;0.0
29;Finistère;2905.0;5ème circonscription;98753.0;72724.0;73,64%;26029.0;26,36%;71168.0;72,07%;97,86%;1119.0;1,13%;1,54%;437.0;0,44%;0,60%;28.0;71.99;0.01
29;Finistère;2906.0;6ème circonscription;91534.0;66931.0;73,12%;24603.0;26,88%;65116.0;71,14%;97,29%;1294.0;1,41%;1,93%;521.0;0,57%;0,78%;40.83;59.18;0.0
29;Finistère;2907.0;7ème circonscription;83684.0;62579.0;74,78%;21105.0;25,22%;61026.0;72,92%;97,52%;1032.0;1,23%;1,65%;521.0;0,62%;0,83%;32.65;67.35;0.0
