Code département;Libellé département;Code commune;Libellé commune;Inscrits;Votants;% Votants;Abstentions;% Abstentions;Exprimés;% Exprimés/inscrits;% Exprimés/votants;Blancs;% Blancs/inscrits;% Blancs/votants;Nuls;% Nuls/inscrits;% Nuls/votants;Score_Gauche;Score_Droite;Score_Divers
22;Côtes-d'Armor;22001.0;Allineuc;462.0;350.0;75,76%;112.0;24,24%;347.0;75,11%;99,14%;2.0;0,43%;0,57%;1.0;0,22%;0,29%;20.46;78.68;0.86
22;Côtes-d'Armor;22002.0;Andel;965.0;724.0;75,03%;241.0;24,97%;701.0;72,64%;96,82%;18.0;1,87%;2,49%;5.0;0,52%;0,69%;25.53;73.47;1.0
22;Côtes-d'Armor;22003.0;Aucaleuc;742.0;542.0;73,05%;200.0;26,95%;532.0;71,70%;98,15%;7.0;0,94%;1,29%;3.0;0,40%;0,55%;29.51;70.49;0.0
22;Côtes-d'Armor;22004.0;Bégard;3887.0;2639.0;67,89%;1248.0;32,11%;2544.0;65,45%;96,40%;60.0;1,54%;2,27%;35.0;0,90%;1,33%;31.76;68.24;0.0
22;Côtes-d'Armor;22005.0;Belle-Isle-en-Terre;767.0;575.0;74,97%;192.0;25,03%;555.0;72,36%;96,52%;12.0;1,56%;2,09%;8.0;1,04%;1,39%;36.75;63.24;0.01
22;Côtes-d'Armor;22006.0;Berhet;174.0;136.0;78,16%;38.0;21,84%;132.0;75,86%;97,06%;1.0;0,57%;0,74%;3.0;1,72%;2,21%;31.07;68.94;0.0
22;Côtes-d'Armor;22008.0;Bobital;944.0;715.0;75,74%;229.0;24,26%;696.0;73,73%;97,34%;9.0;0,95%;1,26%;10.0;1,06%;1,40%;24.43;75.57;0.0
22;Côtes-d'Armor;22009.0;Le Bodéo;134.0;95.0;70,90%;39.0;29,10%;93.0;69,40%;97,89%;2.0;1,49%;2,11%;0.0;0,00%;0,00%;20.43;79.57;0.0
22;Côtes-d'Armor;22011.0;Boqueho;799.0;614.0;76,85%;185.0;23,15%;597.0;74,72%;97,23%;14.0;1,75%;2,28%;3.0;0,38%;0,49%;34.34;65.66;0.0
22;Côtes-d'Armor;22012.0;La Bouillie;680.0;508.0;74,71%;172.0;25,29%;497.0;73,09%;97,83%;5.0;0,74%;0,98%;6.0;0,88%;1,18%;19.32;80.69;0.0
22;Côtes-d'Armor;22013.0;Bourbriac;1713.0;1173.0;68,48%;540.0;31,52%;1128.0;65,85%;96,16%;24.0;1,40%;2,05%;21.0;1,23%;1,79%;32.27;67.73;0.0
22;Côtes-d'Armor;22014.0;Bourseul;857.0;667.0;77,83%;190.0;22,17%;657.0;76,66%;98,50%;5.0;0,58%;0,75%;5.0;0,58%;0,75%;21.62;78.39;0.0
22;Côtes-d'Armor;22015.0;Bréhand;1278.0;981.0;76,76%;297.0;23,24%;967.0;75,67%;98,57%;9.0;0,70%;0,92%;5.0;0,39%;0,51%;19.34;80.36;0.3
22;Côtes-d'Armor;22016.0;Ile-de-Bréhat;490.0;382.0;77,96%;108.0;22,04%;372.0;75,92%;97,38%;10.0;2,04%;2,62%;0.0;0,00%;0,00%;26.89;73.11;0.0
22;Côtes-d'Armor;22018.0;Brélidy;267.0;215.0;80,52%;52.0;19,48%;207.0;77,53%;96,28%;6.0;2,25%;2,79%;2.0;0,75%;0,93%;38.65;61.35;0.0
22;Côtes-d'Armor;22019.0;Bringolo;339.0;269.0;79,35%;70.0;20,65%;264.0;77,88%;98,14%;3.0;0,88%;1,12%;2.0;0,59%;0,74%;35.22;64.78;0.0
22;Côtes-d'Armor;22020.0;Broons;2119.0;1551.0;73,19%;568.0;26,81%;1514.0;71,45%;97,61%;14.0;0,66%;0,90%;23.0;1,09%;1,48%;18.1;81.89;0.01
22;Côtes-d'Armor;22021.0;Brusvily;909.0;665.0;73,16%;244.0;26,84%;653.0;71,84%;98,20%;6.0;0,66%;0,90%;6.0;0,66%;0,90%;27.87;72.12;0.01
22;Côtes-d'Armor;22023.0;Bulat-Pestivien;324.0;245.0;75,62%;79.0;24,38%;238.0;73,46%;97,14%;3.0;0,93%;1,22%;4.0;1,23%;1,63%;34.45;65.54;0.01
22;Côtes-d'Armor;22024.0;Calanhel;187.0;150.0;80,21%;37.0;19,79%;149.0;79,68%;99,33%;0.0;0,00%;0,00%;1.0;0,53%;0,67%;21.47;78.52;0.01
22;Côtes-d'Armor;22025.0;Callac;1576.0;1100.0;69,80%;476.0;30,20%;1080.0;68,53%;98,18%;14.0;0,89%;1,27%;6.0;0,38%;0,55%;31.38;68.62;0.0
22;Côtes-d'Armor;22026.0;Calorguen;601.0;419.0;69,72%;182.0;30,28%;408.0;67,89%;97,37%;8.0;1,33%;1,91%;3.0;0,50%;0,72%;34.56;65.45;0.0
22;Côtes-d'Armor;22027.0;Le Cambout;330.0;240.0;72,73%;90.0;27,27%;237.0;71,82%;98,75%;2.0;0,61%;0,83%;1.0;0,30%;0,42%;16.03;83.96;0.01
22;Côtes-d'Armor;22028.0;Camlez;685.0;517.0;75,47%;168.0;24,53%;497.0;72,55%;96,13%;10.0;1,46%;1,93%;10.0;1,46%;1,93%;25.15;74.85;0.0
