CODGEO;LIBGEO;annee;indice_position_sociale
29103;LANDERNEAU;2020;112.40
22278;SAINT BRIEUC;2020;106.77
29220;PONT L ABBE;2020;103.63
22113;LANNION;2020;111.15
29039;CONCARNEAU;2020;108.53
29232;QUIMPER;2020;109.49
22362;TREGUIER;2020;107.20
56260;VANNES;2020;113.34
56007;AURAY;2020;111.65
29233;QUIMPERLE;2020;107.25
29259;SAINT POL DE LEON;2020;101.35
29019;BREST;2020;112.70
35236;REDON;2020;100.28
56091;JOSSELIN;2020;80.80
56178;PONTIVY;2020;96.80
35288;SAINT MALO;2020;110.04
29105;LANDIVISIAU;2020;109.30
35278;SAINT GREGOIRE;2020;135.00
35238;RENNES;2020;113.11
56121;LORIENT;2020;110.48
22136;LOUDEAC;2020;101.80
22070;GUINGAMP;2020;101.03
22325;SAINT QUAY PORTRIEUX;2020;93.50
29302;PONT DE BUIS LES QUIMERCH;2020;83.60
35125;LA GUERCHE DE BRETAGNE;2020;106.00
35240;LE RHEU;2020;125.70
35115;FOUGERES;2020;98.93
35152;LIFFRE;2020;123.90
56083;HENNEBONT;2020;106.07
35337;TINTENIAC;2020;82.80
56162;PLOEMEUR;2020;94.10
29151;MORLAIX;2020;103.25
56075;GUER;2020;103.20
56263;SAINTE ANNE D AURAY;2020;116.80
22093;LAMBALLE ARMOR;2020;100.47
22162;PAIMPOL;2020;108.60
29026;CHATEAULIN;2020;109.80
35047;BRUZ;2020;128.90
29124;LESNEVEN;2020;113.50
35297;SAINT MEEN LE GRAND;2020;103.70
56181;PORT LOUIS;2020;91.60
35051;CESSON SEVIGNE;2020;128.20
56182;PRIZIAC;2020;88.10
29046;DOUARNENEZ;2020;96.70
35188;MONTFORT SUR MEU;2020;117.10
35360;VITRE;2020;100.83
35093;DINARD;2020;111.30
22266;ROSTRENEN;2020;94.70
22262;QUINTIN;2020;98.95
22050;DINAN;2020;108.27
22210;PLOUBAZLANEC;2020;86.20
35095;DOL DE BRETAGNE;2020;93.85
35085;COMBOURG;2020;117.30
35184;MONTAUBAN DE BRETAGNE;2020;110.70
56055;ETEL;2020;92.00
56184;QUESTEMBERT;2020;105.10
56098;LANESTER;2020;110.40
56117;LOCMINE;2020;89.60
35012;BAIN DE BRETAGNE;2020;116.60
56165;PLOERMEL;2020;102.40
29162;PLEYBEN;2020;87.20
56066;GOURIN;2020;91.80
29024;CARHAIX PLOUGUER;2020;116.05
