Code région;indicateur;unite_de_compte;nombre_2017;nombre_2022;nombre_2024;taux_pour_mille_2017;taux_pour_mille_2022;taux_pour_mille_2024;insee_pop_2017;insee_pop_2022;insee_pop_2024
53;Coups et blessures volontaires intrafamiliaux;Victime;3512.0;7012.0;8054.0;1.0581807;2.0485882;2.3530134;3318904.0;3422845.0;3422845.0
53;Autres coups et blessures volontaires;Victime;4664.0;5542.0;5395.0;1.4052832;1.6191209;1.5761742;3318904.0;3422845.0;3422845.0
53;Cambriolages de logement;Infraction;7769.0;8146.0;9073.0;4.0463843;4.0939306;4.5598125;3318904.0;3422845.0;3422845.0
53;Vols avec armes;Infraction;164.0;177.0;178.0;0.0494139;0.0517114;0.0520035;3318904.0;3422845.0;3422845.0
53;Destructions et dégradations volontaires;Infraction;26467.0;24178.0;23680.0;7.9746205;7.0637145;6.9182215;3318904.0;3422845.0;3422845.0
53;Usage de stupéfiants (AFD);Mis en cause;0.0;3738.0;4612.0;0.0;1.092074;1.3474171;3318904.0;3422845.0;3422845.0
53;Vols violents sans arme;Infraction;1591.0;1237.0;1143.0;0.4793751;0.3613953;0.3339327;3318904.0;3422845.0;3422845.0
53;Vols sans violence contre des personnes;Victime entendue;23837.0;21364.0;19638.0;7.1821903;6.2415914;5.7373325;3318904.0;3422845.0;3422845.0
53;Usage de stupéfiants;Mis en cause;6454.0;8457.0;8219.0;1.9446179;2.4707517;2.4012189;3318904.0;3422845.0;3422845.0
53;Trafic de stupéfiants;Mis en cause;1525.0;1604.0;1590.0;0.459489;0.468616;0.4645259;3318904.0;3422845.0;3422845.0
53;Escroqueries;Victime;11054.0;17114.0;18600.0;3.3306176;4.9999343;5.434076;3318904.0;3422845.0;3422845.0
53;Vols d'accessoires sur véhicules;Véhicule;4186.0;4286.0;3256.0;1.2612597;1.2521747;0.9512555;3318904.0;3422845.0;3422845.0
53;Violences sexuelles;Victime;2455.0;5109.0;6149.0;0.739702;1.492618;1.7964588;3318904.0;3422845.0;3422845.0
53;Homicides;Victime;29.0;52.0;29.0;0.0087378;0.015192;0.0084725;3318904.0;3422845.0;3422845.0
53;Coups et blessures volontaires;Victime;8176.0;12554.0;13449.0;2.4634638;3.6677092;3.9291876;3318904.0;3422845.0;3422845.0
53;Vols de véhicules;Véhicule;3845.0;3813.0;4784.0;1.158515;1.1139856;1.3976677;3318904.0;3422845.0;3422845.0
53;Vols dans les véhicules;Véhicule;7405.0;6823.0;7218.0;2.2311582;1.993371;2.1087721;3318904.0;3422845.0;3422845.0
53;Tentatives d'homicides;Victime;70.0;87.0;126.0;0.0210913;0.0254175;0.0368115;3318904.0;3422845.0;3422845.0
