CODGEO,LIBGEO,Code département,annee,type,taux_brut_de_mortalit___pour_mille_
22001,Allineuc,22,2017,Taux brut de mortalité (pour mille),12.4
22002,Andel,22,2017,Taux brut de mortalité (pour mille),12.4
22003,Aucaleuc,22,2017,Taux brut de mortalité (pour mille),12.4
22004,Bégard,22,2017,Taux brut de mortalité (pour mille),12.4
22005,Belle-Isle-en-Terre,22,2017,Taux brut de mortalité (pour mille),12.4
22006,Berhet,22,2017,Taux brut de mortalité (pour mille),12.4
22008,Bobital,22,2017,Taux brut de mortalité (pour mille),12.4
22009,Le Bodéo,22,2017,Taux brut de mortalité (pour mille),12.4
22011,Boqueho,22,2017,Taux brut de mortalité (pour mille),12.4
22012,La Bouillie,22,2017,Taux brut de mortalité (pour mille),12.4
22013,Bourbriac,22,2017,Taux brut de mortalité (pour mille),12.4
22014,Bourseul,22,2017,Taux brut de mortalité (pour mille),12.4
22015,Bréhand,22,2017,Taux brut de mortalité (pour mille),12.4
22016,Île-de-Bréhat,22,2017,Taux brut de mortalité (pour mille),12.4
22018,Brélidy,22,2017,Taux brut de mortalité (pour mille),12.4
22019,Bringolo,22,2017,Taux brut de mortalité (pour mille),12.4
22020,Broons,22,2017,Taux brut de mortalité (pour mille),12.4
22021,Brusvily,22,2017,Taux brut de mortalité (pour mille),12.4
22023,Bulat-Pestivien,22,2017,Taux brut de mortalité (pour mille),12.4
22024,Calanhel,22,2017,Taux brut de mortalité (pour mille),12.4
22025,Callac,22,2017,Taux brut de mortalité (pour mille),12.4
22026,Calorguen,22,2017,Taux brut de mortalité (pour mille),12.4
22027,Le Cambout,22,2017,Taux brut de mortalité (pour mille),12.4
22028,Camlez,22,2017,Taux brut de mortalité (pour mille),12.4
22029,Canihuel,22,2017,Taux brut de mortalité (pour mille),12.4
22030,Caouënnec-Lanvézéac,22,2017,Taux brut de mortalité (pour mille),12.4
22031,Carnoët,22,2017,Taux brut de mortalité (pour mille),12.4
22032,Caulnes,22,2017,Taux brut de mortalité (pour mille),12.4
22033,Caurel,22,2017,Taux brut de mortalité (pour mille),12.4
22034,Cavan,22,2017,Taux brut de mortalité (pour mille),12.4
22035,Les Champs-Géraux,22,2017,Taux brut de mortalité (pour mille),12.4
22036,La Chapelle-Blanche,22,2017,Taux brut de mortalité (pour mille),12.4
22037,La Chapelle-Neuve,22,2017,Taux brut de mortalité (pour mille),12.4
22039,La Chèze,22,2017,Taux brut de mortalité (pour mille),12.4
22040,Coadout,22,2017,Taux brut de mortalité (pour mille),12.4
22041,Coatascorn,22,2017,Taux brut de mortalité (pour mille),12.4
22042,Coatréven,22,2017,Taux brut de mortalité (pour mille),12.4
22043,Coëtlogon,22,2017,Taux brut de mortalité (pour mille),12.4
22044,Coëtmieux,22,2017,Taux brut de mortalité (pour mille),12.4
22045,Cohiniac,22,2017,Taux brut de mortalité (pour mille),12.4
22046,Le Mené,22,2017,Taux brut de mortalité (pour mille),12.4
22047,Corlay,22,2017,Taux brut de mortalité (pour mille),12.4
22048,Corseul,22,2017,Taux brut de mortalité (pour mille),12.4
22049,Créhen,22,2017,Taux brut de mortalité (pour mille),12.4
22050,Dinan,22,2017,Taux brut de mortalité (pour mille),12.4
22052,Duault,22,2017,Taux brut de mortalité (pour mille),12.4
22053,Éréac,22,2017,Taux brut de mortalité (pour mille),12.4
