CODGEO;LIBGEO;Code département;annee;type;indice_position_sociale;code_com;geo_point;nom_com;code_dep
22050;Dinan;22;2021;indice position sociale lycee;109.87;22050;48.44612091913673, -2.0513021305898294;Dinan;22
22070;Guingamp;22;2021;indice position sociale lycee;101.80;22070;48.5606296002789, -3.153483856443051;Guingamp;22
22093;Lamballe-Armor;22;2021;indice position sociale lycee;101.77;22093;48.48507006191167, -2.529991643442078;Lamballe-Armor;22
22113;Lannion;22;2021;indice position sociale lycee;111.40;22113;48.74372057592956, -3.4613016821377243;Lannion;22
22136;Loudéac;22;2021;indice position sociale lycee;97.35;22136;48.17440032876323, -2.750532416873835;Loudéac;22
22162;Paimpol;22;2021;indice position sociale lycee;110.10;22162;48.77341237427662, -3.0547770418859117;Paimpol;22
22210;Ploubazlanec;22;2021;indice position sociale lycee;87.60;22210;48.80531646998795, -3.044734163599906;Ploubazlanec;22
22262;Quintin;22;2021;indice position sociale lycee;98.45;22262;48.40333804955121, -2.911687900047397;Quintin;22
22266;Rostrenen;22;2021;indice position sociale lycee;92.35;22266;48.221350295199755, -3.311658878688656;Rostrenen;22
22278;Saint-Brieuc;22;2021;indice position sociale lycee;107.69;22278;48.51485172596246, -2.7633107258871803;Saint-Brieuc;22
22325;Saint-Quay-Portrieux;22;2021;indice position sociale lycee;94.40;22325;48.65409653504049, -2.8432806060833724;Saint-Quay-Portrieux;22
22362;Tréguier;22;2021;indice position sociale lycee;107.15;22362;48.78432609355878, -3.2323635346482997;Tréguier;22
29019;Brest;29;2021;indice position sociale lycee;112.58;29019;48.40025315002706, -4.5022743091573005;Brest;29
29024;Carhaix-Plouguer;29;2021;indice position sociale lycee;116.10;29024;48.26874866034538, -3.5660276318224926;Carhaix-Plouguer;29
29026;Châteaulin;29;2021;indice position sociale lycee;110.55;29026;48.2029550902763, -4.073744375880054;Châteaulin;29
29039;Concarneau;29;2021;indice position sociale lycee;109.17;29039;47.896435981192745, -3.9071513793560153;Concarneau;29
29046;Douarnenez;29;2021;indice position sociale lycee;94.50;29046;48.08013693636966, -4.328018989613503;Douarnenez;29
29103;Landerneau;29;2021;indice position sociale lycee;113.47;29103;48.45110778868429, -4.264152882864628;Landerneau;29
29105;Landivisiau;29;2021;indice position sociale lycee;108.65;29105;48.51640261852274, -4.060783070547436;Landivisiau;29
29124;Lesneven;29;2021;indice position sociale lycee;115.60;29124;48.579931585671595, -4.312933724793882;Lesneven;29
29151;Morlaix;29;2021;indice position sociale lycee;104.55;29151;48.600172746985365, -3.820230290300184;Morlaix;29
29162;Pleyben;29;2021;indice position sociale lycee;88.20;29162;48.23806529764443, -3.975576007013348;Pleyben;29
29220;Pont-l'Abbé;29;2021;indice position sociale lycee;103.73;29220;47.86518510033503, -4.216779264849821;Pont-l'Abbé;29
29232;Quimper;29;2021;indice position sociale lycee;109.91;29232;47.997098062270894, -4.091098521510396;Quimper;29
29233;Quimperlé;29;2021;indice position sociale lycee;108.20;29233;47.856152094565374, -3.555022112400577;Quimperlé;29
29259;Saint-Pol-de-Léon;29;2021;indice position sociale lycee;101.75;29259;48.67261399484696, -3.9889649514467895;Saint-Pol-de-Léon;29
29302;Pont-de-Buis-lès-Quimerch;29;2021;indice position sociale lycee;84.70;29302;48.274461596785976, -4.1076167058104955;Pont-de-Buis-lès-Quimerch;29
35012;Bain-de-Bretagne;35;2021;indice position sociale lycee;118.20;35012;47.830231648923785, -1.6763369438514282;Bain-de-Bretagne;35
35047;Bruz;35;2021;indice position sociale lycee;129.75;35047;48.025913217225295, -1.7485061399065818;Bruz;35
35051;Cesson-Sévigné;35;2021;indice position sociale lycee;126.75;35051;48.12039966477695, -1.5972458503417073;Cesson-Sévigné;35
35085;Combourg;35;2021;indice position sociale lycee;117.50;35085;48.408753699983144, -1.7453444163953886;Combourg;35
35093;Dinard;35;2021;indice position sociale lycee;111.30;35093;48.6247418029858, -2.062086402017181;Dinard;35
35095;Dol-de-Bretagne;35;2021;indice position sociale lycee;94.70;35095;48.53657645489995, -1.7420828657421403;Dol-de-Bretagne;35
35115;Fougères;35;2021;indice position sociale lycee;101.67;35115;48.35276718322625, -1.1944135772968316;Fougères;35
35125;La Guerche-de-Bretagne;35;2021;indice position sociale lycee;100.80;35125;47.943904868425264, -1.2432228880104614;La Guerche-de-Bretagne;35
35152;Liffré;35;2021;indice position sociale lycee;126.90;35152;48.20413216246477, -1.5143753230436945;Liffré;35
35184;Montauban-de-Bretagne;35;2021;indice position sociale lycee;110.30;35184;48.20427298994769, -2.0654492330225964;Montauban-de-Bretagne;35
35188;Montfort-sur-Meu;35;2021;indice position sociale lycee;120.70;35188;48.1261161434467, -1.9639345184295152;Montfort-sur-Meu;35
35236;Redon;35;2021;indice position sociale lycee;103.14;35236;47.66121677716608, -2.080163096315868;Redon;35
35238;Rennes;35;2021;indice position sociale lycee;113.35;35238;48.11167956598057, -1.6818689569630096;Rennes;35
35240;Le Rheu;35;2021;indice position sociale lycee;129.30;35240;48.097275606268866, -1.7810066434882224;Le Rheu;35
35278;Saint-Grégoire;35;2021;indice position sociale lycee;133.70;35278;48.15849263307686, -1.685339999670711;Saint-Grégoire;35
35288;Saint-Malo;35;2021;indice position sociale lycee;112.08;35288;48.64003675777474, -1.9808472198720661;Saint-Malo;35
35297;Saint-Méen-le-Grand;35;2021;indice position sociale lycee;108.60;35297;48.19234019983671, -2.1949712086050135;Saint-Méen-le-Grand;35
35337;Tinténiac;35;2021;indice position sociale lycee;83.90;35337;48.323509655712265, -1.8299439794584789;Tinténiac;35
35360;Vitré;35;2021;indice position sociale lycee;99.30;35360;48.11411110392002, -1.1934825616829488;Vitré;35
56007;Auray;56;2021;indice position sociale lycee;112.85;56007;47.66748009764836, -2.990485003314689;Auray;56
56055;Étel;56;2021;indice position sociale lycee;92.10;56055;47.65668268418407, -3.198361132823938;Étel;56
56066;Gourin;56;2021;indice position sociale lycee;89.70;56066;48.13658848473797, -3.604143385699294;Gourin;56
56075;Guer;56;2021;indice position sociale lycee;103.90;56075;47.907834204843375, -2.1291416938091445;Guer;56
56083;Hennebont;56;2021;indice position sociale lycee;106.20;56083;47.80760381235834, -3.270365675295573;Hennebont;56
56091;Josselin;56;2021;indice position sociale lycee;81.30;56091;47.95410919481656, -2.5478970675285364;Josselin;56
56098;Lanester;56;2021;indice position sociale lycee;110.80;56098;47.7687942559813, -3.3274296933541865;Lanester;56
56117;Locminé;56;2021;indice position sociale lycee;91.00;56117;47.88013020822618, -2.8375421312081484;Locminé;56
56121;Lorient;56;2021;indice position sociale lycee;111.96;56121;47.75071301573847, -3.378920874280433;Lorient;56
56162;Ploemeur;56;2021;indice position sociale lycee;95.60;56162;47.73253803650636, -3.4422692007023734;Ploemeur;56
56165;Ploërmel;56;2021;indice position sociale lycee;102.70;56165;47.91735560263944, -2.3799161293791484;Ploërmel;56
56178;Pontivy;56;2021;indice position sociale lycee;98.07;56178;48.07319555613593, -2.9706396858952147;Pontivy;56
56181;Port-Louis;56;2021;indice position sociale lycee;92.40;56181;47.70963263626797, -3.3496637660344617;Port-Louis;56
56182;Priziac;56;2021;indice position sociale lycee;89.30;56182;48.055586046532774, -3.4350791454637206;Priziac;56
56184;Questembert;56;2021;indice position sociale lycee;104.60;56184;47.6639367378623, -2.436508004592603;Questembert;56
56260;Vannes;56;2021;indice position sociale lycee;113.21;56260;47.659813652734925, -2.7570920082373913;Vannes;56
56263;Sainte-Anne-d'Auray;56;2021;indice position sociale lycee;117.90;56263;47.70040779589602, -2.9528589698396592;Sainte-Anne-d'Auray;56
