CODGEO,LIBGEO,Code département,annee,type,code_de_la_commune,code_com,geo_point,loyer_pr_dit_en_euros_par_m_,nom_com,code_dep
22001,Allineuc,22,2024,carte loyer,001,22001,"48.31157405032765, -2.8670651337472943",7.89460202301942,Allineuc,22
22001,Allineuc,22,2024,carte loyer,001,22001,"48.31157405032765, -2.8670651337472943",7.0259460902392,Allineuc,22
22002,Andel,22,2024,carte loyer,002,22002,"48.49410497493759, -2.5510433254576497",9.96230238872937,Andel,22
22002,Andel,22,2024,carte loyer,002,22002,"48.49410497493759, -2.5510433254576497",8.99580804546581,Andel,22
22003,Aucaleuc,22,2024,carte loyer,003,22003,"48.451792041709744, -2.1276186283311356",11.0175779531662,Aucaleuc,22
22003,Aucaleuc,22,2024,carte loyer,003,22003,"48.451792041709744, -2.1276186283311356",9.06914516908406,Aucaleuc,22
22004,Bégard,22,2024,carte loyer,004,22004,"48.634784370412966, -3.291537395440154",8.63296174254796,Bégard,22
22004,Bégard,22,2024,carte loyer,004,22004,"48.634784370412966, -3.291537395440154",8.01896118814474,Bégard,22
22005,Belle-Isle-en-Terre,22,2024,carte loyer,005,22005,"48.53106512361239, -3.3818371582833917",6.86078782116046,Belle-Isle-en-Terre,22
22005,Belle-Isle-en-Terre,22,2024,carte loyer,005,22005,"48.53106512361239, -3.3818371582833917",6.63874765222973,Belle-Isle-en-Terre,22
22006,Berhet,22,2024,carte loyer,006,22006,"48.69750531447889, -3.308461332158849",10.4117640468499,Berhet,22
22006,Berhet,22,2024,carte loyer,006,22006,"48.69750531447889, -3.308461332158849",6.91330042081061,Berhet,22
22008,Bobital,22,2024,carte loyer,008,22008,"48.41461576165647, -2.0974341309190154",11.2004142590537,Bobital,22
22008,Bobital,22,2024,carte loyer,008,22008,"48.41461576165647, -2.0974341309190154",9.06914516908406,Bobital,22
22009,Le Bodéo,22,2024,carte loyer,009,22009,"48.32624169771798, -2.9213545296739416",9.33944698640629,Le Bodéo,22
22009,Le Bodéo,22,2024,carte loyer,009,22009,"48.32624169771798, -2.9213545296739416",7.59803665050264,Le Bodéo,22
22011,Boqueho,22,2024,carte loyer,011,22011,"48.46832061079392, -2.9849252040192678",9.8876295978888,Boqueho,22
22011,Boqueho,22,2024,carte loyer,011,22011,"48.46832061079392, -2.9849252040192678",7.06923074557976,Boqueho,22
22012,La Bouillie,22,2024,carte loyer,012,22012,"48.58358930983129, -2.4419466987465595",10.4049369166459,La Bouillie,22
22012,La Bouillie,22,2024,carte loyer,012,22012,"48.58358930983129, -2.4419466987465595",9.40406254394859,La Bouillie,22
22013,Bourbriac,22,2024,carte loyer,013,22013,"48.46614145008935, -3.1998492745005143",8.15264805619419,Bourbriac,22
22013,Bourbriac,22,2024,carte loyer,013,22013,"48.46614145008935, -3.1998492745005143",8.02451453231007,Bourbriac,22
22014,Bourseul,22,2024,carte loyer,014,22014,"48.46712529195602, -2.2649305685662817",11.2004142590537,Bourseul,22
22014,Bourseul,22,2024,carte loyer,014,22014,"48.46712529195602, -2.2649305685662817",7.77017191405504,Bourseul,22
22015,Bréhand,22,2024,carte loyer,015,22015,"48.39371348739721, -2.5887890119592436",9.65913471720898,Bréhand,22
22015,Bréhand,22,2024,carte loyer,015,22015,"48.39371348739721, -2.5887890119592436",8.8728428813788,Bréhand,22
22016,Île-de-Bréhat,22,2024,carte loyer,016,22016,"48.84999753399896, -3.0020099584464472",9.63595531922072,Île-de-Bréhat,22
22016,Île-de-Bréhat,22,2024,carte loyer,016,22016,"48.84999753399896, -3.0020099584464472",8.97670873268001,Île-de-Bréhat,22
22018,Brélidy,22,2024,carte loyer,018,22018,"48.64929062701858, -3.227795253843802",9.22160622471704,Brélidy,22
22018,Brélidy,22,2024,carte loyer,018,22018,"48.64929062701858, -3.227795253843802",7.68323753845413,Brélidy,22
22019,Bringolo,22,2024,carte loyer,019,22019,"48.57715815476378, -3.0063341580506617",9.97436262493348,Bringolo,22
22019,Bringolo,22,2024,carte loyer,019,22019,"48.57715815476378, -3.0063341580506617",8.32133051503484,Bringolo,22
22020,Broons,22,2024,carte loyer,020,22020,"48.31131192288653, -2.2409231184102447",10.815524945102,Broons,22
22020,Broons,22,2024,carte loyer,020,22020,"48.31131192288653, -2.2409231184102447",7.83678037199783,Broons,22
22021,Brusvily,22,2024,carte loyer,021,22021,"48.39398952757658, -2.117702528013565",11.2004142590537,Brusvily,22
22021,Brusvily,22,2024,carte loyer,021,22021,"48.39398952757658, -2.117702528013565",7.87304222581911,Brusvily,22
22023,Bulat-Pestivien,22,2024,carte loyer,023,22023,"48.43429350906591, -3.332708898349024",6.86078782116046,Bulat-Pestivien,22
22023,Bulat-Pestivien,22,2024,carte loyer,023,22023,"48.43429350906591, -3.332708898349024",7.23941362128617,Bulat-Pestivien,22
22024,Calanhel,22,2024,carte loyer,024,22024,"48.44062078647692, -3.4755663949139017",7.32611707484028,Calanhel,22
22024,Calanhel,22,2024,carte loyer,024,22024,"48.44062078647692, -3.4755663949139017",6.63874765222973,Calanhel,22
22025,Callac,22,2024,carte loyer,025,22025,"48.42196827664741, -3.416491285381751",7.89725120486249,Callac,22
22025,Callac,22,2024,carte loyer,025,22025,"48.42196827664741, -3.416491285381751",7.05752749555633,Callac,22
