CODGEO,LIBGEO,Code département,annee,type,code_de_la_commune,code_com,geo_point,energie_type,filiere,puissances_kw,production_mwh,nom_com,code_dep
22001,Allineuc,22,2024,production energetique,001,22001,"48.31157405032765, -2.8670651337472943",Chaleur,Solaire thermique,10.0,9.0,Allineuc,22
22001,Allineuc,22,2024,production energetique,001,22001,"48.31157405032765, -2.8670651337472943",Electricité,Solaire PV,1912.0,2231.0,Allineuc,22
22001,Allineuc,22,2024,production energetique,001,22001,"48.31157405032765, -2.8670651337472943",Chaleur,PAC (aérothermie et géothermie),788.0,563.0,Allineuc,22
22001,Allineuc,22,2024,production energetique,001,22001,"48.31157405032765, -2.8670651337472943",Electricité,Hydroélectricité,0.0,0.0,Allineuc,22
22001,Allineuc,22,2024,production energetique,001,22001,"48.31157405032765, -2.8670651337472943",Chaleur,Bois énergie domestique,1254.0,1005.0,Allineuc,22
22002,Andel,22,2024,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Chaleur,Solaire thermique,20.0,15.0,Andel,22
22002,Andel,22,2024,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Electricité,Solaire PV,256.0,69.0,Andel,22
22002,Andel,22,2024,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Chaleur,PAC (aérothermie et géothermie),1230.0,879.0,Andel,22
22002,Andel,22,2024,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Electricité,Méthanisation,316.0,1948.0,Andel,22
22002,Andel,22,2024,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Chaleur,Méthanisation,360.0,2219.0,Andel,22
22002,Andel,22,2024,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Electricité,Hydroélectricité,0.0,0.0,Andel,22
22002,Andel,22,2024,production energetique,002,22002,"48.49410497493759, -2.5510433254576497",Chaleur,Bois énergie domestique,2434.0,1952.0,Andel,22
22003,Aucaleuc,22,2024,production energetique,003,22003,"48.451792041709744, -2.1276186283311356",Chaleur,Solaire thermique,20.0,12.0,Aucaleuc,22
22003,Aucaleuc,22,2024,production energetique,003,22003,"48.451792041709744, -2.1276186283311356",Electricité,Solaire PV,31.0,24.0,Aucaleuc,22
22003,Aucaleuc,22,2024,production energetique,003,22003,"48.451792041709744, -2.1276186283311356",Chaleur,PAC (aérothermie et géothermie),1017.0,727.0,Aucaleuc,22
22003,Aucaleuc,22,2024,production energetique,003,22003,"48.451792041709744, -2.1276186283311356",Electricité,Hydroélectricité,0.0,0.0,Aucaleuc,22
22003,Aucaleuc,22,2024,production energetique,003,22003,"48.451792041709744, -2.1276186283311356",Chaleur,Bois énergie domestique,2188.0,1754.0,Aucaleuc,22
22004,Bégard,22,2024,production energetique,004,22004,"48.634784370412966, -3.291537395440154",Chaleur,Solaire thermique,90.0,67.0,Bégard,22
22004,Bégard,22,2024,production energetique,004,22004,"48.634784370412966, -3.291537395440154",Electricité,Solaire PV,441.0,114.0,Bégard,22
22004,Bégard,22,2024,production energetique,004,22004,"48.634784370412966, -3.291537395440154",Chaleur,PAC (aérothermie et géothermie),5699.0,4072.0,Bégard,22
22004,Bégard,22,2024,production energetique,004,22004,"48.634784370412966, -3.291537395440154",Biométhane,Méthanisation,0.0,0.0,Bégard,22
22004,Bégard,22,2024,production energetique,004,22004,"48.634784370412966, -3.291537395440154",Electricité,Hydroélectricité,0.0,0.0,Bégard,22
22004,Bégard,22,2024,production energetique,004,22004,"48.634784370412966, -3.291537395440154",Electricité,Fossile,4401.0,12280.0,Bégard,22
22004,Bégard,22,2024,production energetique,004,22004,"48.634784370412966, -3.291537395440154",Chaleur,Fossile,4951.0,13815.0,Bégard,22
22004,Bégard,22,2024,production energetique,004,22004,"48.634784370412966, -3.291537395440154",Chaleur,Bois énergie domestique,9980.0,8002.0,Bégard,22
22004,Bégard,22,2024,production energetique,004,22004,"48.634784370412966, -3.291537395440154",Chaleur,Bois énergie chaufferies,1800.0,3814.0,Bégard,22
22005,Belle-Isle-en-Terre,22,2024,production energetique,005,22005,"48.53106512361239, -3.3818371582833917",Chaleur,Solaire thermique,20.0,18.0,Belle-Isle-en-Terre,22
22005,Belle-Isle-en-Terre,22,2024,production energetique,005,22005,"48.53106512361239, -3.3818371582833917",Electricité,Solaire PV,73.0,56.0,Belle-Isle-en-Terre,22
22005,Belle-Isle-en-Terre,22,2024,production energetique,005,22005,"48.53106512361239, -3.3818371582833917",Chaleur,PAC (aérothermie et géothermie),1503.0,1074.0,Belle-Isle-en-Terre,22
22005,Belle-Isle-en-Terre,22,2024,production energetique,005,22005,"48.53106512361239, -3.3818371582833917",Electricité,Hydroélectricité,0.0,0.0,Belle-Isle-en-Terre,22
22005,Belle-Isle-en-Terre,22,2024,production energetique,005,22005,"48.53106512361239, -3.3818371582833917",Chaleur,Bois énergie domestique,2629.0,2108.0,Belle-Isle-en-Terre,22
22005,Belle-Isle-en-Terre,22,2024,production energetique,005,22005,"48.53106512361239, -3.3818371582833917",Chaleur,Bois énergie chaufferies,300.0,344.0,Belle-Isle-en-Terre,22
22006,Berhet,22,2024,production energetique,006,22006,"48.69750531447889, -3.308461332158849",Chaleur,Solaire thermique,10.0,4.0,Berhet,22
22006,Berhet,22,2024,production energetique,006,22006,"48.69750531447889, -3.308461332158849",Chaleur,PAC (aérothermie et géothermie),321.0,230.0,Berhet,22
22006,Berhet,22,2024,production energetique,006,22006,"48.69750531447889, -3.308461332158849",Electricité,Hydroélectricité,0.0,0.0,Berhet,22
22006,Berhet,22,2024,production energetique,006,22006,"48.69750531447889, -3.308461332158849",Chaleur,Bois énergie domestique,542.0,434.0,Berhet,22
