Code,Nuance,Orientation
DXG,Divers extrême gauche,Gauche
RDG,Parti radical de gauche,Gauche
NUP,Nouvelle union populaire écologique et sociale,Gauche
DVG,Divers gauche,Gauche
ECO,Ecologistes,Gauche
DIV,Divers,
REG,Régionaliste,Droite
ENS,Ensemble ! (Majorité présidentielle),Droite
DVC,Divers centre,Droite
UDI,Union des Démocrates et des Indépendants,Droite
LR,Les Républicains,Droite
DVD,Divers droite,Droite
DSV,Droite souverainiste,Droite
REC,Reconquête !,Droite
RN,Rassemblement National,Droite
DXD,Divers extrême droite,Droite
