CODGEO;LIBGEO;Loyer prédit en euros par m²;Code département;Code de la commune
35029;Bonnemain;7.39177412378796;35;029
35095;Dol-de-Bretagne;8.49568647566364;35;095
35247;Roz-sur-Couesnon;7.39177412378796;35;247
35354;Vieux-Viel;7.39177412378796;35;354
35009;Baguer-Morvan;7.39177412378796;35;009
35222;Pleine-Fougères;7.39177412378796;35;222
35044;Broualan;7.39177412378796;35;044
35291;Saint-Marcan;7.39177412378796;35;291
35259;Saint-Broladre;7.39177412378796;35;259
35329;Sougeal;7.39177412378796;35;329
35034;La Boussac;7.39177412378796;35;034
35010;Baguer-Pican;7.39177412378796;35;010
22028;Camlez;7.87061007178178;22;028
22090;Kermaria-Sulard;7.87061007178178;22;090
22381;Trézény;7.87061007178178;22;381
22134;Louannec;7.87061007178178;22;134
22324;Saint-Quay-Perros;7.87061007178178;22;324
22218;Plougrescant;7.87061007178178;22;218
22265;Rospez;7.87061007178178;22;265
22379;Trévou-Tréguignec;7.87061007178178;22;379
22166;Penvénan;7.87061007178178;22;166
22110;Lanmérin;7.87061007178178;22;110
22042;Coatréven;7.87061007178178;22;042
22363;Trélévern;7.87061007178178;22;363
22221;Plouguiel;7.87061007178178;22;221
22031;Carnoët;6.03409169097647;22;031
29014;Botsorhel;6.03409169097647;29;014
22231;Plourac'h;6.03409169097647;22;231
22344;Trébrivan;6.03409169097647;22;344
22129;Loc-Envel;6.03409169097647;22;129
22351;Treffrin;6.03409169097647;22;351
29067;Guerlesquin;6.03409169097647;29;067
29191;Plougonven;6.03409169097647;29;191
29012;Bolazec;6.03409169097647;29;012
22132;Lohuec;6.03409169097647;22;132
29114;Lannéanou;6.03409169097647;29;114
22228;Plounévez-Moëdec;6.03409169097647;22;228
22227;Plounérin;6.03409169097647;22;227
22005;Belle-Isle-en-Terre;6.03409169097647;22;005
29207;Plourin-lès-Morlaix;7.37969524220037;29;207
35206;Noyal-Châtillon-sur-Seiche;10.2861221852907;35;206
35363;Pont-Péan;9.92126020212246;35;363
35208;Orgères;9.66195835575819;35;208
35266;Saint-Erblon;9.51146301849518;35;266
35066;Chartres-de-Bretagne;10.3862208996211;35;066
56207;Saint-Barthélemy;7.77825881690958;56;207
56104;Lanvaudan;7.77825881690958;56;104
56076;Guern;7.77825881690958;56;076
56101;Languidic;8.83311040155837;56;101
56128;Melrand;7.77825881690958;56;128
56188;Quistinic;7.77825881690958;56;188
56089;Inguiniel;7.77825881690958;56;089
35342;Trémeheuc;8.13631609237705;35;342
35085;Combourg;8.69259390134892;35;085
35092;Cuguen;8.13631609237705;35;092
35164;Marcillé-Raoul;8.13631609237705;35;164
35205;Noyal-sous-Bazouges;8.13631609237705;35;205
35056;La Chapelle-aux-Filtzméens;8.13631609237705;35;056
35159;Lourmais;8.13631609237705;35;159
35148;Lanrigan;8.13631609237705;35;148
35104;Epiniac;8.13631609237705;35;104
35226;Pleugueneuc;8.13631609237705;35;226
29116;Lanneuffret;7.6867155974071;29;116
29010;Bodilis;7.6867155974071;29;010
29204;Plounéventer;7.6867155974071;29;204
29264;Saint-Servais;7.6867155974071;29;264
29124;Lesneven;8.29140498860331;29;124
29193;Plougourvest;7.6867155974071;29;193
29179;Ploudaniel;8.06557611964281;29;179
29128;Loc-Eguiner;7.6867155974071;29;128
29288;Trégarantec;7.6867155974071;29;288
29029;Cléden-Poher;6.37617599346089;29;029
29205;Plounévézel;6.37617599346089;29;205
22373;Tréogan;6.37617599346089;22;373
29081;Huelgoat;6.37617599346089;29;081
29024;Carhaix-Plouguer;6.92503687121338;29;024
29152;Motreff;6.37617599346089;29;152
29089;Kergloff;6.37617599346089;29;089
29227;Poullaouen;6.37617599346089;29;227
22157;Le Moustoir;6.37617599346089;22;157
29212;Plouzané;9.34162485367667;29;212
29069;Guilers;9.29082747014146;29;069
29130;Locmaria-Plouzané;9.42696904313808;29;130
29011;Bohars;9.6429385579166;29;011
44182;Saint-Michel-Chef-Chef;9.93573689283405;44;182
44154;Saint-Brevin-les-Pins;10.4097395926733;44;154
44126;La Plaine-sur-Mer;9.83074880507906;44;126
22197;Pleudihen-sur-Rance;9.67387789917552;22;197
35306;Saint-Père-Marc-en-Poulet;9.67387789917552;35;306
35358;La Ville-ès-Nonais;9.67387789917552;35;358
35314;Saint-Suliac;9.67387789917552;35;314
35070;Châteauneuf-d'Ille-et-Vilaine;9.67387789917552;35;070
35179;Miniac-Morvan;9.28692031986844;35;179
22001;Allineuc;6.96692848263116;22;001
22384;Uzel;6.96692848263116;22;384
22346;Trédaniel;6.96692848263116;22;346
22296;Saint-Glen;6.96692848263116;22;296
22153;Moncontour;6.96692848263116;22;153
22079;Hénon;6.96692848263116;22;079
22203;Plœuc-L'Hermitage;7.26228265288306;22;203
22060;Gausson;6.96692848263116;22;060
22345;Trébry;6.96692848263116;22;345
22219;Plouguenast-Langast;6.96692848263116;22;219
22184;Plémy;6.71824514887875;22;184
56077;Le Guerno;8.83211254144818;56;077
56153;Péaule;8.41524307411964;56;153
56149;Noyal-Muzillac;8.83211254144818;56;149
56126;Marzan;8.87666366708333;56;126
56143;Muzillac;9.62748535726542;56;143
29217;Pont-Aven;8.65239302235347;29;217
29300;Le Trévoux;8.65239302235347;29;300
29147;Mellac;8.65239302235347;29;147
29236;Riec-sur-Bélon;8.40310503783546;29;236
29272;Saint-Yvi;8.65239302235347;29;272
29150;Moëlan-sur-Mer;8.94111986592896;29;150
29146;Melgven;8.65239302235347;29;146
29153;Névez;8.65239302235347;29;153
29039;Concarneau;9.54011177400448;29;039
29293;Trégunc;9.11506448141052;29;293
22287;Saint-Donan;7.5561492712521;22;287
22356;Trégomeur;7.5561492712521;22;356
22188;Plerneuf;7.5561492712521;22;188
22045;Cohiniac;7.5561492712521;22;045
22144;La Méaugon;7.5561492712521;22;144
22232;Plourhan;7.5561492712521;22;232
22375;Tressignaux;7.5561492712521;22;375
22372;Trémuson;8.15774831080126;22;372
22182;Plélo;7.37290937364629;22;182
22117;Lantic;7.5561492712521;22;117
22361;Tréguidel;7.5561492712521;22;361
35054;Chanteloup;8.26201498842215;35;054
35088;Corps-Nuds;8.45376533964335;35;088
35218;Le Petit-Fougeray;8.26201498842215;35;218
35139;Laillé;9.12406003670512;35;139
35090;Crevin;8.26201498842215;35;090
35041;Brie;8.26201498842215;35;041
35032;Bourgbarré;9.02692527291902;35;032
35295;Saint-Maugan;7.49693300780654;35;295
35133;Iffendic;8.16728485618515;35;133
35203;La Nouaye;7.49693300780654;35;203
35201;Muel;7.49693300780654;35;201
35023;Bédée;8.87994182988244;35;023
35277;Saint-Gonlay;7.49693300780654;35;277
35026;Bléruais;7.49693300780654;35;026
35290;Saint-Malon-sur-Mel;7.49693300780654;35;290
35135;Irodouër;7.49693300780654;35;135
35320;Saint-Uniac;7.49693300780654;35;320
44049;Le Croisic;11.1061136872228;44;049
44135;Le Pouliguen;11.1061136872228;44;135
44069;Guérande;10.7206440931113;44;069
44010;Batz-sur-Mer;11.1061136872228;44;010
44211;La Turballe;11.1061136872228;44;211
44104;Montrelais;7.68685678642081;44;104
35176;Guipry-Messac;7.86228171404228;35;176
35151;Lieuron;7.64522233754232;35;151
35155;Lohéac;7.64522233754232;35;155
35098;La Dominelais;7.64522233754232;35;098
