CODGEO;Code département;Code de la commune;LIBGEO;population_totale;taux_diplome_universitaire_total;taux_bac_ou_moins_total;taux_universitaire_16_24_ans;taux_bac_ou_moins_16_24_ans;taux_universitaire_25_ans_et_plus;taux_bac_ou_moins_25_ans_et_plus
22001;22;001;Allineuc;531;25.05;74.95;50.0;50.0;24.57;75.43
22002;22;002;Andel;1110;23.06;76.94;16.95;83.05;23.41;76.59
22003;22;003;Aucaleuc;793;18.16;81.84;7.58;92.42;19.12;80.88
22004;22;004;Bégard;4604;19.09;80.91;12.73;87.27;19.5;80.5
22005;22;005;Belle-Isle-en-Terre;1021;19.49;80.51;19.48;80.52;19.49;80.51
22006;22;006;Berhet;206;9.22;90.78;0.0;100.0;9.64;90.36
22008;22;008;Bobital;1145;22.97;77.03;23.64;76.36;22.94;77.06
22009;22;009;Le Bodéo;146;18.49;81.51;0.0;100.0;19.01;80.99
22011;22;011;Boqueho;883;16.42;83.58;26.32;73.68;15.98;84.02
22012;22;012;La Bouillie;817;19.71;80.29;16.67;83.33;19.82;80.18
22013;22;013;Bourbriac;1948;13.81;86.19;0.0;100.0;14.26;85.74
22014;22;014;Bourseul;999;16.22;83.78;22.95;77.05;15.78;84.22
22015;22;015;Bréhand;1542;16.47;83.53;10.71;89.29;17.05;82.95
22016;22;016;Île-de-Bréhat;469;27.72;72.28;0.0;100.0;28.82;71.18
22018;22;018;Brélidy;328;20.43;79.57;18.18;81.82;20.59;79.41
22019;22;019;Bringolo;398;22.86;77.14;;;22.86;77.14
22020;22;020;Broons;2723;16.89;83.11;21.21;78.79;16.61;83.39
22021;22;021;Brusvily;1052;14.92;85.08;6.33;93.67;15.62;84.38
22023;22;023;Bulat-Pestivien;418;25.6;74.4;43.75;56.25;24.09;75.91
22024;22;024;Calanhel;215;6.98;93.02;33.33;66.67;5.0;95.0
22025;22;025;Callac;2158;12.51;87.49;0.0;100.0;12.62;87.38
22026;22;026;Calorguen;648;19.29;80.71;17.11;82.89;19.58;80.42
22027;22;027;Le Cambout;380;14.47;85.53;40.0;60.0;13.06;86.94
22028;22;028;Camlez;815;22.82;77.18;22.22;77.78;22.84;77.16
22029;22;029;Canihuel;333;18.32;81.68;0.0;100.0;18.65;81.35
22030;22;030;Caouënnec-Lanvézéac;767;19.17;80.83;28.57;71.43;18.72;81.28
22031;22;031;Carnoët;675;18.52;81.48;40.0;60.0;17.69;82.31
22032;22;032;Caulnes;2426;21.89;78.11;10.85;89.15;22.51;77.49
