Code département;Libellé du département;Code de la circonscription;% Exp/Ins;Score_Gauche;Score_Droite;Score_Divers
22;Côtes-d'Armor;1.0;53.91;36.7;62.71;0.59
22;Côtes-d'Armor;2.0;56.7;28.89;70.61;0.5
22;Côtes-d'Armor;3.0;59.27;15.93;83.52;0.55
22;Côtes-d'Armor;4.0;56.76;45.08;54.27;0.65
22;Côtes-d'Armor;5.0;56.92;30.12;68.94;0.94
29;Finistère;1.0;55.91;37.01;62.41;0.58
29;Finistère;2.0;50.72;35.63;62.29;2.08
29;Finistère;3.0;53.63;32.06;66.2;1.74
29;Finistère;4.0;56.91;31.86;67.19;0.95
29;Finistère;5.0;55.09;30.84;68.77;0.39
29;Finistère;6.0;56.88;22.7;74.46;2.84
29;Finistère;7.0;55.2;29.64;69.73;0.63
29;Finistère;8.0;53.04;39.51;59.75;0.74
35;Ille-et-Vilaine;1.0;53.29;38.38;58.46;3.16
35;Ille-et-Vilaine;2.0;57.65;31.72;66.34;1.94
35;Ille-et-Vilaine;3.0;52.42;72.75;26.52;0.73
35;Ille-et-Vilaine;4.0;51.14;33.94;65.45;0.61
35;Ille-et-Vilaine;5.0;54.36;20.66;78.98;0.36
35;Ille-et-Vilaine;6.0;53.84;19.65;79.83;0.52
35;Ille-et-Vilaine;7.0;54.02;16.96;81.08;1.96
35;Ille-et-Vilaine;8.0;55.57;39.12;58.29;2.59
44;Loire-Atlantique;1.0;54.88;27.0;71.84;1.16
44;Loire-Atlantique;2.0;56.12;39.24;59.4;1.36
44;Loire-Atlantique;3.0;51.37;40.29;56.84;2.87
44;Loire-Atlantique;4.0;53.24;42.52;56.1;1.38
44;Loire-Atlantique;5.0;54.77;34.1;65.29;0.61
44;Loire-Atlantique;6.0;52.08;22.07;77.39;0.54
44;Loire-Atlantique;7.0;52.99;22.74;76.49;0.77
44;Loire-Atlantique;8.0;49.49;38.72;58.78;2.5
44;Loire-Atlantique;9.0;53.1;34.4;65.16;0.44
44;Loire-Atlantique;10.0;54.22;23.55;75.95;0.5
56;Morbihan;1.0;55.39;15.61;82.78;1.61
56;Morbihan;2.0;52.82;26.92;43.64;29.44
56;Morbihan;3.0;53.26;19.91;79.59;0.5
56;Morbihan;4.0;53.14;17.4;81.91;0.69
56;Morbihan;5.0;50.4;24.7;73.41;1.89
56;Morbihan;6.0;54.34;21.82;77.76;0.42
