Code département;Libellé du département;Code de la circonscription;Code de la commune;LIBGEO;% Exp/Ins;CODGEO;Score_Gauche;Score_Droite;Score_Divers
22;Côtes-d'Armor;1.0;11;Boqueho;51.05;22011;37.18;62.81;0.01
22;Côtes-d'Armor;1.0;38;Châtelaudren;56.27;22038;42.29;57.72;0.0
22;Côtes-d'Armor;1.0;45;Cohiniac;57.46;22045;32.05;67.95;0.0
22;Côtes-d'Armor;1.0;81;Hillion;54.48;22081;35.1;64.37;0.53
22;Côtes-d'Armor;1.0;106;Langueux;56.49;22106;42.62;56.77;0.61
22;Côtes-d'Armor;1.0;144;La Méaugon;55.97;22144;36.44;62.41;1.15
22;Côtes-d'Armor;1.0;176;Plédran;50.02;22176;34.98;64.48;0.54
22;Côtes-d'Armor;1.0;182;Plélo;57.03;22182;31.82;67.13;1.05
22;Côtes-d'Armor;1.0;187;Plérin;60.38;22187;33.71;65.83;0.46
22;Côtes-d'Armor;1.0;188;Plerneuf;57.1;22188;35.93;63.32;0.75
22;Côtes-d'Armor;1.0;215;Ploufragan;53.69;22215;40.63;58.75;0.62
22;Côtes-d'Armor;1.0;234;Plouvara;54.84;22234;35.29;63.96;0.75
22;Côtes-d'Armor;1.0;251;Pordic;59.08;22251;32.31;67.05;0.64
22;Côtes-d'Armor;1.0;278;Saint-Brieuc;49.84;22278;38.21;61.22;0.57
22;Côtes-d'Armor;1.0;287;Saint-Donan;54.19;22287;35.72;63.63;0.65
22;Côtes-d'Armor;1.0;307;Saint-Julien;55.86;22307;35.46;64.09;0.45
22;Côtes-d'Armor;1.0;356;Trégomeur;60.78;22356;26.36;73.39;0.25
22;Côtes-d'Armor;1.0;360;Trégueux;54.99;22360;34.71;64.47;0.82
22;Côtes-d'Armor;1.0;372;Trémuson;52.47;22372;38.63;61.13;0.24
22;Côtes-d'Armor;1.0;389;Yffiniac;55.39;22389;36.23;63.26;0.51
22;Côtes-d'Armor;2.0;3;Aucaleuc;52.23;22003;34.46;64.38;1.16
22;Côtes-d'Armor;2.0;8;Bobital;54.87;22008;31.64;67.96;0.4
22;Côtes-d'Armor;2.0;12;La Bouillie;55.37;22012;27.87;71.87;0.26
22;Côtes-d'Armor;2.0;14;Bourseul;59.2;22014;26.68;73.1;0.22
22;Côtes-d'Armor;2.0;20;Broons;54.48;22020;26.48;73.41;0.11
22;Côtes-d'Armor;2.0;21;Brusvily;51.65;22021;32.88;65.99;1.13
22;Côtes-d'Armor;2.0;26;Calorguen;51.26;22026;36.62;62.31;1.07
22;Côtes-d'Armor;2.0;32;Caulnes;52.95;22032;26.39;72.47;1.14
22;Côtes-d'Armor;2.0;35;Les Champs-Géraux;50.66;22035;35.46;64.31;0.23
22;Côtes-d'Armor;2.0;36;La Chapelle-Blanche;57.96;22036;26.38;70.33;3.29
22;Côtes-d'Armor;2.0;48;Corseul;49.73;22048;29.45;70.06;0.49
22;Côtes-d'Armor;2.0;49;Créhen;56.28;22049;28.07;71.79;0.14
22;Côtes-d'Armor;2.0;50;Dinan;55.25;22050;28.17;71.3;0.53
22;Côtes-d'Armor;2.0;53;Eréac;63.36;22053;22.44;76.19;1.37
22;Côtes-d'Armor;2.0;54;Erquy;60.14;22054;22.1;77.36;0.54
22;Côtes-d'Armor;2.0;56;Evran;56.78;22056;29.94;69.76;0.3
22;Côtes-d'Armor;2.0;69;Guenroc;61.54;22069;32.69;67.31;0.0
22;Côtes-d'Armor;2.0;71;Guitté;53.29;22071;27.03;72.59;0.38
22;Côtes-d'Armor;2.0;76;Hénanbihen;57.88;22076;23.55;75.7;0.75
22;Côtes-d'Armor;2.0;77;Hénansal;54.73;22077;23.54;75.63;0.83
22;Côtes-d'Armor;2.0;82;Le Hinglé;59.28;22082;37.4;62.6;0.0
22;Côtes-d'Armor;2.0;94;Lancieux;63.4;22094;21.79;77.4;0.81
22;Côtes-d'Armor;2.0;96;Landébia;57.77;22096;27.36;71.22;1.42
22;Côtes-d'Armor;2.0;97;La Landec;63.16;22097;27.33;72.33;0.34
22;Côtes-d'Armor;2.0;103;Langrolay-sur-Rance;59.12;22103;43.38;55.88;0.74
22;Côtes-d'Armor;2.0;104;Languédias;53.33;22104;31.51;68.48;0.01
22;Côtes-d'Armor;2.0;105;Languenan;50.43;22105;26.57;72.95;0.48
22;Côtes-d'Armor;2.0;114;Lanrelas;56.73;22114;20.0;79.73;0.27
22;Côtes-d'Armor;2.0;118;Lanvallay;59.94;22118;27.88;71.51;0.61
22;Côtes-d'Armor;2.0;123;Léhon;58.38;22123;26.08;73.63;0.29
22;Côtes-d'Armor;2.0;143;Matignon;59.02;22143;28.3;71.1;0.6
22;Côtes-d'Armor;2.0;145;Mégrit;58.53;22145;26.33;73.36;0.31
22;Côtes-d'Armor;2.0;172;Plancoët;54.55;22172;34.91;64.69;0.4
22;Côtes-d'Armor;2.0;173;Planguenoual;58.27;22173;33.1;66.28;0.62
22;Côtes-d'Armor;2.0;174;Pléboulle;55.78;22174;29.72;69.67;0.61
22;Côtes-d'Armor;2.0;179;Fréhel;56.0;22179;27.29;71.99;0.72
22;Côtes-d'Armor;2.0;180;Plélan-le-Petit;56.98;22180;31.29;68.08;0.63
22;Côtes-d'Armor;2.0;186;Pléneuf-Val-André;61.7;22186;21.52;78.15;0.33
22;Côtes-d'Armor;2.0;190;Pleslin-Trigavou;52.63;22190;35.26;64.25;0.49
22;Côtes-d'Armor;2.0;197;Pleudihen-sur-Rance;58.28;22197;25.47;73.98;0.55
22;Côtes-d'Armor;2.0;200;Pléven;56.19;22200;36.87;62.7;0.43
22;Côtes-d'Armor;2.0;201;Plévenon;56.64;22201;31.09;67.51;1.4
22;Côtes-d'Armor;2.0;205;Plorec-sur-Arguenon;57.23;22205;30.66;68.82;0.52
22;Côtes-d'Armor;2.0;208;Plouasne;50.97;22208;31.12;68.21;0.67
22;Côtes-d'Armor;2.0;209;Beaussais-sur-Mer;56.86;22209;23.86;75.75;0.39
22;Côtes-d'Armor;2.0;213;Plouër-sur-Rance;56.96;22213;38.08;61.3;0.62
22;Côtes-d'Armor;2.0;237;Pluduno;61.43;22237;25.76;73.95;0.29
22;Côtes-d'Armor;2.0;239;Plumaudan;52.66;22239;38.62;61.14;0.24
22;Côtes-d'Armor;2.0;240;Plumaugat;56.68;22240;26.83;72.33;0.84
22;Côtes-d'Armor;2.0;242;Plurien;55.77;22242;28.45;70.25;1.3
22;Côtes-d'Armor;2.0;259;Quévert;55.14;22259;31.84;67.49;0.67
22;Côtes-d'Armor;2.0;263;Le Quiou;53.16;22263;43.36;56.65;0.0
22;Côtes-d'Armor;2.0;267;Rouillac;48.53;22267;31.82;68.18;0.0
22;Côtes-d'Armor;2.0;268;Ruca;51.5;22268;31.52;67.32;1.16
22;Côtes-d'Armor;2.0;273;Saint-Alban;58.06;22273;25.52;73.75;0.73
22;Côtes-d'Armor;2.0;274;Saint-André-des-Eaux;62.5;22274;45.82;52.91;1.27
22;Côtes-d'Armor;2.0;280;Saint-Carné;52.86;22280;31.82;67.05;1.13
22;Côtes-d'Armor;2.0;282;Saint-Cast-le-Guildo;58.48;22282;21.91;77.7;0.39
22;Côtes-d'Armor;2.0;286;Saint-Denoual;52.79;22286;21.7;78.31;0.0
22;Côtes-d'Armor;2.0;299;Saint-Hélen;53.19;22299;33.03;66.43;0.54
22;Côtes-d'Armor;2.0;302;Saint-Jacut-de-la-Mer;69.58;22302;22.95;76.44;0.61
22;Côtes-d'Armor;2.0;305;Saint-Jouan-de-l'Isle;47.58;22305;28.01;70.7;1.29
22;Côtes-d'Armor;2.0;306;Saint-Judoce;59.0;22306;22.78;76.44;0.78
22;Côtes-d'Armor;2.0;308;Saint-Juvat;56.1;22308;39.27;60.06;0.67
22;Côtes-d'Armor;2.0;311;Saint-Lormel;66.67;22311;32.13;67.65;0.22
22;Côtes-d'Armor;2.0;312;Saint-Maden;60.11;22312;31.82;68.19;0.0
22;Côtes-d'Armor;2.0;315;Saint-Maudez;58.33;22315;36.85;63.16;0.0
22;Côtes-d'Armor;2.0;317;Saint-Méloir-des-Bois;73.96;22317;20.42;79.58;0.0
