Code département;Libellé du département;% Exp/Ins;Score_Gauche;Score_Droite;Score_Divers
22;Côtes-d'Armor;51.82;39.15;59.41;1.44
22;Côtes-d'Armor;54.88;28.34;69.15;2.51
22;Côtes-d'Armor;54.47;24.46;56.89;18.65
22;Côtes-d'Armor;53.73;44.34;53.74;1.92
22;Côtes-d'Armor;55.63;41.15;57.92;0.93
29;Finistère;53.2;33.09;31.42;35.49
29;Finistère;48.1;36.28;53.77;9.95
29;Finistère;50.45;33.07;25.56;41.37
29;Finistère;52.34;34.06;63.65;2.29
29;Finistère;50.85;31.69;67.56;0.75
29;Finistère;53.96;32.17;65.41;2.42
29;Finistère;53.81;33.22;64.2;2.58
29;Finistère;51.24;35.56;29.58;34.86
35;Ille-et-Vilaine;52.36;45.81;52.16;2.03
35;Ille-et-Vilaine;55.62;41.88;55.85;2.27
35;Ille-et-Vilaine;51.28;39.78;60.05;0.17
35;Ille-et-Vilaine;49.19;36.42;61.97;1.61
35;Ille-et-Vilaine;49.23;30.56;68.7;0.74
35;Ille-et-Vilaine;50.84;27.86;70.62;1.52
35;Ille-et-Vilaine;51.4;23.46;74.71;1.83
35;Ille-et-Vilaine;54.34;51.94;47.56;0.5
44;Loire-Atlantique;53.81;42.74;56.22;1.04
44;Loire-Atlantique;55.18;48.77;48.89;2.34
44;Loire-Atlantique;48.2;45.89;52.22;1.89
44;Loire-Atlantique;50.82;49.87;50.09;0.04
44;Loire-Atlantique;51.4;37.84;60.12;2.04
44;Loire-Atlantique;46.97;35.2;39.63;25.17
44;Loire-Atlantique;49.71;30.04;69.93;0.03
44;Loire-Atlantique;46.52;47.03;52.72;0.25
44;Loire-Atlantique;49.48;30.97;68.63;0.4
44;Loire-Atlantique;50.38;34.18;64.7;1.12
56;Morbihan;53.72;29.47;68.59;1.94
56;Morbihan;52.47;27.04;71.99;0.97
56;Morbihan;49.39;27.34;71.65;1.01
56;Morbihan;52.06;21.23;78.75;0.02
56;Morbihan;50.15;34.17;62.52;3.31
56;Morbihan;50.46;28.75;67.06;4.19
