Code département;Libellé département;Code de la circonscription;Libellé de la circonscription;Code de la commune;Libellé commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Score_Gauche;Score_Droite;Score_Divers
22;Côtes-d'Armor;01;1ère circonscription;011;Boqueho;771.0;363.0;47.08;408.0;52.92;8.0;1.04;1.96;6.0;0.78;1.47;394.0;51.1;96.57;46.2;53.81;0.0
22;Côtes-d'Armor;01;1ère circonscription;045;Cohiniac;300.0;138.0;46.0;162.0;54.0;6.0;2.0;3.7;2.0;0.67;1.23;154.0;51.33;95.06;38.96;61.04;0.0
22;Côtes-d'Armor;01;1ère circonscription;081;Hillion;3531.0;1457.0;41.26;2074.0;58.74;25.0;0.71;1.21;14.0;0.4;0.68;2035.0;57.63;98.12;32.63;67.38;0.0
22;Côtes-d'Armor;01;1ère circonscription;106;Langueux;6129.0;2857.0;46.61;3272.0;53.39;53.0;0.86;1.62;27.0;0.44;0.83;3192.0;52.08;97.56;37.08;62.91;0.01
22;Côtes-d'Armor;01;1ère circonscription;144;La Méaugon;985.0;486.0;49.34;499.0;50.66;8.0;0.81;1.6;6.0;0.61;1.2;485.0;49.24;97.19;41.65;58.36;0.0
22;Côtes-d'Armor;01;1ère circonscription;176;Plédran;5244.0;2481.0;47.31;2763.0;52.69;23.0;0.44;0.83;17.0;0.32;0.62;2723.0;51.93;98.55;27.54;72.46;0.0
22;Côtes-d'Armor;01;1ère circonscription;182;Plélo;2426.0;1115.0;45.96;1311.0;54.04;27.0;1.11;2.06;12.0;0.49;0.92;1272.0;52.43;97.03;38.37;61.64;0.0
22;Côtes-d'Armor;01;1ère circonscription;187;Plérin;10997.0;4618.0;41.99;6379.0;58.01;87.0;0.79;1.36;40.0;0.36;0.63;6252.0;56.85;98.01;39.95;60.04;0.01
22;Côtes-d'Armor;01;1ère circonscription;188;Plerneuf;791.0;327.0;41.34;464.0;58.66;9.0;1.14;1.94;7.0;0.88;1.51;448.0;56.64;96.55;38.84;61.16;0.0
22;Côtes-d'Armor;01;1ère circonscription;206;Châtelaudren-Plouagat;635.0;314.0;49.45;321.0;50.55;3.0;0.47;0.93;2.0;0.31;0.62;316.0;49.76;98.44;44.62;55.38;0.0
22;Côtes-d'Armor;01;1ère circonscription;215;Ploufragan;8499.0;4079.0;47.99;4420.0;52.01;54.0;0.64;1.22;40.0;0.47;0.9;4326.0;50.9;97.87;43.08;56.91;0.01
22;Côtes-d'Armor;01;1ère circonscription;234;Plouvara;842.0;396.0;47.03;446.0;52.97;12.0;1.43;2.69;5.0;0.59;1.12;429.0;50.95;96.19;39.62;60.37;0.01
22;Côtes-d'Armor;01;1ère circonscription;251;Pordic;6211.0;2660.0;42.83;3551.0;57.17;59.0;0.95;1.66;20.0;0.32;0.56;3472.0;55.9;97.78;37.47;62.53;0.0
22;Côtes-d'Armor;01;1ère circonscription;278;Saint-Brieuc;29391.0;14756.0;50.21;14635.0;49.79;186.0;0.63;1.27;97.0;0.33;0.66;14352.0;48.83;98.07;46.3;53.7;0.0
22;Côtes-d'Armor;01;1ère circonscription;287;Saint-Donan;1205.0;568.0;47.14;637.0;52.86;15.0;1.24;2.35;7.0;0.58;1.1;615.0;51.04;96.55;37.41;62.6;0.0
22;Côtes-d'Armor;01;1ère circonscription;307;Saint-Julien;1570.0;734.0;46.75;836.0;53.25;19.0;1.21;2.27;9.0;0.57;1.08;808.0;51.46;96.65;36.76;63.26;0.0
22;Côtes-d'Armor;01;1ère circonscription;356;Trégomeur;744.0;309.0;41.53;435.0;58.47;12.0;1.61;2.76;3.0;0.4;0.69;420.0;56.45;96.55;36.44;63.58;0.0
22;Côtes-d'Armor;01;1ère circonscription;360;Trégueux;6370.0;3021.0;47.43;3349.0;52.57;136.0;2.14;4.06;0.0;0.0;0.0;3213.0;50.44;95.94;40.58;59.41;0.01
22;Côtes-d'Armor;01;1ère circonscription;372;Trémuson;1591.0;754.0;47.39;837.0;52.61;22.0;1.38;2.63;5.0;0.31;0.6;810.0;50.91;96.77;39.26;60.73;0.01
