Code département;Score_Gauche;Score_Droite;Score_Divers
22;34.89;65.09;0.02
22;26.54;73.46;0.0
22;23.62;75.72;0.66
22;33.65;66.35;0.0
22;33.11;66.89;0.0
29;34.09;65.9;0.01
29;38.39;61.6;0.01
29;28.01;71.55;0.44
29;32.47;67.53;0.0
29;28.0;71.99;0.01
29;40.83;59.18;0.0
29;32.65;67.35;0.0
29;41.43;58.56;0.01
35;44.14;55.86;0.0
35;41.39;58.6;0.01
35;37.97;62.04;0.0
35;33.36;66.64;0.0
35;27.76;72.24;0.0
35;26.63;73.37;0.0
35;23.58;76.41;0.01
35;53.81;46.19;0.0
44;44.48;55.52;0.0
44;53.67;46.34;0.0
44;45.83;54.17;0.0
44;48.95;51.06;0.0
44;39.1;60.9;0.0
44;35.84;64.15;0.01
44;25.61;74.38;0.01
44;46.59;53.42;0.0
44;30.56;69.46;0.0
44;32.06;67.93;0.01
56;30.99;68.78;0.23
56;26.88;73.12;0.0
56;22.79;77.2;0.01
56;16.03;83.97;0.0
56;37.49;62.5;0.01
56;25.6;74.4;0.0
