Code département;LIBGEO;Score_Gauche;Score_Droite;Score_Divers
22;Allineuc;20.46;78.68;0.86
22;Andel;25.53;73.47;1.0
22;Aucaleuc;29.51;70.49;0.0
22;Bégard;31.76;68.24;0.0
22;Belle-Isle-en-Terre;36.75;63.24;0.01
22;Berhet;31.07;68.94;0.0
22;Bobital;24.43;75.57;0.0
22;Le Bodéo;20.43;79.57;0.0
22;Boqueho;34.34;65.66;0.0
22;La Bouillie;19.32;80.69;0.0
22;Bourbriac;32.27;67.73;0.0
22;Bourseul;21.62;78.39;0.0
22;Bréhand;19.34;80.36;0.3
22;Ile-de-Bréhat;26.89;73.11;0.0
22;Brélidy;38.65;61.35;0.0
22;Bringolo;35.22;64.78;0.0
22;Broons;18.1;81.89;0.01
22;Brusvily;27.87;72.12;0.01
22;Bulat-Pestivien;34.45;65.54;0.01
22;Calanhel;21.47;78.52;0.01
22;Callac;31.38;68.62;0.0
22;Calorguen;34.56;65.45;0.0
22;Le Cambout;16.03;83.96;0.01
22;Camlez;25.15;74.85;0.0
22;Canihuel;20.29;79.71;0.0
22;Caouënnec-Lanvézéac;31.77;68.23;0.0
22;Carnoët;35.59;64.41;0.0
22;Caulnes;19.56;80.43;0.01
22;Caurel;26.03;73.51;0.46
22;Cavan;36.68;63.32;0.0
22;Les Champs-Géraux;29.33;70.68;0.0
22;La Chapelle-Blanche;24.42;75.57;0.01
22;La Chapelle-Neuve;28.64;71.37;0.0
22;La Chèze;20.73;77.82;1.45
22;Coadout;34.71;65.29;0.0
22;Coatascorn;36.69;63.31;0.0
22;Coatréven;30.21;69.79;0.0
22;Coëtlogon;22.04;77.96;0.0
22;Coëtmieux;21.83;77.44;0.73
22;Cohiniac;25.98;74.02;0.0
22;Le Mené;20.83;78.69;0.48
22;Corlay;26.19;73.09;0.72
22;Corseul;27.82;72.18;0.0
22;Créhen;17.39;82.6;0.01
22;Dinan;32.79;67.22;0.0
22;Duault;25.51;74.49;0.0
22;Eréac;14.53;85.45;0.02
22;Erquy;23.31;76.69;0.0
22;Binic-Etables-sur-Mer;31.36;68.64;0.0
22;Evran;32.21;67.79;0.0
22;Le Faouët;36.84;63.15;0.01
22;Le Foeil;23.95;75.93;0.12
22;Gausson;17.08;81.82;1.1
22;Glomel;36.24;63.76;0.0
22;Gomené;25.33;74.34;0.33
22;Gommenec'h;29.88;70.13;0.0
22;Gouarec;27.05;72.95;0.0
22;Goudelin;25.15;74.85;0.0
22;Grâces;32.35;67.65;0.0
22;Grâce-Uzel;19.49;80.09;0.42
22;Guenroc;30.07;69.92;0.01
22;Guingamp;38.27;61.73;0.0
22;Guitté;24.8;75.2;0.0
22;Gurunhuel;28.09;71.91;0.0
22;La Harmoye;31.98;66.67;1.35
22;Le Haut-Corlay;19.15;80.32;0.53
22;Hémonstoir;15.65;84.07;0.28
22;Hénanbihen;15.49;84.51;0.0
22;Hénansal;22.49;77.51;0.0
22;Hénon;24.98;74.38;0.64
22;Hillion;27.59;72.4;0.01
22;Le Hinglé;25.0;74.99;0.01
22;Illifaut;20.52;78.41;1.07
22;Jugon-les-Lacs;29.75;69.0;1.25
22;Kerbors;30.6;69.4;0.0
22;Kerfot;24.42;75.58;0.0
22;Kergrist-Moëlou;35.17;64.83;0.0
22;Kerien;24.46;75.54;0.0
22;Kermaria-Sulard;33.38;66.62;0.0
22;Kermoroc'h;32.63;67.36;0.01
22;Kerpert;29.22;70.78;0.0
22;Lamballe-Armor;28.84;70.59;0.57
22;Lancieux;26.27;73.73;0.0
22;Landebaëron;37.5;62.5;0.0
22;Landébia;19.49;80.51;0.0
22;La Landec;26.77;73.24;0.0
22;Landéhen;22.66;76.24;1.1
22;Lanfains;28.24;71.23;0.53
22;Langoat;32.18;67.82;0.0
22;Langrolay-sur-Rance;38.74;61.27;0.0
22;Languédias;48.28;51.71;0.01
22;Languenan;20.76;79.23;0.01
22;Langueux;30.23;69.77;0.0
22;Bon Repos sur Blavet;34.06;65.94;0.0
22;Lanleff;39.75;60.25;0.0
22;Lanloup;34.9;65.1;0.0
22;Lanmérin;29.97;70.03;0.0
22;Lanmodez;28.67;71.33;0.0
22;Lannebert;25.38;74.61;0.01
22;Lannion;42.95;57.06;0.0
22;Lanrelas;18.59;81.4;0.01
22;Lanrivain;32.34;67.66;0.0
22;Lanrodec;26.39;73.61;0.0
22;Lantic;30.51;69.49;0.0
22;Lanvallay;29.58;70.42;0.0
22;Lanvellec;43.6;56.4;0.0
22;Lanvollon;25.26;74.75;0.0
22;Laurenan;26.55;71.91;1.54
22;Lescouët-Gouarec;51.32;48.67;0.01
22;Le Leslay;26.44;73.56;0.0
22;Lézardrieux;25.59;74.41;0.0
22;Locarn;28.71;71.29;0.0
22;Loc-Envel;58.93;41.07;0.0
22;Loguivy-Plougras;30.61;69.39;0.0
22;Lohuec;13.85;86.16;0.0
22;Loscouët-sur-Meu;17.95;81.49;0.56
22;Louannec;31.52;68.48;0.0
22;Louargat;35.41;64.59;0.0
22;Loudéac;23.67;75.91;0.42
22;Maël-Carhaix;30.99;69.0;0.01
22;Maël-Pestivien;40.66;59.35;0.0
22;Magoar;25.0;75.0;0.0
22;La Malhoure;17.53;81.17;1.3
22;Mantallot;31.79;68.21;0.0
22;Matignon;25.39;74.62;0.0
22;La Méaugon;31.86;68.14;0.0
22;Mégrit;25.63;74.38;0.0
22;Mellionnec;66.91;33.09;0.0
