CODGEO;LIBGEO;annee;indice_position_sociale
29233;QUIMPERLE;2017;104.08
22278;SAINT BRIEUC;2017;105.95
22093;LAMBALLE;2017;100.93
35238;RENNES;2017;113.36
22162;PAIMPOL;2017;108.40
29019;BREST;2017;112.95
29232;QUIMPER;2017;108.32
35184;MONTAUBAN DE BRETAGNE;2017;110.60
35188;MONTFORT SUR MEU;2017;117.20
35047;BRUZ;2017;129.45
56182;PRIZIAC;2017;88.60
22113;LANNION;2017;108.85
29105;LANDIVISIAU;2017;107.15
22362;TREGUIER;2017;104.20
29151;MORLAIX;2017;106.05
29103;LANDERNEAU;2017;109.43
35278;SAINT GREGOIRE;2017;133.80
56260;VANNES;2017;110.64
29039;CONCARNEAU;2017;107.73
56181;PORT LOUIS;2017;88.40
22070;GUINGAMP;2017;98.20
56007;AURAY;2017;111.95
22266;ROSTRENEN;2017;93.60
22325;SAINT QUAY PORTRIEUX;2017;91.30
22210;PLOUBAZLANEC;2017;86.10
22050;DINAN;2017;110.13
29024;CARHAIX PLOUGUER;2017;114.50
56083;HENNEBONT;2017;106.00
56263;SAINTE ANNE D AURAY;2017;115.20
29220;PONT L ABBE;2017;99.57
56121;LORIENT;2017;108.40
35095;DOL DE BRETAGNE;2017;91.85
29162;PLEYBEN;2017;85.70
56178;PONTIVY;2017;97.30
35288;SAINT MALO;2017;108.74
29046;DOUARNENEZ;2017;97.57
22136;LOUDEAC;2017;98.70
35236;REDON;2017;103.06
29302;PONT DE BUIS LES QUIMERCH;2017;80.40
29026;CHATEAULIN;2017;106.35
35360;VITRE;2017;99.87
35115;FOUGERES;2017;98.63
56055;ETEL;2017;88.40
35297;SAINT MEEN LE GRAND;2017;101.40
35085;COMBOURG;2017;114.00
56165;PLOERMEL;2017;107.50
35012;BAIN DE BRETAGNE;2017;113.30
29124;LESNEVEN;2017;108.40
35093;DINARD;2017;110.60
56091;JOSSELIN;2017;79.00
35051;CESSON SEVIGNE;2017;125.25
35240;LE RHEU;2017;124.90
22262;QUINTIN;2017;99.35
29259;SAINT POL DE LEON;2017;95.05
35337;TINTENIAC;2017;82.10
56075;GUER;2017;100.30
35125;LA GUERCHE DE BRETAGNE;2017;107.40
29197;PLOUHINEC;2017;94.50
56066;GOURIN;2017;89.70
56184;QUESTEMBERT;2017;106.10
56162;PLOEMEUR;2017;92.10
56117;LOCMINE;2017;83.90
56098;LANESTER;2017;110.60
