CODGEO;LIBGEO;indice_position_sociale
22266;ROSTRENEN;93.86
35238;RENNES;113.35
56117;LOCMINE;86.88
35360;VITRE;100.16
22070;GUINGAMP;100.10
29019;BREST;112.72
35288;SAINT MALO;110.25
56178;PONTIVY;97.72
29026;CHATEAULIN;108.40
29233;QUIMPERLE;105.63
56162;PLOEMEUR;92.73
22136;LOUDEAC;98.92
29103;LANDERNEAU;111.18
35115;FOUGERES;99.03
56121;LORIENT;109.59
56260;VANNES;111.36
22362;TREGUIER;105.65
29039;CONCARNEAU;107.12
35093;DINARD;110.97
22278;SAINT BRIEUC;106.76
29232;QUIMPER;108.75
56007;AURAY;112.22
29024;CARHAIX PLOUGUER;114.63
29046;DOUARNENEZ;96.61
56083;HENNEBONT;106.66
35184;MONTAUBAN DE BRETAGNE;111.05
29220;PONT L ABBE;101.51
22113;LANNION;110.15
35236;REDON;102.24
35278;SAINT GREGOIRE;134.33
29105;LANDIVISIAU;107.68
29259;SAINT POL DE LEON;97.94
29124;LESNEVEN;111.18
56091;JOSSELIN;80.15
22093;LAMBALLE ARMOR;101.32
29162;PLEYBEN;87.53
22050;DINAN;109.82
35085;COMBOURG;115.68
56075;GUER;102.00
35125;LA GUERCHE DE BRETAGNE;105.18
56098;LANESTER;110.62
56181;PORT LOUIS;89.88
22210;PLOUBAZLANEC;86.53
35095;DOL DE BRETAGNE;93.72
35051;CESSON SEVIGNE;126.37
35297;SAINT MEEN LE GRAND;103.23
35337;TINTENIAC;83.12
35188;MONTFORT SUR MEU;117.78
35047;BRUZ;129.04
56182;PRIZIAC;88.15
22162;PAIMPOL;109.20
29151;MORLAIX;104.60
22093;LAMBALLE;101.14
56263;SAINTE ANNE D AURAY;115.98
22325;SAINT QUAY PORTRIEUX;92.52
29302;PONT DE BUIS LES QUIMERCH;82.68
35152;LIFFRE;125.40
35240;LE RHEU;125.82
22262;QUINTIN;98.16
56165;PLOERMEL;105.84
56055;ETEL;89.95
56184;QUESTEMBERT;105.85
35012;BAIN DE BRETAGNE;114.82
56066;GOURIN;90.45
29197;PLOUHINEC;96.20
56165;PLOËRMEL;102.70
