CODGEO;LIBGEO;taux_pauvrete_commune
22050;Dinan;27.56
22113;Lannion;22.43
22187;Plérin;15.33
22093;Lamballe-Armor;15.32
22278;Saint-Brieuc;28.82
22215;Ploufragan;20.43
29233;Quimperlé;21.90
29046;Douarnenez;21.02
29103;Landerneau;14.84
29039;Concarneau;16.08
29212;Plouzané;12.88
29075;Guipavas;11.40
29232;Quimper;22.43
29019;Brest;25.56
29151;Morlaix;28.62
29235;Le Relecq-Kerhuon;11.73
29189;Plougastel-Daoulas;10.70
35024;Betton;13.40
35093;Dinard;18.40
35047;Bruz;14.13
35055;Chantepie;17.65
35051;Cesson-Sévigné;10.93
35238;Rennes;29.49
35115;Fougères;23.50
35210;Pacé;
35281;Saint-Jacques-de-la-Lande;22.60
35288;Saint-Malo;20.43
35360;Vitré;16.48
44003;Ancenis-Saint-Géréon;18.80
44020;Bouguenais;16.82
44143;Rezé;15.95
44047;Couëron;12.75
44035;La Chapelle-sur-Erdre;12.63
44026;Carquefou;11.47
44069;Guérande;13.52
44114;Orvault;14.37
44131;Pornic;12.57
44154;Saint-Brevin-les-Pins;9.37
44172;Sainte-Luce-sur-Loire;13.55
44055;La Baule-Escoublac;9.92
44129;Pontchâteau;12.80
44162;Saint-Herblain;25.38
44184;Saint-Nazaire;24.63
44109;Nantes;22.00
44132;Pornichet;11.40
44190;Saint-Sébastien-sur-Loire;14.38
44036;Châteaubriant;25.43
44215;Vertou;10.32
56083;Hennebont;17.80
56098;Lanester;24.33
56121;Lorient;28.46
56007;Auray;22.90
56078;Guidel;9.10
56162;Ploemeur;10.52
56260;Vannes;23.01
56178;Pontivy;23.55
56206;Saint-Avé;10.50
