LIBGEO;CODGEO;filiere;energie_type;production_mwh;puissances_kw;Code département;Code de la commune
Allineuc;22001;Bois énergie domestique;Chaleur;973.0;1153.0;22;001
Allineuc;22001;Hydroélectricité;Electricité;0.0;0.0;22;001
Allineuc;22001;PAC (aérothermie et géothermie);Chaleur;245.0;311.0;22;001
Allineuc;22001;Solaire PV;Electricité;76.0;75.0;22;001
Allineuc;22001;Solaire thermique;Chaleur;8.0;10.0;22;001
Andel;22002;Bois énergie domestique;Chaleur;1889.0;2238.0;22;002
Andel;22002;Hydroélectricité;Electricité;0.0;0.0;22;002
Andel;22002;Méthanisation;Chaleur;2706.0;360.0;22;002
Andel;22002;Méthanisation;Electricité;2375.0;316.0;22;002
Andel;22002;PAC (aérothermie et géothermie);Chaleur;382.0;486.0;22;002
Andel;22002;Solaire PV;Electricité;56.0;52.0;22;002
Andel;22002;Solaire thermique;Chaleur;12.0;20.0;22;002
Aucaleuc;22003;Bois énergie domestique;Chaleur;1698.0;2012.0;22;003
Aucaleuc;22003;Hydroélectricité;Electricité;0.0;0.0;22;003
Aucaleuc;22003;PAC (aérothermie et géothermie);Chaleur;316.0;401.0;22;003
Aucaleuc;22003;Solaire thermique;Chaleur;10.0;10.0;22;003
Bégard;22004;Bois énergie chaufferies;Chaleur;4084.0;1800.0;22;004
Bégard;22004;Bois énergie domestique;Chaleur;7746.0;9178.0;22;004
Bégard;22004;Fossile;Chaleur;17234.0;4951.0;22;004
Bégard;22004;Fossile;Electricité;15319.0;4401.0;22;004
Bégard;22004;Hydroélectricité;Electricité;0.0;0.0;22;004
Bégard;22004;Méthanisation;Biométhane;0.0;0.0;22;004
Bégard;22004;PAC (aérothermie et géothermie);Chaleur;1768.0;2249.0;22;004
Bégard;22004;Solaire PV;Electricité;65.0;72.0;22;004
Bégard;22004;Solaire thermique;Chaleur;55.0;80.0;22;004
Belle-Isle-en-Terre;22005;Bois énergie chaufferies;Chaleur;368.0;300.0;22;005
Belle-Isle-en-Terre;22005;Bois énergie domestique;Chaleur;2041.0;2418.0;22;005
Belle-Isle-en-Terre;22005;Hydroélectricité;Electricité;0.0;0.0;22;005
Belle-Isle-en-Terre;22005;PAC (aérothermie et géothermie);Chaleur;466.0;593.0;22;005
Belle-Isle-en-Terre;22005;Solaire thermique;Chaleur;15.0;20.0;22;005
Berhet;22006;Bois énergie domestique;Chaleur;421.0;498.0;22;006
Berhet;22006;Hydroélectricité;Electricité;0.0;0.0;22;006
Berhet;22006;PAC (aérothermie et géothermie);Chaleur;100.0;127.0;22;006
Berhet;22006;Solaire thermique;Chaleur;3.0;0.0;22;006
Bobital;22008;Bois énergie domestique;Chaleur;2160.0;2559.0;22;008
Bobital;22008;Hydroélectricité;Electricité;0.0;0.0;22;008
Bobital;22008;PAC (aérothermie et géothermie);Chaleur;414.0;526.0;22;008
Bobital;22008;Solaire thermique;Chaleur;13.0;20.0;22;008
Le Bodéo;22009;Bois énergie domestique;Chaleur;343.0;407.0;22;009
Le Bodéo;22009;Hydroélectricité;Electricité;0.0;0.0;22;009
Le Bodéo;22009;PAC (aérothermie et géothermie);Chaleur;96.0;122.0;22;009
Le Bodéo;22009;Solaire PV;Electricité;78.0;65.0;22;009
Le Bodéo;22009;Solaire thermique;Chaleur;3.0;0.0;22;009
Boqueho;22011;Bois énergie domestique;Chaleur;1683.0;1994.0;22;011
Boqueho;22011;Éolien terrestre;Electricité;5594.0;4000.0;22;011
Boqueho;22011;Hydroélectricité;Electricité;0.0;0.0;22;011
Boqueho;22011;PAC (aérothermie et géothermie);Chaleur;374.0;476.0;22;011
Boqueho;22011;Solaire PV;Electricité;26.0;29.0;22;011
Boqueho;22011;Solaire thermique;Chaleur;12.0;20.0;22;011
La Bouillie;22012;Bois énergie domestique;Chaleur;1757.0;2082.0;22;012
La Bouillie;22012;Hydroélectricité;Electricité;0.0;0.0;22;012
La Bouillie;22012;PAC (aérothermie et géothermie);Chaleur;362.0;460.0;22;012
La Bouillie;22012;Solaire thermique;Chaleur;11.0;20.0;22;012
Bourbriac;22013;Bois énergie chaufferies;Chaleur;0.0;0.0;22;013
Bourbriac;22013;Bois énergie domestique;Chaleur;4214.0;4993.0;22;013
Bourbriac;22013;Éolien terrestre;Electricité;23462.0;10000.0;22;013
Bourbriac;22013;Hydroélectricité;Electricité;0.0;0.0;22;013
Bourbriac;22013;PAC (aérothermie et géothermie);Chaleur;959.0;1220.0;22;013
Bourbriac;22013;Solaire PV;Electricité;63.0;58.0;22;013
Bourbriac;22013;Solaire thermique;Chaleur;30.0;40.0;22;013
Bourseul;22014;Bois énergie domestique;Chaleur;2112.0;2502.0;22;014
Bourseul;22014;Hydroélectricité;Electricité;0.0;0.0;22;014
Bourseul;22014;PAC (aérothermie et géothermie);Chaleur;462.0;588.0;22;014
Bourseul;22014;Solaire PV;Electricité;71.0;31.0;22;014
Bourseul;22014;Solaire thermique;Chaleur;14.0;20.0;22;014
Bréhand;22015;Bois énergie domestique;Chaleur;3140.0;3720.0;22;015
Bréhand;22015;Hydroélectricité;Electricité;0.0;0.0;22;015
Bréhand;22015;PAC (aérothermie et géothermie);Chaleur;598.0;760.0;22;015
Bréhand;22015;Solaire PV;Electricité;134.0;152.0;22;015
Bréhand;22015;Solaire thermique;Chaleur;19.0;30.0;22;015
Île-de-Bréhat;22016;Bois énergie domestique;Chaleur;1224.0;1451.0;22;016
Île-de-Bréhat;22016;Hydroélectricité;Electricité;0.0;0.0;22;016
Île-de-Bréhat;22016;PAC (aérothermie et géothermie);Chaleur;615.0;782.0;22;016
Île-de-Bréhat;22016;Solaire thermique;Chaleur;19.0;30.0;22;016
Brélidy;22018;Bois énergie domestique;Chaleur;702.0;832.0;22;018
Brélidy;22018;Hydroélectricité;Electricité;0.0;0.0;22;018
Brélidy;22018;PAC (aérothermie et géothermie);Chaleur;156.0;198.0;22;018
Brélidy;22018;Solaire thermique;Chaleur;5.0;10.0;22;018
Bringolo;22019;Bois énergie chaufferies;Chaleur;149.0;100.0;22;019
Bringolo;22019;Bois énergie domestique;Chaleur;851.0;1009.0;22;019
Bringolo;22019;Hydroélectricité;Electricité;0.0;0.0;22;019
Bringolo;22019;Méthanisation;Chaleur;0.0;0.0;22;019
Bringolo;22019;PAC (aérothermie et géothermie);Chaleur;161.0;205.0;22;019
Bringolo;22019;Solaire PV;Electricité;45.0;40.0;22;019
Bringolo;22019;Solaire thermique;Chaleur;5.0;10.0;22;019
Broons;22020;Bois énergie domestique;Chaleur;4978.0;5897.0;22;020
Broons;22020;Éolien terrestre;Electricité;0.0;0.0;22;020
Broons;22020;Hydroélectricité;Electricité;0.0;0.0;22;020
Broons;22020;Méthanisation;Chaleur;0.0;0.0;22;020
Broons;22020;Méthanisation;Electricité;0.0;0.0;22;020
Broons;22020;PAC (aérothermie et géothermie);Chaleur;1018.0;1294.0;22;020
Broons;22020;Solaire PV;Electricité;39.0;41.0;22;020
Broons;22020;Solaire thermique;Chaleur;32.0;40.0;22;020
Brusvily;22021;Bois énergie domestique;Chaleur;2306.0;2732.0;22;021
Brusvily;22021;Hydroélectricité;Electricité;0.0;0.0;22;021
Brusvily;22021;PAC (aérothermie et géothermie);Chaleur;445.0;566.0;22;021
Brusvily;22021;Solaire thermique;Chaleur;14.0;20.0;22;021
Bulat-Pestivien;22023;Bois énergie domestique;Chaleur;967.0;1146.0;22;023
Bulat-Pestivien;22023;Hydroélectricité;Electricité;0.0;0.0;22;023
Bulat-Pestivien;22023;PAC (aérothermie et géothermie);Chaleur;257.0;327.0;22;023
Bulat-Pestivien;22023;Solaire thermique;Chaleur;8.0;10.0;22;023
Calanhel;22024;Bois énergie domestique;Chaleur;546.0;647.0;22;024
Calanhel;22024;Éolien terrestre;Electricité;7953.0;5100.0;22;024
Calanhel;22024;Hydroélectricité;Electricité;0.0;0.0;22;024
Calanhel;22024;PAC (aérothermie et géothermie);Chaleur;141.0;179.0;22;024
Calanhel;22024;Solaire thermique;Chaleur;4.0;10.0;22;024
Callac;22025;Bois énergie chaufferies;Chaleur;3606.0;1655.0;22;025
Callac;22025;Bois énergie domestique;Chaleur;4727.0;5601.0;22;025
Callac;22025;Éolien terrestre;Electricité;0.0;0.0;22;025
