CODGEO;LIBGEO;Statut Commune;Code département;Code de la commune
29268;Saint-Thonan;unité urbaine;29;268
29287;Tréflez;hors unité urbaine;29;287
22277;Saint-Brandan;hors unité urbaine;22;277
22147;Saint-Launeuc;hors unité urbaine;22;147
22332;Saint-Trimoël;hors unité urbaine;22;332
22072;Gurunhuel;hors unité urbaine;22;072
22082;Le Hinglé;unité urbaine;22;082
22087;Kergrist-Moëlou;hors unité urbaine;22;087
22132;Lohuec;hors unité urbaine;22;132
22145;Mégrit;hors unité urbaine;22;145
22190;Pleslin-Trigavou;unité urbaine;22;190
22213;Plouër-sur-Rance;unité urbaine;22;213
22215;Ploufragan;unité urbaine;22;215
22235;Plouzélambre;hors unité urbaine;22;235
35163;Luitré-Dompierre;hors unité urbaine;35;163
35211;Paimpont;hors unité urbaine;35;211
35226;Pleugueneuc;hors unité urbaine;35;226
35235;Rannée;unité urbaine;35;235
35263;Saint-Coulomb;hors unité urbaine;35;263
35280;Saint-Hilaire-des-Landes;hors unité urbaine;35;280
35284;Saint-Jouan-des-Guérets;unité urbaine;35;284
35288;Saint-Malo;unité urbaine;35;288
35294;Sainte-Marie;unité urbaine;35;294
35069;Châteaugiron;unité urbaine;35;069
35091;Le Crouais;hors unité urbaine;35;091
29108;Landudec;hors unité urbaine;29;108
29171;Plomeur;unité urbaine;29;171
56021;Brandérion;hors unité urbaine;56;021
56022;Brandivy;hors unité urbaine;56;022
56042;Colpo;hors unité urbaine;56;042
56066;Gourin;unité urbaine;56;066
56083;Hennebont;unité urbaine;56;083
56093;Kergrist;hors unité urbaine;56;093
56115;Locmaria-Grand-Champ;unité urbaine;56;115
56129;Ménéac;hors unité urbaine;56;129
56145;Néant-sur-Yvel;hors unité urbaine;56;145
56154;Peillac;hors unité urbaine;56;154
56178;Pontivy;unité urbaine;56;178
56195;La Roche-Bernard;hors unité urbaine;56;195
56209;Sainte-Brigitte;hors unité urbaine;56;209
56250;Théhillac;hors unité urbaine;56;250
56252;Le Tour-du-Parc;hors unité urbaine;56;252
35014;Bais;hors unité urbaine;35;014
35087;Cornillé;hors unité urbaine;35;087
35141;Landavran;hors unité urbaine;35;141
35168;Val d'Anast;hors unité urbaine;35;168
35169;Maxent;hors unité urbaine;35;169
35187;Monterfil;hors unité urbaine;35;187
35196;Mordelles;unité urbaine;35;196
35237;Renac;hors unité urbaine;35;237
35250;Saint-Armel;hors unité urbaine;35;250
35265;Saint-Domineuc;hors unité urbaine;35;265
35292;Saint-Marc-le-Blanc;hors unité urbaine;35;292
35307;Saint-Pern;hors unité urbaine;35;307
35311;Saint-Séglin;hors unité urbaine;35;311
35321;Saulnières;hors unité urbaine;35;321
35358;La Ville-ès-Nonais;hors unité urbaine;35;358
22006;Berhet;hors unité urbaine;22;006
22140;La Malhoure;hors unité urbaine;22;140
22155;La Motte;hors unité urbaine;22;155
22178;Pléhédel;hors unité urbaine;22;178
22181;Plélauff;hors unité urbaine;22;181
22187;Plérin;unité urbaine;22;187
22193;Plestan;hors unité urbaine;22;193
29010;Bodilis;hors unité urbaine;29;010
29023;Carantec;unité urbaine;29;023
29057;La Forêt-Fouesnant;unité urbaine;29;057
29066;Guengat;hors unité urbaine;29;066
29105;Landivisiau;unité urbaine;29;105
29142;Lothey;hors unité urbaine;29;142
29143;Mahalon;hors unité urbaine;29;143
29159;Peumerit;hors unité urbaine;29;159
29180;Ploudiry;hors unité urbaine;29;180
29182;Plouégat-Guérand;hors unité urbaine;29;182
29191;Plougonven;hors unité urbaine;29;191
29201;Ploumoguer;hors unité urbaine;29;201
29240;Rosnoën;hors unité urbaine;29;240
22278;Saint-Brieuc;unité urbaine;22;278
22285;Saint-Connec;hors unité urbaine;22;285
22288;Saint-Étienne-du-Gué-de-l'Isle;hors unité urbaine;22;288
22338;Squiffiec;hors unité urbaine;22;338
22340;Tonquédec;hors unité urbaine;22;340
22349;Trédrez-Locquémeau;hors unité urbaine;22;349
22384;Uzel;hors unité urbaine;22;384
56004;Arzal;hors unité urbaine;56;004
56043;Concoret;hors unité urbaine;56;043
56079;Guillac;hors unité urbaine;56;079
56113;Locmalo;hors unité urbaine;56;113
56153;Péaule;hors unité urbaine;56;153
56162;Ploemeur;unité urbaine;56;162
56203;Saint-Aignan;hors unité urbaine;56;203
56212;Saint-Dolay;hors unité urbaine;56;212
56247;Sulniac;unité urbaine;56;247
29267;Saint-Thois;hors unité urbaine;29;267
29276;Sibiril;hors unité urbaine;29;276
29294;Le Tréhou;hors unité urbaine;29;294
22274;Saint-André-des-Eaux;hors unité urbaine;22;274
22318;Saint-Michel-de-Plélan;hors unité urbaine;22;318
22356;Trégomeur;hors unité urbaine;22;356
22389;Yffiniac;unité urbaine;22;389
22001;Allineuc;hors unité urbaine;22;001
22029;Canihuel;hors unité urbaine;22;029
22061;Glomel;hors unité urbaine;22;061
22079;Hénon;hors unité urbaine;22;079
22091;Kermoroc'h;hors unité urbaine;22;091
22112;Lannebert;hors unité urbaine;22;112
22126;Le Leslay;hors unité urbaine;22;126
22156;Moustéru;hors unité urbaine;22;156
22164;Pédernec;hors unité urbaine;22;164
22184;Plémy;hors unité urbaine;22;184
22195;Pleubian;unité urbaine;22;195
56009;Bangor;hors unité urbaine;56;009
56045;Le Cours;hors unité urbaine;56;045
56087;Île-aux-Moines;hors unité urbaine;56;087
56089;Inguiniel;hors unité urbaine;56;089
56191;Réminiac;hors unité urbaine;56;191
56208;Saint-Brieuc-de-Mauron;hors unité urbaine;56;208
56220;Sainte-Hélène;hors unité urbaine;56;220
56230;Saint-Nicolas-du-Tertre;hors unité urbaine;56;230
29007;Berrien;hors unité urbaine;29;007
29047;Le Drennec;unité urbaine;29;047
29048;Edern;unité urbaine;29;048
29148;Mespaul;hors unité urbaine;29;148
29214;Plovan;hors unité urbaine;29;214
29221;Porspoder;unité urbaine;29;221
29280;Telgruc-sur-Mer;hors unité urbaine;29;280
29285;Tréflaouénan;hors unité urbaine;29;285
35038;Bréal-sous-Vitré;hors unité urbaine;35;038
35052;Champeaux;hors unité urbaine;35;052
35078;Cherrueix;hors unité urbaine;35;078
35119;Gennes-sur-Seiche;hors unité urbaine;35;119
35142;Landéan;hors unité urbaine;35;142
35173;Melesse;unité urbaine;35;173
35185;Montautour;hors unité urbaine;35;185
35238;Rennes;unité urbaine;35;238
35266;Saint-Erblon;unité urbaine;35;266
35270;Saint-Georges-de-Gréhaigne;hors unité urbaine;35;270
35273;Saint-Germain-en-Coglès;hors unité urbaine;35;273
35328;Sixt-sur-Aff;hors unité urbaine;35;328
35343;Tresbœuf;hors unité urbaine;35;343
35362;Le Tronchet;hors unité urbaine;35;362
22272;Saint-Agathon;unité urbaine;22;272
22299;Saint-Hélen;hors unité urbaine;22;299
22044;Coëtmieux;unité urbaine;22;044
22065;Goudelin;hors unité urbaine;22;065
22101;Langoat;unité urbaine;22;101
22104;Languédias;hors unité urbaine;22;104
22110;Lanmérin;hors unité urbaine;22;110
22176;Plédran;unité urbaine;22;176
22228;Plounévez-Moëdec;hors unité urbaine;22;228
22242;Plurien;hors unité urbaine;22;242
56002;Ambon;hors unité urbaine;56;002
56053;Elven;unité urbaine;56;053
56110;Lignol;hors unité urbaine;56;110
35010;Baguer-Pican;hors unité urbaine;35;010
35051;Cesson-Sévigné;unité urbaine;35;051
35109;Étrelles;hors unité urbaine;35;109
35155;Lohéac;hors unité urbaine;35;155
35161;Louvigné-de-Bais;hors unité urbaine;35;161
35193;Montreuil-le-Gast;hors unité urbaine;35;193
35194;Montreuil-sous-Pérouse;hors unité urbaine;35;194
35300;Saint-M'Hervé;hors unité urbaine;35;300
35337;Tinténiac;unité urbaine;35;337
35357;Villamée;hors unité urbaine;35;357
29302;Pont-de-Buis-lès-Quimerch;unité urbaine;29;302
29004;Bannalec;unité urbaine;29;004
29014;Botsorhel;hors unité urbaine;29;014
29032;Clohars-Fouesnant;unité urbaine;29;032
29044;Dinéault;hors unité urbaine;29;044
29045;Dirinon;hors unité urbaine;29;045
29061;Gouesnou;unité urbaine;29;061
29084;Île-Molène;hors unité urbaine;29;084
29104;Landévennec;hors unité urbaine;29;104
29139;Lopérec;hors unité urbaine;29;139
29156;Pencran;unité urbaine;29;156
29216;Pluguffan;unité urbaine;29;216
29236;Riec-sur-Bélon;unité urbaine;29;236
56005;Arzon;unité urbaine;56;005
56069;Groix;hors unité urbaine;56;069
56073;Guémené-sur-Scorff;hors unité urbaine;56;073
56074;Guénin;hors unité urbaine;56;074
56082;Helléan;hors unité urbaine;56;082
56106;Larmor-Baden;hors unité urbaine;56;106
56136;Monteneuf;hors unité urbaine;56;136
56155;Pénestin;hors unité urbaine;56;155
56200;Ruffiac;hors unité urbaine;56;200
56222;Saint-Jean-Brévelay;hors unité urbaine;56;222
56236;Saint-Servant;hors unité urbaine;56;236
56249;Taupont;hors unité urbaine;56;249
56262;Le Bono;unité urbaine;56;262
22281;Saint-Carreuc;hors unité urbaine;22;281
22308;Saint-Juvat;hors unité urbaine;22;308
22327;Saint-Samson-sur-Rance;hors unité urbaine;22;327
22345;Trébry;hors unité urbaine;22;345
22387;Le Vieux-Marché;unité urbaine;22;387
22014;Bourseul;hors unité urbaine;22;014
22024;Calanhel;hors unité urbaine;22;024
22062;Gomené;hors unité urbaine;22;062
22098;Landéhen;hors unité urbaine;22;098
22177;Pléguien;unité urbaine;22;177
22180;Plélan-le-Petit;hors unité urbaine;22;180
29288;Trégarantec;hors unité urbaine;29;288
29016;Brasparts;hors unité urbaine;29;016
29017;Brélès;unité urbaine;29;017
29064;Goulven;hors unité urbaine;29;064
29067;Guerlesquin;hors unité urbaine;29;067
29068;Guiclan;hors unité urbaine;29;068
29075;Guipavas;unité urbaine;29;075
29077;Guissény;hors unité urbaine;29;077
29100;Lanarvily;hors unité urbaine;29;100
29107;Landudal;hors unité urbaine;29;107
29132;Locquénolé;hors unité urbaine;29;132
29151;Morlaix;unité urbaine;29;151
29193;Plougourvest;hors unité urbaine;29;193
29207;Plourin-lès-Morlaix;unité urbaine;29;207
29215;Plozévet;unité urbaine;29;215
35050;Cardroc;hors unité urbaine;35;050
35067;Chasné-sur-Illet;hors unité urbaine;35;067
35102;Drouges;hors unité urbaine;35;102
35131;L'Hermitage;unité urbaine;35;131
35136;Janzé;unité urbaine;35;136
35171;Médréac;hors unité urbaine;35;171
35177;La Mézière;unité urbaine;35;177
35195;Montreuil-sur-Ille;unité urbaine;35;195
35258;Saint-Brieuc-des-Iffs;hors unité urbaine;35;258
35287;Saint-Lunaire;unité urbaine;35;287
35299;Saint-Méloir-des-Ondes;unité urbaine;35;299
35318;Saint-Thual;hors unité urbaine;35;318
29002;Arzano;hors unité urbaine;29;002
29034;Le Cloître-Saint-Thégonnec;hors unité urbaine;29;034
29037;Combrit;unité urbaine;29;037
29046;Douarnenez;unité urbaine;29;046
29097;Lampaul-Guimiliau;unité urbaine;29;097
29176;Plonévez-Porzay;hors unité urbaine;29;176
29188;Plougasnou;unité urbaine;29;188
29198;Plouider;hors unité urbaine;29;198
22323;Saint-Pôtan;hors unité urbaine;22;323
22333;Saint-Vran;hors unité urbaine;22;333
22347;Trédarzec;unité urbaine;22;347
22371;Trémorel;hors unité urbaine;22;371
22013;Bourbriac;hors unité urbaine;22;013
22035;Les Champs-Géraux;hors unité urbaine;22;035
22055;Binic-Étables-sur-Mer;unité urbaine;22;055
22056;Évran;hors unité urbaine;22;056
22059;Le Fœil;hors unité urbaine;22;059
22122;Laurenan;hors unité urbaine;22;122
22211;Ploubezre;unité urbaine;22;211
22234;Plouvara;hors unité urbaine;22;234
56056;Évriguet;hors unité urbaine;56;056
56058;Férel;hors unité urbaine;56;058
56098;Lanester;unité urbaine;56;098
56114;Locmaria;hors unité urbaine;56;114
56177;Pluvigner;unité urbaine;56;177
56239;Saint-Vincent-sur-Oust;hors unité urbaine;56;239
56244;Sérent;hors unité urbaine;56;244
56263;Sainte-Anne-d'Auray;unité urbaine;56;263
35027;Boisgervilly;hors unité urbaine;35;027
35040;Breteil;unité urbaine;35;040
35093;Dinard;unité urbaine;35;093
35133;Iffendic;unité urbaine;35;133
35156;Longaulnay;hors unité urbaine;35;156
35159;Lourmais;hors unité urbaine;35;159
35217;Le Pertre;hors unité urbaine;35;217
35218;Le Petit-Fougeray;hors unité urbaine;35;218
35228;Pleurtuit;unité urbaine;35;228
35231;Poligné;hors unité urbaine;35;231
35256;Saint-Briac-sur-Mer;unité urbaine;35;256
35309;Saint-Rémy-du-Plain;hors unité urbaine;35;309
35329;Sougeal;hors unité urbaine;35;329
35335;Thourie;hors unité urbaine;35;335
35346;Trimer;hors unité urbaine;35;346
29291;Trégourez;hors unité urbaine;29;291
56048;Le Croisty;hors unité urbaine;56;048
56100;Langonnet;hors unité urbaine;56;100
56117;Locminé;unité urbaine;56;117
56125;Malguénac;hors unité urbaine;56;125
56176;Pluneret;unité urbaine;56;176
56179;Pont-Scorff;unité urbaine;56;179
56040;Cléguer;hors unité urbaine;56;040
22261;Quintenic;hors unité urbaine;22;261
22291;Saint-Gildas;hors unité urbaine;22;291
22304;Saint-Jean-Kerdaniel;hors unité urbaine;22;304
22315;Saint-Maudez;hors unité urbaine;22;315
22330;Saint-Thélo;hors unité urbaine;22;330
35026;Bléruais;hors unité urbaine;35;026
35041;Brie;hors unité urbaine;35;041
35101;Dourdain;hors unité urbaine;35;101
35120;Gévezé;unité urbaine;35;120
35138;Laignelet;hors unité urbaine;35;138
35199;Moussé;hors unité urbaine;35;199
35230;Poilley;hors unité urbaine;35;230
35305;Saint-Péran;hors unité urbaine;35;305
35353;Vezin-le-Coquet;unité urbaine;35;353
35360;Vitré;unité urbaine;35;360
22002;Andel;hors unité urbaine;22;002
22011;Boqueho;hors unité urbaine;22;011
22018;Brélidy;hors unité urbaine;22;018
22026;Calorguen;hors unité urbaine;22;026
22047;Corlay;hors unité urbaine;22;047
22137;Maël-Carhaix;hors unité urbaine;22;137
22147;Merdrignac;unité urbaine;22;147
22148;Mérillac;hors unité urbaine;22;148
22158;Guerlédan;hors unité urbaine;22;158
22169;Peumerit-Quintin;hors unité urbaine;22;169
22174;Pléboulle;hors unité urbaine;22;174
22175;Plédéliac;hors unité urbaine;22;175
22260;Le Quillio;hors unité urbaine;22;260
29054;La Feuillée;hors unité urbaine;29;054
29069;Guilers;unité urbaine;29;069
29144;La Martyre;hors unité urbaine;29;144
29158;Penmarch;unité urbaine;29;158
29170;Plomelin;unité urbaine;29;170
29178;Ploudalmézeau;unité urbaine;29;178
29224;Pouldergat;hors unité urbaine;29;224
29233;Quimperlé;unité urbaine;29;233
22310;Saint-Laurent;hors unité urbaine;22;310
22339;Taden;hors unité urbaine;22;339
22037;La Chapelle-Neuve;hors unité urbaine;22;037
22095;Landebaëron;hors unité urbaine;22;095
22143;Matignon;hors unité urbaine;22;143
22153;Moncontour;hors unité urbaine;22;153
22166;Penvénan;hors unité urbaine;22;166
22229;Plounévez-Quintin;hors unité urbaine;22;229
22239;Plumaudan;hors unité urbaine;22;239
22240;Plumaugat;hors unité urbaine;22;240
22250;Pontrieux;hors unité urbaine;22;250
22276;Saint-Bihy;hors unité urbaine;22;276
22305;Saint-Jouan-de-l'Isle;hors unité urbaine;22;305
29086;Irvillac;hors unité urbaine;29;086
29101;Landéda;unité urbaine;29;101
29125;Leuhan;hors unité urbaine;29;125
29150;Moëlan-sur-Mer;unité urbaine;29;150
29179;Ploudaniel;hors unité urbaine;29;179
29225;Pouldreuzic;hors unité urbaine;29;225
29234;Rédené;hors unité urbaine;29;234
35018;La Bazouge-du-Désert;hors unité urbaine;35;018
35021;Beaucé;unité urbaine;35;021
35096;Domagné;hors unité urbaine;35;096
35115;Fougères;unité urbaine;35;115
35121;Gosné;hors unité urbaine;35;121
35127;Guignen;hors unité urbaine;35;127
35150;Lécousse;unité urbaine;35;150
35257;Maen Roch;unité urbaine;35;257
35312;Saint-Senoux;hors unité urbaine;35;312
35317;Saint-Symphorien;hors unité urbaine;35;317
56018;Billiers;hors unité urbaine;56;018
56030;Camoël;hors unité urbaine;56;030
56047;Crédin;hors unité urbaine;56;047
56068;La Grée-Saint-Laurent;hors unité urbaine;56;068
56081;Guiscriff;hors unité urbaine;56;081
56112;Lizio;hors unité urbaine;56;112
56121;Lorient;unité urbaine;56;121
56123;Malansac;hors unité urbaine;56;123
56161;Ploemel;hors unité urbaine;56;161
56175;Plumergat;hors unité urbaine;56;175
56182;Priziac;hors unité urbaine;56;182
56197;Val d'Oust;hors unité urbaine;56;197
29022;Camaret-sur-Mer;unité urbaine;29;022
29026;Châteaulin;unité urbaine;29;026
29027;Châteauneuf-du-Faou;unité urbaine;29;027
29080;Hôpital-Camfrout;unité urbaine;29;080
29119;Lanrivoaré;hors unité urbaine;29;119
29152;Motreff;hors unité urbaine;29;152
29161;Pleuven;unité urbaine;29;161
29222;Port-Launay;unité urbaine;29;222
29228;Primelin;hors unité urbaine;29;228
29259;Saint-Pol-de-Léon;unité urbaine;29;259
29260;Saint-Renan;unité urbaine;29;260
56152;Le Palais;unité urbaine;56;152
56184;Questembert;unité urbaine;56;184
56243;Séné;unité urbaine;56;243
56254;Trédion;hors unité urbaine;56;254
56260;Vannes;unité urbaine;56;260
56003;Arradon;unité urbaine;56;003
56023;Brech;unité urbaine;56;023
56034;Carnac;unité urbaine;56;034
56084;Le Hézo;hors unité urbaine;56;084
56099;Langoëlan;hors unité urbaine;56;099
56120;Locqueltas;unité urbaine;56;120
22343;Trébeurden;unité urbaine;22;343
35016;Baulon;hors unité urbaine;35;016
35032;Bourgbarré;unité urbaine;35;032
35066;Chartres-de-Bretagne;unité urbaine;35;066
35092;Cuguen;hors unité urbaine;35;092
35111;Le Ferré;hors unité urbaine;35;111
35151;Lieuron;hors unité urbaine;35;151
35212;Pancé;hors unité urbaine;35;212
35219;Pipriac;unité urbaine;35;219
35339;Trans-la-Forêt;hors unité urbaine;35;339
35356;Vignoc;hors unité urbaine;35;356
22008;Bobital;unité urbaine;22;008
22084;Jugon-les-Lacs;hors unité urbaine;22;084
22115;Lanrivain;hors unité urbaine;22;115
22206;Châtelaudren-Plouagat;unité urbaine;22;206
22220;Plouguernével;hors unité urbaine;22;220
56032;Campénéac;hors unité urbaine;56;032
56039;La Chapelle-Neuve;hors unité urbaine;56;039
56122;Loyat;hors unité urbaine;56;122
56132;Meucon;unité urbaine;56;132
56205;Saint-Armel;hors unité urbaine;56;205
56219;Saint-Guyomard;hors unité urbaine;56;219
56225;Saint-Léry;hors unité urbaine;56;225
56258;La Trinité-sur-Mer;unité urbaine;56;258
22283;Saint-Clet;hors unité urbaine;22;283
22317;Saint-Méloir-des-Bois;hors unité urbaine;22;317
22321;Saint-Nicolas-du-Pélem;hors unité urbaine;22;321
22322;Saint-Péver;hors unité urbaine;22;322
22366;Trémel;hors unité urbaine;22;366
22028;Camlez;hors unité urbaine;22;028
22067;Grâces;unité urbaine;22;067
22077;Hénansal;hors unité urbaine;22;077
22083;Illifaut;hors unité urbaine;22;083
22086;Kerfot;unité urbaine;22;086
22129;Loc-Envel;hors unité urbaine;22;129
22135;Louargat;hors unité urbaine;22;135
22160;Noyal;unité urbaine;22;160
22197;Pleudihen-sur-Rance;hors unité urbaine;22;197
22204;Ploëzal;hors unité urbaine;22;204
22222;Plouha;unité urbaine;22;222
22224;Ploulec'h;unité urbaine;22;224
22231;Plourac'h;hors unité urbaine;22;231
22236;Pludual;hors unité urbaine;22;236
22238;Plufur;hors unité urbaine;22;238
22244;Plussulien;hors unité urbaine;22;244
22256;Quemper-Guézennec;hors unité urbaine;22;256
29012;Bolazec;hors unité urbaine;29;012
29021;Plounéour-Brignogan-plages;hors unité urbaine;29;021
29035;Coat-Méal;hors unité urbaine;29;035
29099;Lampaul-Ploudalmézeau;hors unité urbaine;29;099
29114;Lannéanou;hors unité urbaine;29;114
29128;Loc-Eguiner;hors unité urbaine;29;128
29135;Loctudy;unité urbaine;29;135
29162;Pleyben;unité urbaine;29;162
29172;Plomodiern;hors unité urbaine;29;172
29239;Roscoff;unité urbaine;29;239
35044;Broualan;hors unité urbaine;35;044
35046;Les Brulais;hors unité urbaine;35;046
35055;Chantepie;unité urbaine;35;055
35128;Guipel;hors unité urbaine;35;128
35143;Landujan;hors unité urbaine;35;143
35188;Montfort-sur-Meu;unité urbaine;35;188
35216;Parthenay-de-Bretagne;hors unité urbaine;35;216
35241;La Richardais;unité urbaine;35;241
35247;Roz-sur-Couesnon;hors unité urbaine;35;247
35302;Saint-Onen-la-Chapelle;unité urbaine;35;302
35306;Saint-Père-Marc-en-Poulet;hors unité urbaine;35;306
56011;Béganne;hors unité urbaine;56;011
56050;La Croix-Helléan;hors unité urbaine;56;050
56054;Erdeven;unité urbaine;56;054
56077;Le Guerno;hors unité urbaine;56;077
56165;Ploërmel;unité urbaine;56;165
56167;Plougoumelen;hors unité urbaine;56;167
56231;Saint-Nolff;unité urbaine;56;231
56234;Saint-Pierre-Quiberon;unité urbaine;56;234
56242;Séglien;hors unité urbaine;56;242
56264;Kernascléden;hors unité urbaine;56;264
29036;Collorec;hors unité urbaine;29;036
29065;Gourlizon;hors unité urbaine;29;065
29074;Guimiliau;hors unité urbaine;29;074
29085;Île-Tudy;unité urbaine;29;085
29136;Locunolé;hors unité urbaine;29;136
29147;Mellac;hors unité urbaine;29;147
29167;Plogastel-Saint-Germain;hors unité urbaine;29;167
29181;Plouédern;hors unité urbaine;29;181
35003;Andouillé-Neuville;hors unité urbaine;35;003
35017;La Baussaine;hors unité urbaine;35;017
35019;Bazouges-la-Pérouse;hors unité urbaine;35;019
35033;Bourg-des-Comptes;unité urbaine;35;033
35056;La Chapelle-aux-Filtzméens;hors unité urbaine;35;056
35060;La Chapelle du Lou du Lac;hors unité urbaine;35;060
35076;Chavagne;unité urbaine;35;076
35086;Combourtillé;hors unité urbaine;35;086
35117;Gaël;hors unité urbaine;35;117
35124;Grand-Fougeray;hors unité urbaine;35;124
35126;Guichen;unité urbaine;35;126
35198;Moulins;hors unité urbaine;35;198
35208;Orgères;unité urbaine;35;208
35232;Princé;hors unité urbaine;35;232
35268;Saint-Ganton;hors unité urbaine;35;268
35276;Saint-Gondran;hors unité urbaine;35;276
35283;Saint-Jean-sur-Vilaine;hors unité urbaine;35;283
35331;Talensac;hors unité urbaine;35;331
22009;Le Bodéo;hors unité urbaine;22;009
22020;Broons;unité urbaine;22;020
22152;Minihy-Tréguier;unité urbaine;22;152
22182;Plélo;hors unité urbaine;22;182
22199;Pleumeur-Gautier;hors unité urbaine;22;199
22342;Trébédan;hors unité urbaine;22;342
22289;Saint-Fiacre;hors unité urbaine;22;289
22326;Saint-Rieul;hors unité urbaine;22;326
22331;Sainte-Tréphine;hors unité urbaine;22;331
22378;Trévérec;hors unité urbaine;22;378
29271;Saint-Vougay;hors unité urbaine;29;271
35192;Montreuil-des-Landes;hors unité urbaine;35;192
35249;Sainte-Anne-sur-Vilaine;hors unité urbaine;35;249
35320;Saint-Uniac;hors unité urbaine;35;320
22296;Saint-Glen;hors unité urbaine;22;296
22348;Trédias;hors unité urbaine;22;348
22361;Tréguidel;hors unité urbaine;22;361
22370;Tréméven;hors unité urbaine;22;370
22034;Cavan;hors unité urbaine;22;034
22052;Duault;hors unité urbaine;22;052
22064;Gouarec;hors unité urbaine;22;064
22075;Hémonstoir;hors unité urbaine;22;075
22081;Hillion;hors unité urbaine;22;081
22116;Lanrodec;hors unité urbaine;22;116
22144;La Méaugon;unité urbaine;22;144
22162;Paimpol;unité urbaine;22;162
22207;Plouaret;unité urbaine;22;207
22221;Plouguiel;unité urbaine;22;221
29030;Cléder;unité urbaine;29;030
29039;Concarneau;unité urbaine;29;039
29102;Landeleau;hors unité urbaine;29;102
29103;Landerneau;unité urbaine;29;103
29199;Plouigneau;unité urbaine;29;199
56071;Guéhenno;hors unité urbaine;56;071
56127;Mauron;hors unité urbaine;56;127
56134;Mohon;hors unité urbaine;56;134
56139;Montertelot;hors unité urbaine;56;139
56143;Muzillac;unité urbaine;56;143
56147;Nivillac;hors unité urbaine;56;147
56190;Réguiny;hors unité urbaine;56;190
56196;Rochefort-en-Terre;hors unité urbaine;56;196
56207;Saint-Barthélemy;hors unité urbaine;56;207
56246;Le Sourn;unité urbaine;56;246
56248;Surzur;unité urbaine;56;248
29284;Treffiagat;unité urbaine;29;284
29300;Le Trévoux;hors unité urbaine;29;300
56033;Carentoir;hors unité urbaine;56;033
56067;Grand-Champ;unité urbaine;56;067
56085;Hœdic;hors unité urbaine;56;085
56173;Pluméliau-Bieuzy;hors unité urbaine;56;173
56194;Rieux;unité urbaine;56;194
56204;Saint-Allouestre;hors unité urbaine;56;204
56215;Saint-Gonnery;hors unité urbaine;56;215
35123;Goven;unité urbaine;35;123
35236;Redon;unité urbaine;35;236
35259;Saint-Broladre;hors unité urbaine;35;259
29279;Taulé;hors unité urbaine;29;279
29293;Trégunc;unité urbaine;29;293
56010;Baud;unité urbaine;56;010
56057;Le Faouët;unité urbaine;56;057
56072;Gueltas;hors unité urbaine;56;072
56107;Larmor-Plage;unité urbaine;56;107
56233;Saint-Philibert;unité urbaine;56;233
22268;Ruca;hors unité urbaine;22;268
22334;Saint-Igeaux;hors unité urbaine;22;334
22376;Trévé;hors unité urbaine;22;376
22381;Trézény;hors unité urbaine;22;381
35009;Baguer-Morvan;hors unité urbaine;35;009
35015;Balazé;hors unité urbaine;35;015
35047;Bruz;unité urbaine;35;047
35077;Chelun;hors unité urbaine;35;077
35152;Liffré;unité urbaine;35;152
35162;Louvigné-du-Désert;unité urbaine;35;162
35190;Monthault;hors unité urbaine;35;190
35243;Romagné;unité urbaine;35;243
